Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,12.0,12.06,11.94,12.0,984600.0,0.0,1.0,8.5441186628759,8.5868392561903,8.5013980695615,8.5441186628759,984600.0
2000-01-04,11.81,12.19,11.81,11.88,1088000.0,0.0,1.0,8.408836784047,8.6794005417048,8.408836784047,8.4586774762471,1088000.0
2000-01-05,11.88,11.88,11.69,11.69,1087900.0,0.0,1.0,8.4586774762471,8.4586774762471,8.3233955974183,8.3233955974183,1087900.0
2000-01-06,11.63,11.88,11.56,11.75,899900.0,0.0,1.0,8.2806750041039,8.4586774762471,8.2308343119038,8.3661161907326,899900.0
2000-01-07,11.88,12.0,11.81,11.94,1186100.0,0.0,1.0,8.4586774762471,8.5441186628759,8.408836784047,8.5013980695615,1186100.0
2000-01-10,12.0,12.19,11.94,11.94,1484400.0,0.0,1.0,8.5441186628759,8.6794005417048,8.5013980695615,8.5013980695615,1484400.0
2000-01-11,11.94,11.94,11.75,11.75,1092900.0,0.0,1.0,8.5013980695615,8.5013980695615,8.3661161907326,8.3661161907326,1092900.0
2000-01-12,11.81,12.13,11.75,12.06,1357300.0,0.0,1.0,8.408836784047,8.6366799483904,8.3661161907326,8.5868392561903,1357300.0
2000-01-13,12.0,12.31,11.94,12.0,2939900.0,0.0,1.0,8.5441186628759,8.7648417283335,8.5013980695615,8.5441186628759,2939900.0
2000-01-14,12.13,12.56,11.94,12.5,2805400.0,0.0,1.0,8.6366799483904,8.9428442004768,8.5013980695615,8.9001236071624,2805400.0
2000-01-18,12.56,13.25,12.56,13.06,2991200.0,0.0,1.0,8.9428442004768,9.4341310235921,8.9428442004768,9.2988491447633,2991200.0
2000-01-19,13.06,13.44,13.0,13.38,2480500.0,0.0,1.0,9.2988491447633,9.569412902421,9.2561285514489,9.5266923091066,2480500.0
2000-01-20,13.38,13.44,12.75,13.06,1527000.0,0.0,1.0,9.5266923091066,9.569412902421,9.0781260793056,9.2988491447633,1527000.0
2000-01-21,13.44,13.44,12.81,13.0,1124300.0,0.0,1.0,9.569412902421,9.569412902421,9.12084667262,9.2561285514489,1124300.0
2000-01-24,13.0,13.06,12.25,12.38,1049500.0,0.0,1.0,9.2561285514489,9.2988491447633,8.7221211350191,8.8146824205336,1049500.0
