Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,32.56,32.62,31.56,32.31,700800.0,0.0,1.0,12.897432197272,12.921198964221,12.501319414801,12.798404001655,700800.0
2000-01-04,32.31,32.5,32.19,32.31,455600.0,0.0,1.0,12.798404001655,12.873665430324,12.750870467758,12.798404001655,455600.0
2000-01-05,32.31,33.31,32.31,33.25,1293200.0,0.0,1.0,12.798404001655,13.194516784126,12.798404001655,13.170750017178,1293200.0
2000-01-06,33.56,33.69,33.25,33.44,320400.0,0.0,1.0,13.293544979744,13.345039641465,13.170750017178,13.246011445847,320400.0
2000-01-07,33.5,34.0,33.44,33.94,312700.0,0.0,1.0,13.269778212796,13.467834604031,13.246011445847,13.444067837083,312700.0
2000-01-10,33.94,34.25,33.63,33.69,483300.0,0.0,1.0,13.444067837083,13.566862799649,13.321272874517,13.345039641465,483300.0
2000-01-11,33.63,33.69,33.44,33.63,479200.0,0.0,1.0,13.321272874517,13.345039641465,13.246011445847,13.321272874517,479200.0
2000-01-12,33.75,33.88,33.31,33.81,240400.0,0.0,1.0,13.368806408414,13.420301070135,13.194516784126,13.392573175362,240400.0
2000-01-13,33.75,34.06,33.63,33.94,235100.0,0.0,1.0,13.368806408414,13.49160137098,13.321272874517,13.444067837083,235100.0
2000-01-14,33.88,33.88,33.19,33.44,280900.0,0.0,1.0,13.420301070135,13.420301070135,13.14698325023,13.246011445847,280900.0
2000-01-18,33.44,33.44,32.31,32.31,416000.0,0.0,1.0,13.246011445847,13.246011445847,12.798404001655,12.798404001655,416000.0
2000-01-19,32.44,33.19,32.38,33.13,406200.0,0.0,1.0,12.849898663376,13.14698325023,12.826131896428,13.123216483281,406200.0
2000-01-20,32.94,33.06,32.75,33.0,212300.0,0.0,1.0,13.047955054612,13.095488588508,12.972693625942,13.07172182156,212300.0
2000-01-21,33.06,33.25,32.81,33.25,407000.0,0.0,1.0,13.095488588508,13.170750017178,12.99646039289,13.170750017178,407000.0
2000-01-24,33.25,33.94,33.25,33.44,342400.0,0.0,1.0,13.170750017178,13.444067837083,13.170750017178,13.246011445847,342400.0
2000-01-25,33.38,33.5,32.44,32.63,405900.0,0.0,1.0,13.222244678899,13.269778212796,12.849898663376,12.925160092045,405900.0
2000-01-26,32.75,33.25,32.69,33.0,324600.0,0.0,1.0,12.972693625942,13.170750017178,12.948926858994,13.07172182156,324600.0
2000-01-27,32.88,33.13,32.75,32.94,291100.0,0.0,1.0,13.024188287663,13.123216483281,12.972693625942,13.047955054612,291100.0
2000-01-28,32.69,32.81,32.25,32.31,610400.0,0.0,1.0,12.948926858994,12.99646039289,12.774637234706,12.798404001655,610400.0
2000-01-31,32.38,32.81,32.0,32.56,256700.0,0.0,1.0,12.826131896428,12.99646039289,12.675609039088,12.897432197272,256700.0
2000-02-01,32.81,32.81,32.31,32.56,185200.0,0.0,1.0,12.99646039289,12.99646039289,12.798404001655,12.897432197272,185200.0
2000-02-02,32.81,33.19,32.56,32.56,418500.0,0.0,1.0,12.99646039289,13.14698325023,12.897432197272,12.897432197272,418500.0
2000-02-03,32.56,33.44,32.56,32.94,434400.0,0.0,1.0,12.897432197272,13.246011445847,12.897432197272,13.047955054612,434400.0
2000-02-04,33.0,33.19,31.75,31.94,378700.0,0.0,1.0,13.07172182156,13.14698325023,12.576580843471,12.65184227214,378700.0
2000-02-07,31.94,31.94,31.63,31.75,234900.0,0.0,1.0,12.65184227214,12.65184227214,12.529047309574,12.576580843471,234900.0
2000-02-08,31.75,32.44,31.75,31.88,309900.0,0.0,1.0,12.576580843471,12.849898663376,12.576580843471,12.628075505192,309900.0
2000-02-09,32.5,32.5,31.5,31.56,328900.0,0.0,1.0,12.873665430324,12.873665430324,12.477552647853,12.501319414801,328900.0
2000-02-10,31.56,31.81,31.0,31.13,367100.0,0.0,1.0,12.501319414801,12.600347610419,12.279496256617,12.330990918338,367100.0
2000-02-11,31.13,31.38,31.0,31.0,446200.0,0.0,1.0,12.330990918338,12.430019113956,12.279496256617,12.279496256617,446200.0
2000-02-14,31.25,31.5,30.88,31.25,261500.0,0.0,1.0,12.378524452235,12.477552647853,12.23196272272,12.378524452235,261500.0
2000-02-15,31.25,31.31,31.0,31.13,199700.0,0.0,1.0,12.378524452235,12.402291219183,12.279496256617,12.330990918338,199700.0
2000-02-16,31.0,31.19,30.81,30.94,154000.0,0.0,1.0,12.279496256617,12.354757685287,12.204234827947,12.255729489669,154000.0
2000-02-17,30.94,30.94,30.44,30.5,186900.0,0.0,1.0,12.255729489669,12.255729489669,12.057673098433,12.081439865381,186900.0
2000-02-18,30.5,30.5,29.56,30.25,463200.0,0.0,1.0,12.081439865381,12.081439865381,11.709093849858,11.982411669763,463200.0
2000-02-22,30.5,30.63,30.13,30.44,209700.0,0.0,1.0,12.081439865381,12.132934527102,11.934878135867,12.057673098433,209700.0
2000-02-23,30.38,30.44,29.69,30.25,292300.0,0.0,1.0,12.033906331485,12.057673098433,11.760588511579,11.982411669763,292300.0
2000-02-24,30.25,30.25,28.5,28.88,397900.0,0.0,1.0,11.982411669763,11.982411669763,11.289214300438,11.439737157777,397900.0
2000-02-25,28.88,29.19,28.5,28.88,297400.0,0.0,1.0,11.439737157777,11.562532120343,11.289214300438,11.439737157777,297400.0
2000-02-28,29.13,30.13,28.88,30.06,652300.0,0.0,1.0,11.538765353395,11.934878135867,11.439737157777,11.907150241094,652300.0
2000-02-29,29.94,30.06,29.69,30.0,767000.0,0.0,1.0,11.859616707197,11.907150241094,11.760588511579,11.883383474145,767000.0
2000-03-01,29.81,29.94,29.0,29.5,317700.0,0.0,1.0,11.808122045476,11.859616707197,11.487270691674,11.68532708291,317700.0
2000-03-02,28.81,29.13,28.56,28.94,580800.0,0.0,1.0,11.412009263004,11.538765353395,11.312981067386,11.463503924726,580800.0
2000-03-03,29.0,29.5,28.81,29.19,273600.0,0.0,1.0,11.487270691674,11.68532708291,11.412009263004,11.562532120343,273600.0
2000-03-06,29.0,29.0,28.0,28.19,2242900.0,0.0,1.0,11.487270691674,11.487270691674,11.091157909202,11.166419337872,2242900.0
2000-03-07,27.75,28.38,27.63,27.88,294700.0,0.635,1.0,11.242488478582,11.49772335215,11.193872312188,11.295155992175,294700.0
2000-03-08,27.94,28.38,27.75,28.0,489500.0,0.0,1.0,11.319464075372,11.49772335215,11.242488478582,11.343772158569,489500.0
2000-03-09,28.0,28.25,27.75,28.06,379700.0,0.0,1.0,11.343772158569,11.445055838556,11.242488478582,11.368080241766,379700.0
2000-03-10,28.31,28.31,28.0,28.13,216800.0,0.0,1.0,11.469363921753,11.469363921753,11.343772158569,11.396439672162,216800.0
2000-03-13,28.25,28.25,27.88,28.13,252800.0,0.0,1.0,11.445055838556,11.445055838556,11.295155992175,11.396439672162,252800.0
2000-03-14,28.13,28.13,27.56,27.81,299800.0,0.0,1.0,11.396439672162,11.396439672162,11.165512881792,11.266796561779,299800.0
2000-03-15,27.81,29.19,27.81,29.06,446000.0,0.0,1.0,11.266796561779,11.825882475308,11.266796561779,11.773214961715,446000.0
2000-03-16,29.31,30.75,29.19,30.63,483700.0,0.0,1.0,11.874498641702,12.457892638429,11.825882475308,12.409276472035,483700.0
2000-03-17,30.38,30.5,30.0,30.13,806100.0,0.0,1.0,12.307992792047,12.356608958441,12.154041598467,12.20670911206,806100.0
2000-03-20,30.13,30.5,30.0,30.25,448600.0,0.0,1.0,12.20670911206,12.356608958441,12.154041598467,12.255325278454,448600.0
2000-03-21,30.25,30.5,30.25,30.44,508100.0,0.0,1.0,12.255325278454,12.356608958441,12.255325278454,12.332300875244,508100.0
2000-03-22,30.44,30.44,29.75,30.13,646400.0,0.0,1.0,12.332300875244,12.332300875244,12.05275791848,12.20670911206,646400.0
2000-03-23,29.88,30.69,29.88,30.19,321900.0,0.0,1.0,12.105425432073,12.433584555232,12.105425432073,12.231017195257,321900.0
2000-03-24,30.06,30.5,29.88,30.5,338500.0,0.0,1.0,12.178349681664,12.356608958441,12.105425432073,12.356608958441,338500.0
2000-03-27,30.63,31.06,30.56,30.94,229200.0,0.0,1.0,12.409276472035,12.583484401613,12.380917041638,12.534868235219,229200.0
2000-03-28,31.0,31.13,30.31,30.31,353500.0,0.0,1.0,12.559176318416,12.611843832009,12.279633361651,12.279633361651,353500.0
2000-03-29,30.38,31.19,30.38,30.69,369900.0,0.0,1.0,12.307992792047,12.636151915206,12.307992792047,12.433584555232,369900.0
2000-03-30,30.94,31.19,30.31,30.63,453500.0,0.0,1.0,12.534868235219,12.636151915206,12.279633361651,12.409276472035,453500.0
2000-03-31,30.94,30.94,30.31,30.94,320500.0,0.0,1.0,12.534868235219,12.534868235219,12.279633361651,12.534868235219,320500.0
2000-04-03,30.88,31.19,30.63,31.13,496600.0,0.0,1.0,12.510560152022,12.636151915206,12.409276472035,12.611843832009,496600.0
2000-04-04,31.06,32.13,31.06,31.94,640600.0,0.0,1.0,12.583484401613,13.016978551958,12.583484401613,12.940002955168,640600.0
2000-04-05,31.88,33.0,31.88,32.56,376900.0,0.0,1.0,12.915694871971,13.369445758314,12.915694871971,13.191186481536,376900.0
2000-04-06,32.63,32.81,31.94,32.19,366700.0,0.0,1.0,13.219545911932,13.292470161523,12.940002955168,13.041286635155,366700.0
2000-04-07,32.19,32.56,31.56,31.63,308300.0,0.0,1.0,13.041286635155,13.191186481536,12.786051761587,12.814411191984,308300.0
