Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,107.1,107.4,103.0,103.9,2220000.0,0.0,1.0,1049.7239156046,1052.6643187296,1009.5384062304,1018.3596156052,166500.0
2000-01-04,101.5,102.1,98.31,98.63,4853333.0,0.0,1.0,994.8363906057,1000.7171968556,963.5701040438,966.70653404374,363999.975
2000-01-05,98.63,99.94,96.63,99.13,3553333.0,0.0,1.0,966.70653404374,979.54629435599,947.10384654412,971.60720591865,266499.975
2000-01-06,99.0,103.6,98.5,101.9,3721333.0,0.0,1.0,970.33303123117,1015.4192124803,965.43235935627,998.75692810562,279099.975
2000-01-07,103.6,109.9,103.3,109.5,4382667.0,0.0,1.0,1015.4192124803,1077.1676781041,1012.4788093554,1073.2471406042,328700.025
2000-01-10,109.5,109.7,107.1,107.6,2173333.0,0.0,1.0,1073.2471406042,1075.2074093541,1049.7239156046,1054.6245874795,162999.975
2000-01-11,107.8,108.9,104.0,105.8,2589333.0,0.0,1.0,1056.5848562295,1067.3663343543,1019.3397499802,1036.9821687299,194199.975
2000-01-12,106.0,110.6,106.0,109.0,3258667.0,0.0,1.0,1038.9424374798,1084.028618729,1038.9424374798,1068.3464687293,244400.025
2000-01-13,109.0,113.1,109.0,112.0,3112000.0,0.0,1.0,1068.3464687293,1108.5319781035,1068.3464687293,1097.7504999787,233400.0
2000-01-14,112.3,114.5,111.6,114.1,3777333.0,0.0,1.0,1100.6909031036,1122.2538593532,1093.8299624788,1118.3333218533,283299.975
2000-01-18,112.3,112.3,107.9,108.4,3320000.0,0.0,1.0,1100.6909031036,1100.6909031036,1057.5649906045,1062.4656624794,249000.0
2000-01-19,108.6,109.9,105.8,106.3,3160000.0,0.0,1.0,1064.4259312293,1077.1676781041,1036.9821687299,1041.8828406048,237000.0
2000-01-20,107.0,107.2,103.0,105.3,2925333.0,0.0,1.0,1048.7437812297,1050.7040499796,1009.5384062304,1032.081496855,219399.975
2000-01-21,105.3,105.3,102.1,103.9,2988000.0,0.0,1.0,1032.081496855,1032.081496855,1000.7171968556,1018.3596156052,224100.0
2000-01-24,103.9,104.8,100.4,101.6,2248000.0,0.0,1.0,1018.3596156052,1027.1808249801,984.05491248091,995.81652498068,168600.0
2000-01-25,101.4,103.7,101.1,102.9,2269333.0,0.0,1.0,993.85625623072,1016.3993468553,990.91585310577,1008.5582718554,170199.975
2000-01-26,103.2,105.7,102.8,105.5,2845333.0,0.0,1.0,1011.4986749804,1036.0020343549,1007.5781374804,1034.0417656049,213399.975
2000-01-27,105.6,105.9,103.3,105.3,2708000.0,0.0,1.0,1035.0218999799,1037.9623031049,1012.4788093554,1032.081496855,203100.0
2000-01-28,104.6,104.6,101.0,102.0,3044000.0,0.0,1.0,1025.2205562301,1025.2205562301,989.93571873079,999.7370624806,228300.0
2000-01-31,102.5,104.4,100.1,104.4,2784000.0,0.0,1.0,1004.6377343555,1023.2602874801,981.11450935596,1023.2602874801,208800.0
2000-02-01,103.6,103.9,101.0,102.4,2804000.0,0.0,1.0,1015.4192124803,1018.3596156052,989.93571873079,1003.6575999805,210300.0
2000-02-02,102.9,103.4,101.3,102.3,2028000.0,0.0,1.0,1008.5582718554,1013.4589437303,992.87612185573,1002.6774656055,152100.0
2000-02-03,101.5,102.3,98.13,101.3,5034667.0,0.0,1.0,994.8363906057,1002.6774656055,961.80586216884,992.87612185573,377600.025
2000-02-04,101.9,102.4,99.81,100.8,1856000.0,0.0,1.0,998.75692810562,1003.6575999805,978.27211966852,987.97544998083,139200.0
2000-02-07,99.88,99.94,97.31,97.63,3374667.0,0.0,1.0,978.958213731,979.54629435599,953.76876029399,956.90519029393,253100.025
2000-02-08,96.38,97.81,93.06,95.94,7522667.0,0.0,1.0,944.65351060667,958.6694321689,912.1130493573,940.34091935675,564200.025
2000-02-09,96.75,97.63,95.5,97.31,4765333.0,0.0,1.0,948.2800077941,956.90519029393,936.02832810684,953.76876029399,357399.975
2000-02-10,98.5,98.63,93.25,94.31,4342667.0,0.0,1.0,965.43235935627,966.70653404374,913.97530466977,924.36472904456,325700.025
2000-02-11,95.31,95.75,93.81,94.81,3118667.0,0.0,1.0,934.16607279437,938.47866404429,919.46405716966,929.26540091947,233900.025
2000-02-14,95.38,96.19,93.38,93.69,2386667.0,0.0,1.0,934.85216685686,942.79125529421,915.24947935724,918.28789591968,179000.025
2000-02-15,94.0,97.25,93.0,96.44,4098667.0,0.0,1.0,921.32631248212,953.180679669,911.52496873231,945.24159123166,307400.025
2000-02-16,95.0,95.5,93.0,94.0,3316000.0,0.0,1.0,931.12765623193,936.02832810684,911.52496873231,921.32631248212,248700.0
2000-02-17,95.38,95.44,91.88,92.63,3005333.0,0.0,1.0,934.85216685686,935.44024748185,900.54746373253,907.89847154488,225399.975
2000-02-18,91.75,92.25,88.5,89.44,5558667.0,0.0,1.0,899.27328904505,904.17396091996,867.41892185817,876.63218498299,416900.025
2000-02-22,88.81,89.25,85.5,86.75,5946667.0,0.0,1.0,870.45733842061,874.76992967053,838.01489060874,850.266570296,446000.025
2000-02-23,85.75,86.56,84.56,85.5,6322667.0,0.0,1.0,840.46522654619,848.40431498354,828.80162748392,838.01489060874,474200.025
2000-02-24,85.25,85.38,82.75,83.13,5258667.0,0.0,1.0,835.56455467129,836.83872935876,811.06119529676,814.78570592169,394400.025
2000-02-25,83.38,85.19,83.13,83.63,3812000.0,0.0,1.0,817.23604185914,834.9764740463,814.78570592169,819.68637779659,285900.0
2000-02-28,85.0,88.88,85.0,87.19,4900000.0,0.0,1.0,833.11421873383,871.1434324831,833.11421873383,854.57916154592,367500.0
2000-02-29,88.0,89.94,85.81,88.44,4973333.0,0.0,1.0,862.51824998326,881.53285685789,841.05330717118,866.83084123318,372999.975
2000-03-01,89.25,90.13,87.63,89.56,3232000.0,0.05,1.0,875.25830055578,883.88829836518,859.37125913393,878.29841342046,242400.0
2000-03-02,89.31,89.63,86.63,87.0,2737333.0,0.0,1.0,875.84670949733,878.98489051893,849.56444344143,853.19296524765,205299.975
2000-03-03,88.88,88.94,85.63,87.38,3096000.0,0.0,1.0,871.62977874956,872.21818769111,839.75762774893,856.9195552108,232200.0
2000-03-06,87.13,87.13,83.81,84.75,3772000.0,0.0,1.0,854.46785128768,854.46785128768,821.90922318857,831.12762993952,282900.0
2000-03-07,85.0,85.06,79.5,81.44,5130667.0,0.0,1.0,833.57933386265,834.1677428042,779.64184755389,798.66706999734,384800.025
2000-03-08,80.44,85.13,78.56,83.0,6310667.0,0.0,1.0,788.86025430484,834.85421990267,770.42344080294,813.96570247765,473300.025
2000-03-09,82.13,83.19,80.81,82.94,4786667.0,0.0,1.0,805.43377282517,815.82899745922,792.48877611107,813.3772935361,359000.025
2000-03-10,83.13,83.94,81.75,83.0,3861333.0,0.0,1.0,815.24058851767,823.1841092286,801.70718286202,813.96570247765,289599.975
2000-03-13,82.0,86.44,81.63,86.25,4274667.0,0.0,1.0,804.15888678514,847.70114845985,800.53036497892,845.83785347828,320600.025
2000-03-14,86.75,86.75,85.31,85.75,3929333.0,0.0,1.0,850.74126132453,850.74126132453,836.61944672733,840.93444563203,294699.975
