Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,33.31,33.63,32.75,32.81,551200.0,0.0,1.0,22.071581363872,22.283616969889,21.700519053341,21.740275729469,551200.0
2000-01-04,32.5,32.56,31.25,31.81,430100.0,0.0,1.0,21.53486623614,21.574622912268,20.706602150135,21.077664460665,430100.0
2000-01-05,31.81,32.25,31.06,31.75,665300.0,0.0,1.0,21.077664460665,21.369213418939,20.580706009062,21.037907784537,665300.0
2000-01-06,32.5,35.44,31.81,34.13,1373900.0,0.0,1.0,21.53486623614,23.482943366425,21.077664460665,22.614922604291,1373900.0
2000-01-07,34.19,37.0,33.69,36.5,1199900.0,0.0,1.0,22.654679280419,24.516616945759,22.323373646017,24.185311311357,1199900.0
2000-01-10,35.0,35.63,33.75,34.25,973600.0,0.0,1.0,23.191394408151,23.608839507498,22.363130322145,22.694435956548,973600.0
2000-01-11,34.0,34.63,32.44,32.69,1166200.0,0.0,1.0,22.528783139346,22.946228238693,21.495109560012,21.660762377213,1166200.0
2000-01-12,33.0,33.81,32.75,33.25,1473100.0,0.0,1.0,21.866171870542,22.402886998274,21.700519053341,22.031824687743,1473100.0
2000-01-13,33.06,34.0,33.0,33.0,444000.0,0.0,1.0,21.90592854667,22.528783139346,21.866171870542,21.866171870542,444000.0
2000-01-14,33.0,33.31,32.25,32.38,1187500.0,0.0,1.0,21.866171870542,22.071581363872,21.369213418939,21.455352883884,1187500.0
2000-01-18,32.13,32.38,30.75,30.81,971400.0,0.0,1.0,21.289700066682,21.455352883884,20.375296515732,20.415053191861,971400.0
2000-01-19,31.5,31.63,30.69,30.88,814400.0,0.0,1.0,20.872254967336,20.95839443228,20.335539839604,20.461435980677,814400.0
2000-01-20,30.63,30.63,29.75,29.88,599500.0,0.0,1.0,20.295783163476,20.295783163476,19.712685246928,19.798824711873,599500.0
2000-01-21,31.0,31.31,28.5,28.94,923800.0,0.0,1.0,20.540949332934,20.746358826263,18.884421160923,19.175970119197,923800.0
2000-01-24,30.75,30.75,29.38,30.19,974600.0,0.0,1.0,20.375296515732,20.375296515732,19.467519077471,20.004234205202,974600.0
2000-01-25,30.25,31.25,29.75,31.06,1499500.0,0.0,1.0,20.04399088133,20.706602150135,19.712685246928,20.580706009062,1499500.0
2000-01-26,30.5,31.56,29.88,31.5,998700.0,0.0,1.0,20.209643698531,20.912011643464,19.798824711873,20.872254967336,998700.0
2000-01-27,30.88,31.19,30.44,30.88,589200.0,0.0,1.0,20.461435980677,20.666845474006,20.169887022403,20.461435980677,589200.0
2000-01-28,30.63,30.63,29.0,29.81,861200.0,0.0,1.0,20.295783163476,20.295783163476,19.215726795325,19.752441923056,861200.0
2000-01-31,30.06,30.06,29.44,29.63,698600.0,0.0,1.0,19.918094740258,19.918094740258,19.507275753599,19.633171894672,698600.0
2000-02-01,29.63,30.88,29.5,30.63,663600.0,0.0,1.0,19.633171894672,20.461435980677,19.547032429727,20.295783163476,663600.0
2000-02-02,30.63,30.75,30.06,30.38,783600.0,0.0,1.0,20.295783163476,20.375296515732,19.918094740258,20.130130346275,783600.0
