Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,41.4375,41.6875,39.8125,27.529343,40.1875,2638200
2000-01-04,40.1875,41.125,39.75,27.486559000000003,40.125,3592100
2000-01-05,41.375,43.3125,41.375,29.199121,42.625,7631700
2000-01-06,42.625,43.4375,41.125,29.498790999999997,43.0625,4922200
2000-01-07,43.6875,44.875,43.6875,30.35507,44.3125,6008300
2000-01-10,44.3125,44.5,43.5,29.926933000000002,43.6875,2403500
2000-01-11,43.6875,43.9375,42.75,29.370354,42.875,2450000
2000-01-12,42.875,44.1875,42.5,29.498790999999997,43.0625,2327800
2000-01-13,43.0625,43.375,42.0,29.027851000000002,42.375,3035100
2000-01-14,42.9375,44.25,42.9375,30.141012,44.0,3834900
2000-01-18,44.0,45.0,43.125,30.826023,45.0,5859800
2000-01-19,45.25,48.125,45.25,32.624214,47.625,11463600
2000-01-20,47.625,47.875,45.75,31.853566999999998,46.5,8941100
2000-01-21,46.5,46.9375,45.0,31.296985999999997,45.6875,4392500
2000-01-24,45.6875,46.1875,43.625,30.35507,44.3125,3306200
2000-01-25,44.75,46.0,44.75,31.296985999999997,45.6875,5057200
2000-01-26,45.6875,46.5,45.0,31.6395,46.1875,3090100
2000-01-27,46.1875,46.875,44.875,30.868847,45.0625,3339100
2000-01-28,45.0625,45.625,44.5,30.569143,44.625,2288100
2000-01-31,44.5625,44.5625,43.9375,30.483519,44.5,2411800
2000-02-01,44.1875,44.1875,43.3125,29.969746,43.75,2675800
2000-02-02,43.75,45.1875,43.375,30.569143,44.625,3295500
2000-02-03,44.625,45.0625,43.125,29.755674,43.4375,2889100
2000-02-04,43.4375,44.1875,42.5625,30.141012,44.0,2927200
2000-02-07,43.875,43.875,41.6875,28.642521000000002,41.8125,3029400
2000-02-08,41.8125,42.0625,40.0,28.085939,41.0,5102700
2000-02-09,40.25,40.25,38.375,26.80743,39.0,5525000
2000-02-10,39.0,40.1875,38.75,27.322964000000002,39.75,4060600
2000-02-11,39.75,40.375,39.125,27.40888,39.875,3132800
2000-02-14,39.6875,39.6875,38.0625,26.291895,38.25,2606300
2000-02-15,38.25,38.6875,37.375,26.463753000000004,38.5,3961300
2000-02-16,37.9375,37.9375,36.875,25.604532,37.25,3423000
2000-02-17,37.25,37.875,36.5625,25.776370999999997,37.5,3400500
2000-02-18,37.5,37.5,35.875,24.745314,36.0,5559500
2000-02-22,36.0,39.9375,35.875,26.721504,38.875,4771400
2000-02-23,38.6875,38.6875,37.0625,25.518614000000003,37.125,3880800
2000-02-24,37.0,37.0,35.875,25.131954,36.5625,4210800
2000-02-25,36.8125,38.0,36.8125,25.991182000000002,37.8125,3170600
2000-02-28,37.625,37.625,36.5625,25.432688,37.0,3573300
2000-02-29,37.0,37.625,36.125,25.389734,36.9375,3513100
2000-03-01,36.625,36.625,35.9375,24.960133,36.3125,2838000
2000-03-02,36.3125,37.1875,35.375,24.702360000000002,35.9375,4058200
2000-03-03,35.9375,36.5,35.6875,24.702360000000002,35.9375,3884100
2000-03-06,35.9375,36.1875,35.0,24.143869,35.125,2882000
2000-03-07,35.125,35.125,34.125,23.886114000000003,34.75,3565000
2000-03-08,34.1875,34.1875,33.375,22.940973,33.375,4134600
2000-03-09,33.375,34.5,33.25,23.19874,33.75,3236800
2000-03-10,33.75,33.9375,32.3125,22.253613,32.375,5114300
2000-03-13,32.375,33.125,32.0,22.42544,32.625,3422700
2000-03-14,32.625,33.8125,32.4375,22.726166,33.0625,3727900
2000-03-15,33.0625,35.5,32.875,23.972020999999998,34.875,4859300
2000-03-16,34.875,35.9375,34.6875,24.487551,35.625,4725200
2000-03-17,35.625,38.9375,35.375,26.120070000000002,38.0,15304900
2000-03-20,37.6875,37.6875,36.375,25.432688,37.0,5786400
2000-03-21,37.0,37.4375,36.1875,25.131954,36.5625,4165400
2000-03-22,36.5625,37.1875,35.75,24.91716,36.25,3359600
2000-03-23,35.9375,35.9375,34.8125,24.143869,35.125,4080400
2000-03-24,35.5,36.4375,35.5,24.745314,36.0,5797500
2000-03-27,36.125,37.3125,36.125,25.518614000000003,37.125,2534000
2000-03-28,37.125,38.1875,36.875,26.120070000000002,38.0,5056400
2000-03-29,38.0,38.1875,37.3125,26.034143,37.875,2731000
2000-03-30,37.875,38.9375,37.625,26.549667,38.625,3311100
2000-03-31,38.625,38.8125,37.8125,25.991182000000002,37.8125,4640100
2000-04-03,37.75,37.75,37.0625,25.561564999999998,37.1875,3234700
2000-04-04,37.1875,38.25,36.5625,25.647495000000003,37.3125,4004200
2000-04-05,37.25,37.25,36.0,24.788286,36.0625,2919900
2000-04-06,36.0625,36.4375,35.625,24.831245000000003,36.125,2970400
2000-04-07,36.125,36.3125,35.375,24.530506,35.6875,2381600
2000-04-10,35.625,35.625,35.0,24.10091,35.0625,2452600
2000-04-11,35.0625,36.375,35.0,24.530506,35.6875,2251100
2000-04-12,35.875,38.375,35.875,25.862307,37.625,4620200
2000-04-13,37.625,37.625,36.5,25.432688,37.0,2916700
2000-04-14,36.75,36.75,34.75,24.315723000000002,35.375,3744900
2000-04-17,35.375,35.375,34.0625,24.272757000000002,35.3125,3761600
2000-04-18,35.0625,35.0625,34.3125,23.886114000000003,34.75,3379100
2000-04-19,35.5625,37.75,35.5625,25.604532,37.25,5749000
2000-04-20,37.5,40.25,37.5,27.537764000000003,40.0625,8110700
2000-04-24,40.0625,41.25,37.5,26.034143,37.875,10279700
2000-04-25,38.25,39.5625,38.25,26.80743,39.0,5399600
2000-04-26,39.0,40.5625,39.0,27.451834,39.9375,5338300
2000-04-27,39.9375,40.25,38.9375,27.365917,39.8125,3176700
2000-04-28,39.8125,40.0625,38.9375,27.279995,39.6875,1853600
2000-05-01,39.6875,40.1875,39.0,26.850386,39.0625,2886100
2000-05-02,39.0625,39.0625,37.8125,26.077091,37.9375,2552200
2000-05-03,37.9375,38.1875,36.8125,25.647495000000003,37.3125,3311300
2000-05-04,37.8125,39.3125,37.8125,26.248945000000003,38.1875,2981100
2000-05-05,38.1875,39.875,37.9375,27.151128999999997,39.5,2794900
2000-05-08,39.5,39.5,38.1875,26.291895,38.25,3146400
2000-05-09,38.25,39.1875,38.125,26.334862,38.3125,2567300
2000-05-10,37.9375,37.9375,36.5625,25.439734,36.875,4880400
2000-05-11,37.0625,38.1875,37.0625,25.741554,37.3125,2947200
2000-05-12,37.3125,37.625,37.0625,25.655327,37.1875,2455200
2000-05-15,37.1875,37.5,36.4375,25.655327,37.1875,2913500
2000-05-16,37.1875,37.875,36.75,25.784670000000002,37.375,3815700
2000-05-17,37.375,37.5,36.5625,25.784670000000002,37.375,2739800
2000-05-18,37.375,37.75,37.125,25.957144,37.625,2050100
2000-05-19,37.375,37.375,36.25,25.482845,36.9375,2193900
2000-05-22,36.9375,37.6875,36.25,25.224135999999998,36.5625,2984100
2000-05-23,36.625,37.9375,36.625,25.612204000000002,37.125,2851600
2000-05-24,37.1875,39.0,37.1875,26.819516999999998,38.875,4642600
2000-05-25,38.6875,38.6875,37.875,26.474565999999996,38.375,3027300
2000-05-26,38.375,38.9375,38.0,26.388321,38.25,2102100
2000-05-30,38.5625,39.6875,38.5625,27.293817999999998,39.5625,2325300
2000-05-31,39.5625,39.625,39.0,26.94887,39.0625,2198600
2000-06-01,39.3125,40.25,39.3125,27.768108,40.25,2322800
2000-06-02,40.25,40.5625,39.5,27.509388,39.875,3449500
2000-06-05,39.4375,39.4375,38.5625,26.862637,38.9375,2478000
2000-06-06,39.0625,40.1875,39.0625,27.509388,39.875,2945300
2000-06-07,39.875,40.0,38.5,26.603918,38.5625,2843100
2000-06-08,38.5625,38.625,37.6875,26.345211,38.1875,2481700
2000-06-09,38.625,39.6875,38.625,27.035111999999998,39.1875,2714200
2000-06-12,39.0625,39.0625,38.0625,26.302101,38.125,1553800
2000-06-13,38.125,38.875,37.6875,26.776390000000003,38.8125,2599400
2000-06-14,38.8125,39.375,38.375,26.776390000000003,38.8125,2836500
2000-06-15,39.25,41.0,39.25,27.854349,40.375,6346900
2000-06-16,40.375,40.375,38.8125,27.078221999999997,39.25,4919000
2000-06-19,39.25,39.5625,38.5625,26.905756,39.0,3962300
2000-06-20,39.0,39.6875,38.3125,27.121342,39.3125,2827400
2000-06-21,39.3125,40.125,39.0625,27.466282,39.8125,2538000
2000-06-22,39.8125,39.9375,38.75,26.862637,38.9375,2102400
2000-06-23,39.375,40.125,39.375,27.509388,39.875,1984700
2000-06-26,39.875,40.0,39.5,27.423174,39.75,2666600
2000-06-27,39.75,40.25,39.3125,27.595641999999998,40.0,2845500
2000-06-28,40.25,41.625,40.25,27.962107,40.5312,3847800
2000-06-29,40.5312,41.5,40.5,28.242409000000002,40.9375,3364100
2000-06-30,41.0,42.25,41.0,28.846069,41.8125,4823600
2000-07-03,41.8125,41.9375,41.4375,28.759816999999998,41.6875,1232300
2000-07-05,42.0625,43.375,42.0625,29.535967,42.8125,4990900
2000-07-06,42.8125,43.1875,42.5625,29.665308000000003,43.0,3665200
2000-07-07,43.0625,44.0625,43.0625,30.182732,43.75,4256800
2000-07-10,43.75,44.0,43.0,29.665308000000003,43.0,2834200
2000-07-11,43.0625,44.75,43.0625,30.570790999999996,44.3125,3815200
2000-07-12,44.3125,44.375,43.6875,30.26897,43.875,2228800
