Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,26.91,26.97,25.42,25.61,571300.0,0.0,1.0,14.610373884726,14.642949969196,13.801401120392,13.904558721213,571300.0
2000-01-04,25.61,25.67,24.55,24.86,766700.0,0.0,1.0,13.904558721213,13.937134805683,13.329047895579,13.49735766534,766700.0
2000-01-05,24.93,25.49,24.74,25.18,620200.0,0.0,1.0,13.535363097222,13.839406552273,13.4322054964,13.671096782513,620200.0
2000-01-06,25.24,26.48,25.11,26.35,691500.0,0.0,1.0,13.703672866982,14.376911946026,13.633091350631,14.306330429675,691500.0
2000-01-07,27.04,27.04,26.23,26.54,579500.0,0.0,1.0,14.680955401078,14.680955401078,14.241178260735,14.409488030496,579500.0
2000-01-10,26.66,26.79,25.49,25.86,477600.0,0.0,1.0,14.474640199435,14.545221715787,13.839406552273,14.040292406504,477600.0
2000-01-11,25.61,25.73,25.05,25.18,319700.0,0.0,1.0,13.904558721213,13.969710890153,13.600515266161,13.671096782513,319700.0
2000-01-12,25.5,26.38,25.44,26.0,515300.0,0.2,1.0,13.951334637375,14.432792460155,13.91850796764,14.2248902185,515300.0
2000-01-13,26.56,28.63,26.56,28.12,1989500.0,0.0,1.0,14.53127246936,15.663792575217,14.53127246936,15.38476588247,1989500.0
2000-01-14,28.25,29.25,28.25,29.19,1026700.0,0.0,1.0,15.455890333562,16.003001495812,15.455890333562,15.970174826077,1026700.0
2000-01-18,29.0,29.0,27.69,27.88,1078700.0,0.0,1.0,15.86622370525,15.86622370525,15.149508082702,15.25345920353,1078700.0
2000-01-19,28.37,28.5,27.31,27.5,573600.0,0.0,1.0,15.521543673032,15.592668124125,14.941605841047,15.045556961875,573600.0
2000-01-20,27.5,27.62,26.38,26.5,431300.0,0.0,1.0,15.045556961875,15.111210301345,14.432792460155,14.498445799625,431300.0
2000-01-21,27.19,27.19,26.44,26.75,502800.0,0.0,1.0,14.875952501577,14.875952501577,14.46561912989,14.635223590187,502800.0
2000-01-24,26.75,26.75,25.75,26.0,407500.0,0.0,1.0,14.635223590187,14.635223590187,14.088112427937,14.2248902185,407500.0
2000-01-25,25.88,26.44,25.63,26.0,456600.0,0.0,1.0,14.15923687903,14.46561912989,14.022459088467,14.2248902185,456600.0
2000-01-26,26.06,27.62,25.94,27.62,695100.0,0.0,1.0,14.257716888235,15.111210301345,14.192063548765,15.111210301345,695100.0
2000-01-27,28.5,28.69,27.62,28.0,667200.0,0.0,1.0,15.592668124125,15.696619244952,15.111210301345,15.319112543,667200.0
2000-01-28,27.75,27.75,26.87,27.62,684300.0,0.0,1.0,15.182334752437,15.182334752437,14.700876929657,15.111210301345,684300.0
2000-01-31,27.38,28.12,27.0,28.12,831700.0,0.0,1.0,14.979903622405,15.38476588247,14.77200138075,15.38476588247,831700.0
2000-02-01,28.12,28.75,27.62,28.5,635100.0,0.0,1.0,15.38476588247,15.729445914687,15.111210301345,15.592668124125,635100.0
2000-02-02,29.12,29.12,28.0,28.19,614000.0,0.0,1.0,15.93187704472,15.93187704472,15.319112543,15.423063663827,614000.0
2000-02-03,28.12,28.63,27.81,28.5,819600.0,0.0,1.0,15.38476588247,15.663792575217,15.215161422172,15.592668124125,819600.0
2000-02-04,28.44,28.44,27.38,27.5,394100.0,0.0,1.0,15.55984145439,15.55984145439,14.979903622405,15.045556961875,394100.0
2000-02-07,25.06,26.25,25.06,26.25,2087800.0,0.0,1.0,13.710605725985,14.361668009062,13.710605725985,14.361668009062,2087800.0
2000-02-08,26.19,26.38,25.94,26.06,970000.0,0.0,1.0,14.328841339327,14.432792460155,14.192063548765,14.257716888235,970000.0
2000-02-09,26.19,26.19,25.69,25.94,1075600.0,0.0,1.0,14.328841339327,14.328841339327,14.055285758202,14.192063548765,1075600.0
2000-02-10,25.75,25.94,25.0,25.25,376800.0,0.0,1.0,14.088112427937,14.192063548765,13.67777905625,13.814556846812,376800.0
2000-02-11,25.25,25.88,25.0,25.37,603600.0,0.0,1.0,13.814556846812,14.15923687903,13.67777905625,13.880210186282,603600.0
2000-02-14,25.44,25.5,24.69,25.0,680400.0,0.0,1.0,13.91850796764,13.951334637375,13.508174595952,13.67777905625,680400.0
2000-02-15,25.0,25.88,24.81,25.75,779500.0,0.0,1.0,13.67777905625,14.15923687903,13.573827935422,14.088112427937,779500.0
2000-02-16,25.63,25.75,24.94,25.0,491500.0,0.0,1.0,14.022459088467,14.088112427937,13.644952386515,13.67777905625,491500.0
2000-02-17,25.0,25.12,23.69,24.06,642800.0,0.0,1.0,13.67777905625,13.74343239572,12.961063433702,13.163494563735,642800.0
2000-02-18,24.13,24.25,23.38,23.56,655500.0,0.0,1.0,13.201792345092,13.267445684562,12.791458973405,12.88993898261,655500.0
2000-02-22,23.75,24.13,23.38,23.94,422700.0,0.0,1.0,12.993890103437,13.201792345092,12.791458973405,13.097841224265,422700.0
2000-02-23,23.94,23.94,23.06,23.06,430000.0,0.0,1.0,13.097841224265,13.097841224265,12.616383401485,12.616383401485,430000.0
2000-02-24,23.19,23.38,22.06,22.63,794900.0,0.0,1.0,12.687507852577,12.791458973405,12.069272239235,12.381125601717,794900.0
2000-02-25,23.12,23.25,22.5,22.69,505000.0,0.0,1.0,12.64921007122,12.720334522312,12.310001150625,12.413952271452,505000.0
2000-02-28,22.81,23.62,22.69,23.31,509100.0,0.0,1.0,12.479605610922,12.922765652345,12.413952271452,12.753161192047,509100.0
2000-02-29,23.06,23.5,22.56,23.5,574800.0,0.0,1.0,12.616383401485,12.857112312875,12.34282782036,12.857112312875,574800.0
2000-03-01,23.44,23.5,22.63,23.12,432100.0,0.0,1.0,12.82428564314,12.857112312875,12.381125601717,12.64921007122,432100.0
2000-03-02,22.94,23.0,22.37,23.0,549600.0,0.0,1.0,12.550730062015,12.58355673175,12.238876699532,12.58355673175,549600.0
2000-03-03,22.5,23.56,22.5,23.38,564500.0,0.0,1.0,12.310001150625,12.88993898261,12.310001150625,12.791458973405,564500.0
2000-03-06,23.25,23.25,22.19,22.63,471200.0,0.0,1.0,12.720334522312,12.720334522312,12.140396690327,12.381125601717,471200.0
2000-03-07,22.75,22.75,22.0,22.0,491700.0,0.0,1.0,12.446778941187,12.446778941187,12.0364455695,12.0364455695,491700.0
2000-03-08,21.75,22.31,21.69,22.12,455000.0,0.0,1.0,11.899667778937,12.206050029797,11.866841109202,12.10209890897,455000.0
2000-03-09,22.12,22.94,22.0,22.94,519400.0,0.0,1.0,12.10209890897,12.550730062015,12.0364455695,12.550730062015,519400.0
2000-03-10,22.94,22.94,22.31,22.56,470100.0,0.0,1.0,12.550730062015,12.550730062015,12.206050029797,12.34282782036,470100.0
2000-03-13,22.0,22.88,22.0,22.88,460300.0,0.0,1.0,12.0364455695,12.51790339228,12.0364455695,12.51790339228,460300.0
2000-03-14,22.63,22.63,21.69,22.37,457300.0,0.0,1.0,12.381125601717,12.381125601717,11.866841109202,12.238876699532,457300.0
2000-03-15,22.12,25.0,21.94,24.81,1193500.0,0.0,1.0,12.10209890897,13.67777905625,12.003618899765,13.573827935422,1193500.0
2000-03-16,24.75,27.31,24.44,27.31,1192300.0,0.0,1.0,13.541001265687,14.941605841047,13.37139680539,14.941605841047,1192300.0
2000-03-17,27.56,27.56,25.81,26.75,1020300.0,0.0,1.0,15.07838363161,15.07838363161,14.120939097672,14.635223590187,1020300.0
2000-03-20,26.56,26.69,25.0,26.12,1024800.0,0.0,1.0,14.53127246936,14.602396920452,13.67777905625,14.29054355797,1024800.0
2000-03-21,26.0,27.62,26.0,27.62,1026300.0,0.0,1.0,14.2248902185,15.111210301345,14.2248902185,15.111210301345,1026300.0
2000-03-22,27.5,27.88,27.13,27.75,441800.0,0.0,1.0,15.045556961875,15.25345920353,14.843125831842,15.182334752437,441800.0
2000-03-23,27.5,28.63,27.19,28.63,612000.0,0.0,1.0,15.045556961875,15.663792575217,14.875952501577,15.663792575217,612000.0
2000-03-24,28.25,28.81,27.62,28.37,661500.0,0.0,1.0,15.455890333562,15.762272584422,15.111210301345,15.521543673032,661500.0
