Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,53.06,53.19,50.63,50.81,192500.0,0.0,1.0,22.581450293758,22.636776123727,21.547282856633,21.623887851976,385000.0
2000-01-04,50.5,51.75,49.94,50.38,383700.0,0.0,1.0,21.491957026663,22.023936160987,21.253630374487,21.440887029768,767400.0
2000-01-05,50.31,52.38,49.94,52.25,187500.0,0.0,1.0,21.411096198246,22.292053644686,21.253630374487,22.236727814716,375000.0
2000-01-06,52.0,54.06,52.0,53.31,633600.0,0.0,1.0,22.130331987851,23.007033601216,22.130331987851,22.687846120622,1267200.0
2000-01-07,53.25,54.94,53.25,54.69,202700.0,0.0,1.0,22.662311122175,23.38154691178,22.662311122175,23.275151084915,405400.0
2000-01-10,54.44,54.88,53.56,53.81,155100.0,0.0,1.0,23.168755258051,23.356011913332,22.794241947487,22.900637774352,310200.0
2000-01-11,53.56,54.69,53.56,53.69,154900.0,0.0,1.0,22.794241947487,23.275151084915,22.794241947487,22.849567777457,309800.0
2000-01-12,53.63,53.63,52.63,52.75,122700.0,0.0,1.0,22.824032779009,22.824032779009,22.39844947155,22.449519468445,245400.0
2000-01-13,52.56,54.5,52.56,53.31,236200.0,0.0,1.0,22.368658640028,23.194290256498,22.368658640028,22.687846120622,472400.0
2000-01-14,53.38,53.38,51.19,52.31,161900.0,0.0,1.0,22.717636952144,22.717636952144,21.78560950881,22.262262813164,323800.0
2000-01-18,52.38,52.38,49.0,49.81,363100.0,0.0,1.0,22.292053644686,22.292053644686,20.853582065475,21.198304544517,726200.0
2000-01-19,49.88,49.88,48.38,49.19,515900.0,0.0,1.0,21.228095376039,21.228095376039,20.589720414851,20.934442893893,1031800.0
2000-01-20,49.0,49.0,47.88,48.0,176500.0,0.2,1.0,20.940471990748,20.940471990748,20.46183263096,20.513115419508,353000.0
2000-01-21,48.63,49.0,47.0,47.56,162600.0,0.0,1.0,20.78235005939,20.940471990748,20.085758848269,20.325078528163,325200.0
2000-01-24,47.5,47.63,43.94,45.75,722000.0,0.0,1.0,20.299437133889,20.35499348815,18.778047740275,19.551563134219,1444000.0
