Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,38.25,38.38,36.38,37.0,2569000.0,0.0,1.0,26.20181160646,26.290863515187,24.920834150144,25.345543253307,2569000.0
2000-01-04,36.94,36.94,34.88,35.94,2837900.0,0.0,1.0,25.304442372356,25.304442372356,23.893312126361,24.619427689834,2837900.0
2000-01-05,35.5,36.19,34.63,35.38,3077800.0,0.0,1.0,24.318021229525,24.790681360465,23.722058455731,24.235819467622,3077800.0
2000-01-06,35.06,36.25,34.75,36.0,3495100.0,0.0,1.0,24.016614769215,24.831782241416,23.804260217633,24.660528570785,3495100.0
2000-01-07,35.63,37.88,35.63,37.88,2220500.0,0.0,1.0,24.407073138252,25.948356173926,24.407073138252,25.948356173926,2220500.0
2000-01-10,38.0,38.0,36.0,36.19,1436500.0,0.0,1.0,26.030557935829,26.030557935829,24.660528570785,24.790681360465,1436500.0
2000-01-11,35.5,35.81,35.06,35.31,1678600.0,0.0,1.0,24.318021229525,24.530375781106,24.016614769215,24.187868439845,1678600.0
2000-01-12,35.31,36.63,35.31,36.44,1508000.0,0.0,1.0,24.187868439845,25.092087820774,24.187868439845,24.961935031095,1508000.0
2000-01-13,38.0,38.06,37.19,37.38,1688400.0,0.0,1.0,26.030557935829,26.07165881678,25.475696042986,25.605848832666,1688400.0
2000-01-14,39.0,40.0,38.44,39.13,2143000.0,0.0,1.0,26.715572618351,27.400587300873,26.331964396139,26.804624527079,2143000.0
2000-01-18,38.0,38.56,37.31,37.38,1518900.0,0.0,1.0,26.030557935829,26.414166158041,25.557897804889,25.605848832666,1518900.0
2000-01-19,37.5,38.69,37.06,37.13,2153600.0,0.169599,1.0,25.805386110129,26.624277029357,25.502602913104,25.550772967176,2153600.0
2000-01-20,37.75,37.75,36.75,36.75,1368500.0,0.0,1.0,25.97742201753,25.97742201753,25.289278387927,25.289278387927,1368500.0
2000-01-21,38.0,38.0,36.25,36.38,1647800.0,0.0,1.0,26.149457924931,26.149457924931,24.945206573125,25.034665244974,1647800.0
2000-01-24,36.81,37.31,35.75,36.25,1068000.0,0.0,1.0,25.330567005703,25.674638820505,24.601134758323,24.945206573125,1068000.0
2000-01-25,36.25,37.25,35.81,36.31,1504400.0,0.0,1.0,24.945206573125,25.633350202729,24.6424233761,24.986495190901,1504400.0
2000-01-26,36.38,39.5,36.19,39.44,2116300.0,0.0,1.0,25.034665244974,27.181673369336,24.903917955349,27.14038475156,2116300.0
2000-01-27,39.88,40.38,38.75,39.06,2499300.0,0.0,1.0,27.443167948586,27.787239763387,26.665565647134,26.878890172311,2499300.0
2000-01-28,38.0,38.38,37.5,37.75,1849500.0,0.0,1.0,26.149457924931,26.41095250418,25.805386110129,25.97742201753,1849500.0
