Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,71.6875,72.0,69.75,54.06124499999999,70.0,3176300
2000-01-04,69.125,70.5625,67.8125,54.06124499999999,70.0,2568200
2000-01-05,65.25,65.25,61.875,48.655136,63.0,5085700
2000-01-06,63.25,63.75,58.5625,45.565903000000006,59.0,3903700
2000-01-07,60.0,60.5625,58.625,45.372837,58.75,2984000
2000-01-10,60.25,64.0,60.125,48.413784,62.6875,3171300
2000-01-11,63.25,66.375,63.0,50.537613,65.4375,2538200
2000-01-12,67.0,68.75,65.5,52.951065,68.5625,2695000
2000-01-13,68.5625,68.5625,64.0,49.427433,64.0,1342000
2000-01-14,66.0,66.75,64.8125,50.634144,65.5625,1830400
2000-01-18,66.125,66.375,63.75,49.427433,64.0,2053500
2000-01-19,64.125,65.3125,63.875,49.427433,64.0,1888400
2000-01-20,65.25,69.4375,65.125,53.482020999999996,69.25,3729000
2000-01-21,69.9375,71.25,68.125,54.688736,70.8125,3247400
2000-01-24,72.8125,77.0,71.875,57.150482,74.0,4893800
2000-01-25,72.75,75.0,71.125,57.681422999999995,74.6875,3539300
2000-01-26,74.875,76.6875,73.625,57.92276,75.0,2815500
2000-01-27,74.5625,79.4375,71.5,55.992012,72.5,5171300
2000-01-28,71.25,72.375,67.3125,53.095875,68.75,3291900
2000-01-31,68.0,70.25,65.5625,52.902802,68.5,2867100
2000-02-01,68.75,70.5625,66.875,54.350853,70.375,1950100
2000-02-02,71.25,71.4375,68.8125,54.06124499999999,70.0,2208000
2000-02-03,70.875,71.375,69.625,54.254311,70.25,2074700
2000-02-04,70.5,72.5,70.25,54.640471999999995,70.75,2035400
2000-02-07,71.25,71.6875,69.0,53.482020999999996,69.25,1616200
2000-02-08,71.1875,71.9375,70.3125,54.688736,70.8125,3181600
2000-02-09,72.5,72.5,69.875,54.254311,70.25,1944700
2000-02-10,70.3125,71.6875,68.625,52.999329,68.625,2361100
2000-02-11,69.625,70.25,69.0625,53.868182999999995,69.75,2083500
2000-02-14,68.0625,69.875,66.8125,53.53029300000001,69.3125,4667900
2000-02-15,70.625,73.5,69.5,56.378184999999995,73.0,4200500
2000-02-16,73.75,74.375,72.625,56.185093,72.75,2689500
2000-02-17,72.75,73.75,71.375,55.895454,72.375,2488800
2000-02-18,73.75,74.25,71.25,55.026627000000005,71.25,2811200
2000-02-22,71.5,71.8125,67.5625,53.723385,69.5625,2438700
2000-02-23,70.375,70.375,67.75,52.516663,68.0,2727900
2000-02-24,69.375,70.25,65.5,52.371849,67.8125,2791800
2000-02-25,68.25,68.25,64.9375,50.827232,65.8125,2415600
2000-02-28,65.875,66.0625,63.625,49.765312,64.4375,2124200
2000-02-29,65.75,66.375,64.0625,49.620521999999994,64.25,2526200
2000-03-01,66.0,67.25,65.8125,51.213383,66.3125,3100200
2000-03-02,66.3125,66.3125,64.625,50.103207,64.875,2232800
2000-03-03,65.125,65.8125,64.875,50.344536,65.1875,2233700
2000-03-06,66.25,66.5625,63.1875,49.282627000000005,63.8125,3251000
2000-03-07,63.9375,64.625,62.6875,48.655136,63.0,3036500
2000-03-08,62.75,64.1875,59.75,46.531288,60.25,2976900
2000-03-09,60.25,66.0625,60.25,50.972054,66.0,5062400
2000-03-10,66.125,68.0,65.375,51.358196,66.5,1866400
2000-03-13,64.3125,65.4375,64.0,50.054932,64.8125,2775600
2000-03-14,65.25,66.25,62.0,48.075901,62.25,2455100
2000-03-15,64.0,64.125,61.875,48.510323,62.8125,2981900
2000-03-16,62.5625,64.5625,61.5,49.523975,64.125,2794600
2000-03-17,64.0,65.5625,63.0625,50.634144,65.5625,2845800
2000-03-20,66.25,67.8125,64.0,49.427433,64.0,2291100
2000-03-21,65.3125,66.25,64.625,50.972054,66.0,2025100
2000-03-22,66.0,68.25,66.0,50.972054,66.0,2438700
2000-03-23,66.0625,66.25,64.375,50.489357,65.375,2413500
2000-03-24,65.5,66.5625,64.875,51.406464,66.5625,3025900
2000-03-27,66.625,66.625,64.625,50.537613,65.4375,3051500
2000-03-28,64.25,64.625,63.0,48.655136,63.0,2182700
2000-03-29,62.875,63.0,60.6875,47.593201,61.625,2354600
2000-03-30,60.0625,60.75,55.75,44.117851,57.125,6038600
2000-03-31,58.5,60.0625,58.0,45.179764,58.5,6097600
2000-04-03,58.375,58.375,55.5,45.083225,58.375,4795300
2000-04-04,58.25,58.3125,53.375,44.021313,57.0,4438900
2000-04-05,56.625,58.0,55.0,44.069584000000006,57.0625,2869000
2000-04-06,57.25,60.375,57.1875,45.131496000000006,58.4375,3809500
2000-04-07,60.625,62.625,60.25,47.593201,61.625,4703700
2000-04-10,62.4375,63.0,58.3125,48.558578000000004,62.875,3498100
2000-04-11,59.6875,60.4375,57.875,45.722778000000005,59.203098,3244500
2000-04-12,58.0,58.5625,55.25,42.862854,55.5,3300700
2000-04-13,55.5,57.1875,54.125,42.476696000000004,55.0,2619300
2000-04-14,53.3125,54.0,50.5,40.932087,53.0,3790200
2000-04-17,52.5,53.9375,50.5,40.449417,52.375,2733300
2000-04-18,52.625,52.875,50.5625,39.773651,51.5,4914400
2000-04-19,51.0625,51.5,48.0,38.711715999999996,50.125,6098100
2000-04-20,51.125,52.5625,50.375,40.208057000000004,52.0625,3241700
2000-04-24,50.375,50.75,48.0,38.711715999999996,50.125,2804000
2000-04-25,50.0625,51.8125,49.0,39.387474,51.0,3085800
2000-04-26,51.75,55.125,51.625,42.380154,54.875,3107900
2000-04-27,53.625,56.5,53.125,42.814575,55.4375,2392800
2000-04-28,56.4375,56.75,54.8125,43.104198,55.8125,1405100
2000-05-01,56.0625,56.875,54.75,42.428444,54.9375,1625900
2000-05-02,53.8125,54.25,52.9375,40.980362,53.0625,2448100
2000-05-03,53.0,53.0,48.8125,38.615173,50.0,2725900
2000-05-04,50.25,51.4375,49.5,39.435764,51.0625,3138200
2000-05-05,50.9375,53.75,50.8125,40.980362,53.0625,2303500
2000-05-08,52.0625,52.125,44.9375,36.201729,46.875,7736100
2000-05-09,47.5,48.375,45.6875,35.42942,45.875,8114100
2000-05-10,45.625,45.875,42.875,34.367512,44.5,5247600
2000-05-11,46.25,52.125,44.6875,39.773651,51.5,6260600
2000-05-12,51.0,52.9375,48.6875,38.229027,49.5,3468100
2000-05-15,49.0,53.0,48.25,40.208057000000004,52.0625,4119900
2000-05-16,53.5,55.6875,53.3125,42.476696000000004,55.0,5991200
2000-05-17,54.0,54.25,53.0,41.366508,53.5625,1997500
2000-05-18,51.875,53.5,51.3125,39.966709,51.75,1896100
2000-05-19,50.25,51.0,49.25,38.180748,49.4375,2829300
2000-05-22,49.375,50.875,46.125,39.001335,50.5,3359300
2000-05-23,50.5,51.9375,49.8125,38.518646000000004,49.875,2352300
2000-05-24,49.875,51.1875,49.0,39.387474,51.0,2003800
2000-05-25,51.9375,52.5625,50.375,39.001335,50.5,1946300
2000-05-26,50.75,51.875,50.25,39.290951,50.875,1370700
2000-05-30,51.75,53.6875,51.6875,40.835556,52.875,2209700
2000-05-31,53.3125,53.5,51.5,39.773651,51.5,1809100
2000-06-01,52.75,54.75,52.375,41.849216,54.1875,1338700
2000-06-02,56.9375,57.5,56.375,44.021313,57.0,2599800
2000-06-05,55.75,56.625,55.625,43.393803000000005,56.1875,2052100
2000-06-06,56.0,56.6875,53.6875,41.511322,53.75,2027200
2000-06-07,54.1875,54.6875,52.3125,41.607853000000006,53.875,2538000
2000-06-08,54.5,55.4375,54.0,42.283627,54.75,1887800
2000-06-09,55.5,59.25,55.375,45.469376000000004,58.875,3860700
2000-06-12,58.0,58.4375,49.0,38.615173,50.0,4812800
2000-06-13,53.5,53.5,49.5,40.545937,52.5,9285500
2000-06-14,52.375,52.8125,51.5,40.352871,52.25,2442500
2000-06-15,52.5,54.6875,51.5625,41.704390999999994,54.0,2685800
2000-06-16,54.0,56.125,53.5,42.814575,55.4375,2878900
2000-06-19,55.5,56.6875,54.625,42.959377,55.625,2320400
