Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,17.0625,17.125,16.125,7.776484,16.3125,1368700
2000-01-04,16.1875,16.25,15.4375,7.716892999999999,16.1875,1283100
2000-01-05,16.1875,16.1875,15.1875,7.269976,15.25,1865000
2000-01-06,15.25,16.1875,15.25,7.657309,16.0625,1076200
2000-01-07,16.25,19.0,16.25,8.640541,18.125,5434300
2000-01-10,18.625,19.0625,18.4375,8.908693,18.6875,1611500
2000-01-11,18.875,18.875,17.75,8.491567,17.8125,939000
2000-01-12,17.8125,18.6875,17.8125,8.789513000000001,18.4375,1011200
2000-01-13,18.625,19.75,18.4375,9.415208999999999,19.75,1079400
2000-01-14,20.0,20.875,20.0,9.802541,20.5625,1698000
2000-01-18,20.5,20.5,19.0625,9.147055,19.1875,493600
2000-01-19,19.1875,20.0,19.125,9.415208999999999,19.75,734100
2000-01-20,19.625,19.9375,19.5625,9.415208999999999,19.75,656400
2000-01-21,20.0,20.3125,19.75,9.564186,20.0625,909300
2000-01-24,20.25,20.5,20.0,9.564186,20.0625,599200
2000-01-25,20.125,20.1875,19.1875,9.325825,19.5625,853500
2000-01-26,19.5625,19.5625,18.1875,9.027874,18.9375,1765100
2000-01-27,18.9375,19.0,18.25,8.789513000000001,18.4375,687900
2000-01-28,18.5,18.5,17.75,8.580947,18.0,442000
2000-01-31,18.0,18.0625,17.5,8.431977999999999,17.6875,679200
2000-02-01,17.6875,18.1875,17.5,8.580947,18.0,1109300
2000-02-02,18.0,18.125,16.9375,8.282998,17.375,1280200
2000-02-03,17.625,17.875,16.8125,8.104232000000001,17.0,960600
2000-02-04,17.1875,17.3125,16.75,8.044642,16.875,891000
2000-02-07,17.0625,17.0625,16.375,7.9850520000000005,16.75,429500
2000-02-08,16.6875,16.75,16.25,7.836078,16.4375,598500
2000-02-09,16.375,16.5625,15.8125,7.597716999999999,15.9375,417400
2000-02-10,16.0,16.0625,15.0,7.359357000000001,15.4375,755800
2000-02-11,15.5,15.8125,14.875,7.121002000000001,14.9375,3768400
2000-02-14,15.0625,15.1875,14.8125,7.121002000000001,14.9375,521800
2000-02-15,15.0,15.1875,14.875,7.240178,15.1875,1230900
2000-02-16,15.5,18.3125,15.5,8.640541,18.125,5838300
2000-02-17,19.375,19.375,18.625,9.057673,19.0,2032000
2000-02-18,19.0,19.0,18.0,8.700137,18.25,822300
2000-02-22,18.25,18.5,17.375,8.312797,17.4375,788300
2000-02-23,17.5,17.5,16.75,8.104232000000001,17.0,649100
2000-02-24,17.1875,17.375,16.8125,8.163819,17.125,1224200
2000-02-25,17.125,17.25,16.75,7.9850520000000005,16.75,543900
2000-02-28,17.0,17.125,16.75,8.104232000000001,17.0,719800
2000-02-29,17.5,17.875,17.25,8.521359,17.875,1161900
2000-03-01,17.625,17.625,16.625,8.074436,16.9375,1165300
2000-03-02,16.9375,16.9375,16.25,7.86587,16.5,1217600
2000-03-03,16.375,16.5,16.25,7.86587,16.5,752200
2000-03-06,16.0,16.5625,15.375,7.478536,15.6875,1352400
2000-03-07,15.5,15.5,14.125,7.0018199999999995,14.6875,2141900
2000-03-08,14.9375,14.9375,14.0625,7.031613,14.75,983100
2000-03-09,14.75,15.3125,14.6875,7.269976,15.25,1049000
2000-03-10,15.1875,15.3125,14.25,7.210382000000001,15.125,1884800
2000-03-13,15.0,15.375,14.75,7.121002000000001,14.9375,496600
2000-03-14,15.0625,15.5,14.875,7.121002000000001,14.9375,649800
2000-03-15,14.9375,15.6875,14.875,7.441555999999999,15.4375,2957300
2000-03-16,15.6875,17.9375,15.6875,8.496030000000001,17.625,3525700
2000-03-17,17.375,18.4375,17.0,8.224876,17.0625,1485400
2000-03-20,16.8125,17.0,16.0625,7.983859,16.5625,720600
2000-03-21,16.4375,18.25,16.4375,8.767178999999999,18.1875,1084300
2000-03-22,19.0,19.0,17.0,8.556287,17.75,1932700
2000-03-23,17.9375,19.0,17.375,9.008199000000001,18.6875,842600
2000-03-24,18.6875,20.0,18.375,9.158839,19.0,1623100
2000-03-27,19.0,19.0,18.0,8.917819999999999,18.5,516200
2000-03-28,18.375,19.25,18.3125,9.158839,19.0,917000
2000-03-29,18.875,19.25,18.75,9.212173,19.0,882100
2000-03-30,19.0,20.9375,18.875,10.151574,20.9375,1697500
2000-03-31,21.0,23.0625,21.0,11.090968,22.875,3413100
2000-04-03,22.75,22.8125,22.25,10.909157,22.5,1337900
2000-04-04,22.5,22.875,20.875,10.57581,21.8125,1659100
2000-04-05,22.0625,22.0625,21.25,10.57581,21.8125,1196800
2000-04-06,21.875,22.0,20.3125,10.212182,21.0625,1847300
2000-04-07,21.25,21.4375,21.1875,10.303092999999999,21.25,1056700
2000-04-10,21.375,21.625,21.125,10.484906,21.625,654200
