Date,Open,High,Low,Close,Adj Close,Volume
2002-12-06,7.8,8.64,7.78,5.724619000000001,8.58,27551000
2002-12-09,8.54,8.56,8.228,5.607189,8.404,3149500
2002-12-10,8.41,8.66,8.33,5.704603,8.55,1723000
2002-12-11,8.54,9.1,8.46,6.012853,9.012,2549000
2002-12-12,9.012,9.012,8.72,5.859395,8.782,1355500
2002-12-13,8.782,8.794,8.65,5.824698000000001,8.73,987500
2002-12-16,8.7,8.75,8.59,5.751307,8.62,798000
2002-12-17,8.6,8.8,8.56,5.773993,8.654,1646000
2002-12-18,8.64,8.64,8.51,5.693926,8.534,742000
2002-12-19,8.51,8.54,8.434,5.644553,8.46,684000
2002-12-20,8.48,8.92,8.4,5.931451999999999,8.89,904500
2002-12-23,8.87,8.91,8.67,5.791339,8.68,638500
2002-12-24,8.72,8.72,8.592,5.744634,8.61,218000
2002-12-26,8.62,8.63,8.51,5.6845870000000005,8.52,325000
2002-12-27,8.5,8.5,8.35,5.604518,8.4,830500
2002-12-30,8.46,8.57,8.42,5.64722,8.464,1076500
2002-12-31,8.454,8.76,8.454,5.826033,8.732,1778000
2003-01-02,8.732,8.79,8.69,5.834043,8.744,315000
2003-01-03,8.744,9.16,8.704,6.111597,9.16,861500
2003-01-06,9.006,9.67,9.006,6.4185099999999995,9.62,1874500
2003-01-07,9.6,9.72,9.45,6.407837000000001,9.604,1383000
2003-01-08,9.606,9.654,9.534,6.4065,9.602,411000
2003-01-09,9.62,9.84,9.532,6.545283,9.81,649000
2003-01-10,9.77,9.87,9.742,6.537271,9.798,844000
2003-01-13,9.8,9.936,9.774,6.621339999999999,9.924,810000
2003-01-14,9.924,10.0,9.814,6.551954,9.82,554000
2003-01-15,9.68,9.68,9.352,6.278398999999999,9.41,1459000
2003-01-16,9.4,9.4,9.054,6.05555,9.076,725000
2003-01-17,9.05,9.104,8.96,6.007512,9.004,590500
2003-01-21,9.01,9.04,8.852,5.931451999999999,8.89,468000
2003-01-22,8.86,8.88,8.82,5.891418,8.83,163500
2003-01-23,8.84,9.15,8.826,6.062224,9.086,476000
2003-01-24,9.07,9.42,9.0,6.2703940000000005,9.398,685000
2003-01-27,9.358,9.38,9.24,6.171647,9.25,209000
2003-01-28,9.26,9.316,9.2,6.139619000000001,9.202,364500
2003-01-29,9.18,9.4,9.152,6.205007,9.3,401500
2003-01-30,9.3,9.318,8.76,5.898093,8.84,735000
2003-01-31,8.8,8.81,8.402,5.671241,8.5,2886000
2003-02-03,8.49,8.58,8.432,5.651225,8.47,780000
2003-02-04,8.44,8.44,8.31,5.604518,8.4,740000
2003-02-05,8.39,8.4,8.27,5.569829,8.348,1159000
2003-02-06,8.34,8.404,8.29,5.5378,8.3,1077500
2003-02-07,8.32,8.43,8.31,5.619199,8.422,744500
2003-02-10,8.422,8.68,8.41,5.737964,8.6,278500
2003-02-11,8.6,8.706,8.58,5.725951,8.582,222500
2003-02-12,8.55,8.59,8.496,5.725951,8.582,355500
2003-02-13,8.57,8.744,8.564,5.804683,8.7,265500
2003-02-14,8.74,8.96,8.74,5.938121,8.9,958000
2003-02-18,8.95,8.96,8.83,5.940792,8.904,753500
2003-02-19,8.906,9.0,8.88,5.974151,8.954,420500
2003-02-20,8.96,9.02,8.94,6.008847,9.006,159000
2003-02-21,9.008,9.132,9.0,6.052882,9.072,206000
2003-02-24,9.0,9.16,9.0,6.076903,9.108,182500
2003-02-25,9.1,9.16,9.07,6.100921,9.144,144500
2003-02-26,9.148,9.2,9.02,6.050215000000001,9.068,214000
2003-02-27,9.048,9.05,8.66,5.7779940000000005,8.66,945000
2003-02-28,8.65,8.76,8.574,5.744634,8.61,565000
2003-03-03,8.612,8.712,8.6,5.75531,8.626,211000
2003-03-04,8.62,8.648,8.564,5.713944000000001,8.564,151000
2003-03-05,8.566,8.592,8.44,5.637882,8.45,269500
2003-03-06,8.422,8.53,8.422,5.6686760000000005,8.468,352500
2003-03-07,8.47,8.548,8.442,5.667335,8.466,175500
2003-03-10,8.456,8.532,8.454,5.671352,8.472,163000
2003-03-11,8.474,8.54,8.434,5.6593029999999995,8.454,104500
2003-03-12,8.48,8.51,8.38,5.674032,8.476,312000
2003-03-13,8.5,8.54,8.482,5.692774,8.504,204000
2003-03-14,8.5,8.68,8.5,5.783814,8.64,471500
2003-03-17,8.64,9.238,8.64,6.151998000000001,9.19,607000
2003-03-18,9.194,9.366,9.14,6.165388,9.21,478500
2003-03-19,9.22,9.39,9.22,6.285886,9.39,149500
2003-03-20,9.392,9.392,9.11,6.0984419999999995,9.11,571000
2003-03-21,9.14,9.426,9.14,6.3059650000000005,9.42,632500
2003-03-24,9.4,9.642,9.346,6.42646,9.6,1112000
2003-03-25,9.59,9.71,9.59,6.484031,9.686,545500
2003-03-26,9.68,9.782,9.68,6.493402,9.7,1076000
2003-03-27,9.68,9.78,9.56,6.546958,9.78,777500
2003-03-28,9.76,9.76,9.68,6.5134870000000005,9.73,306500
2003-03-31,9.71,9.71,9.552,6.446543,9.63,435000
2003-04-01,9.632,9.638,9.516,6.422448,9.594,232000
2003-04-02,9.474,9.66,9.446,6.4478860000000005,9.632,536000
2003-04-03,9.64,9.84,9.64,6.463948,9.656,633000
2003-04-04,9.67,9.76,9.652,6.480015,9.68,321500
2003-04-07,9.74,9.77,9.334,6.2524120000000005,9.34,1109500
2003-04-08,9.32,9.354,9.23,6.220279,9.292,398000
2003-04-09,9.31,9.38,9.25,6.259108,9.35,390000
2003-04-10,9.36,9.43,9.31,6.308643,9.424,224500
2003-04-11,9.44,9.44,9.326,6.261783,9.354,178500
2003-04-14,9.354,9.52,9.34,6.360856,9.502,212500
2003-04-15,9.494,9.534,9.486,6.359519000000001,9.5,198500
2003-04-16,9.51,9.582,9.504,6.374249,9.522,280000
2003-04-17,9.722,9.934,9.708,6.5657,9.808,1067500
2003-04-21,9.768,9.778,9.654,6.5228589999999995,9.744,243500
2003-04-22,9.802,10.11,9.636,6.666117,9.958,1607000
2003-04-23,10.058,10.25,10.0,6.761172999999999,10.1,1540000
2003-04-24,10.1,10.32,10.1,6.9084460000000005,10.32,644000
2003-04-25,10.32,10.54,10.32,7.022247,10.49,905000
2003-04-28,10.53,11.238,10.53,7.417209,11.08,2717500
2003-04-29,11.082,11.224,10.956,7.450677000000001,11.13,1455000
2003-04-30,11.12,11.35,11.024,7.569835,11.308,885500
2003-05-01,11.308,11.36,11.156,7.468085,11.156,1156500
2003-05-02,11.13,11.498,11.13,7.631422,11.4,740500
2003-05-05,11.41,11.6,11.332,7.604647,11.36,693000
2003-05-06,11.36,11.36,11.206,7.564482000000001,11.3,661000
2003-05-07,11.26,11.32,11.06,7.443986,11.12,704500
2003-05-08,11.08,11.116,10.99,7.41453,11.076,707000
2003-05-09,11.1,11.26,11.01,7.4600539999999995,11.144,461000
2003-05-12,11.13,11.45,11.1,7.591260000000001,11.34,457500
2003-05-13,11.32,11.8,11.32,7.845639,11.72,1083500
2003-05-14,11.708,11.848,11.668,7.830908999999999,11.698,763000
2003-05-15,11.69,11.774,11.64,7.848317,11.724,279500
2003-05-16,11.714,12.0,11.62,8.033076,12.0,498000
2003-05-19,11.88,11.898,11.674,7.838944000000001,11.71,547500
2003-05-20,11.69,11.86,11.69,7.837605,11.708,461500
2003-05-21,11.69,11.84,11.612,7.921950999999999,11.834,355000
2003-05-22,11.884,12.04,11.86,7.992911,11.94,583000
2003-05-23,11.95,12.046,11.944,8.057174,12.036,161000
2003-05-27,11.93,11.93,11.84,7.9701509999999995,11.906,409000
2003-05-28,11.906,12.13,11.906,8.093328,12.09,506500
2003-05-29,12.09,12.124,11.974,8.065209,12.048,856500
2003-05-30,12.048,12.36,12.04,8.231228,12.296,820000
2003-06-02,12.31,12.556,12.31,8.307541,12.41,704500
2003-06-03,12.37,12.51,12.37,8.343689999999999,12.464,741000
2003-06-04,12.47,12.692,12.464,8.461509,12.64,547000
2003-06-05,12.64,12.722,12.57,8.436069,12.602,363000
2003-06-06,12.574,12.574,12.2,8.185147,12.2,1028000
2003-06-09,12.17,12.438,12.156,8.31933,12.4,1836500
2003-06-10,12.41,12.55,12.356,8.346167999999999,12.44,1206000
2003-06-11,12.42,12.512,12.42,8.366297,12.47,1197500
2003-06-12,12.5,12.9,12.458,8.606483,12.828,999000
2003-06-13,12.828,12.96,12.828,8.65747,12.904,723500
2003-06-16,12.94,13.17,12.94,8.805071,13.124,1098500
2003-06-17,13.154,13.9,13.14,9.312285000000001,13.88,2332000
2003-06-18,13.86,13.982,13.71,9.33912,13.92,2033500
2003-06-19,13.92,14.0,13.526,9.124428,13.6,4392500
2003-06-20,13.63,13.638,13.21,8.892288,13.254,2196000
2003-06-23,13.25,13.27,13.056,8.857403,13.202,1210000
2003-06-24,13.202,13.78,13.202,9.187492,13.694,1717500
2003-06-25,13.696,13.696,13.4,8.991588,13.402,988000
2003-06-26,13.41,13.836,13.41,9.278739,13.83,887500
2003-06-27,13.75,13.92,13.724,9.33912,13.92,1059500
2003-06-30,13.94,14.008,13.852,9.343143,13.926,1994000
2003-07-01,14.04,14.96,14.0,10.006008999999999,14.914,4302500
2003-07-02,14.914,14.93,14.632,10.016743,14.93,1524500
2003-07-03,14.8,14.82,14.624,9.909397,14.77,1028000
2003-07-07,14.84,14.896,14.76,9.96307,14.85,640000
2003-07-08,14.82,15.17,14.814,9.984541,14.882,1011000
2003-07-09,14.87,15.364,14.87,10.267664,15.304,824000
2003-07-10,15.3,15.5,15.16,10.399165,15.5,1142000
2003-07-11,15.55,15.616,15.016,10.158978,15.142,801000
2003-07-14,15.19,15.56,15.19,10.379036,15.47,703000
2003-07-15,15.52,15.64,15.426,10.443442,15.566,801000
2003-07-16,15.58,15.596,15.23,10.264978999999999,15.3,616000
2003-07-17,15.28,15.284,14.82,9.989907,14.89,819500
2003-07-18,14.9,15.082,14.872,10.036869,14.96,420500
2003-07-21,14.95,14.96,14.722,9.878537,14.724,631000
2003-07-22,15.0,15.568,15.0,10.428686,15.544,2640000
2003-07-23,15.544,15.796,15.442,10.597755000000001,15.796,1047500
2003-07-24,15.816,15.86,15.16,10.185813000000001,15.182,1156500
2003-07-25,15.182,15.716,15.182,10.532007,15.698,501500
2003-07-28,15.696,15.696,15.54,10.452834,15.58,622000
2003-07-29,15.606,15.624,15.184,10.244854,15.27,472500
2003-07-30,15.278,15.296,15.03,10.114697,15.076,727000
2003-07-31,15.076,15.154,14.73,9.882563000000001,14.73,1230500
