Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,48.125,48.1875,45.125,38.755238,46.1875,886900
2000-01-04,45.25,45.3125,42.875,36.342873,43.3125,1221700
2000-01-05,43.3125,43.375,41.75,35.503807,42.3125,1361900
2000-01-06,42.3125,44.4375,42.0625,37.12952,44.25,2482300
2000-01-07,44.25,46.1875,43.125,38.178375,45.5,1206500
2000-01-10,45.5,46.0625,44.875,37.706394,44.9375,855800
2000-01-11,44.75,45.5,43.25,36.500214,43.5,1511400
2000-01-12,43.5,44.5,43.375,36.972187,44.0625,1151400
2000-01-13,44.375,45.4375,43.9375,37.916160999999995,45.1875,417700
2000-01-14,46.1875,48.0,45.875,39.279686,46.8125,1260600
2000-01-18,44.0,45.3125,42.0,35.661118,42.5,2612600
2000-01-19,43.75,43.8125,42.75,36.395329,43.375,1942600
2000-01-20,43.1875,43.5,42.0,35.55624,42.375,1163600
2000-01-21,43.1875,43.25,40.8125,34.717152,41.375,1324500
2000-01-24,41.3125,41.5,40.875,34.507374,41.125,1058900
2000-01-25,41.0,41.0625,40.0,33.615856,40.0625,986100
2000-01-26,40.125,42.625,40.125,35.189152,41.9375,1009300
2000-01-27,42.0,43.125,40.6875,34.822044,41.5,1583200
2000-01-28,41.25,41.25,39.8125,33.615856,40.0625,539500
2000-01-31,39.25,41.1875,39.1875,34.402481,41.0,500800
2000-02-01,41.5,41.5625,40.0,33.720729999999996,40.1875,628200
2000-02-02,40.75,40.8125,39.25,33.406067,39.8125,534400
2000-02-03,40.5,40.8125,38.625,32.829189,39.125,865700
2000-02-04,40.125,40.125,38.5,32.357212,38.5625,611000
2000-02-07,38.4375,39.3125,37.375,31.855099,37.9375,910600
2000-02-08,38.375,38.75,36.9375,31.382790000000004,37.375,1017700
2000-02-09,37.0,37.0625,34.8125,29.388546,35.0,1668300
2000-02-10,35.0,35.4375,33.0,28.129045,33.5,2143700
2000-02-11,33.5,34.0625,32.5,28.234015000000003,33.625,1962100
2000-02-14,33.375,34.25,33.0,28.706326,34.1875,1369200
2000-02-15,34.4375,37.3125,34.0625,31.120369,37.0625,1852600
2000-02-16,38.25,39.1875,37.0,31.487743,37.5,2593200
2000-02-17,37.75,37.9375,36.625,30.857981,36.75,1183700
2000-02-18,36.0,36.1875,33.25,28.968727,34.5,1183400
2000-02-22,35.4375,36.0,32.8125,28.496405,33.9375,1872400
2000-02-23,35.0,35.0,32.75,27.76169,33.0625,1563500
2000-02-24,33.25,34.9375,32.0625,29.073675,34.625,2271300
2000-02-25,34.6875,35.9375,34.3125,29.860889,35.5625,1607900
2000-02-28,35.4375,38.1875,35.4375,31.802603,37.875,2347300
2000-02-29,38.0,38.125,36.375,30.910463,36.8125,1971000
2000-03-01,36.875,38.1875,36.75,31.645174,37.6875,1075000
2000-03-02,37.75,38.1875,36.5,30.910463,36.8125,1184200
2000-03-03,38.5,39.3125,37.4375,31.855099,37.9375,979700
2000-03-06,38.125,39.0,36.75,31.120369,37.0625,667000
2000-03-07,36.875,36.875,34.5,29.126152,34.6875,1258900
2000-03-08,34.4375,35.4375,33.875,29.546013000000002,35.1875,1093200
2000-03-09,35.375,38.0,34.75,30.805504,36.6875,1716000
2000-03-10,36.0,36.9375,35.875,30.910463,36.8125,870500
2000-03-13,36.5625,37.75,36.25,31.697662,37.75,1098000
2000-03-14,37.75,38.625,37.75,32.012527,38.125,1104400
2000-03-15,38.125,41.75,37.8125,34.32164,40.875,2730900
2000-03-16,42.25,46.625,42.125,39.097282,46.5625,3991800
2000-03-17,46.9375,48.375,45.75,38.467525,45.8125,2357800
2000-03-20,44.75,44.9375,41.25,34.898899,41.5625,1647800
2000-03-21,41.75,44.4375,41.5,36.945625,44.0,1541000
2000-03-22,44.1875,46.625,44.0625,38.834881,46.25,1022200
2000-03-23,46.125,46.625,45.125,38.467525,45.8125,1154500
2000-03-24,46.0,46.8125,44.625,37.837784,45.0625,855300
2000-03-27,45.0625,45.0625,43.3125,37.365459,44.5,753100
2000-03-28,44.5625,46.375,44.4375,38.100173999999996,45.375,849000
2000-03-29,45.625,46.0625,44.0,37.995201,45.25,799300
2000-03-30,45.375,46.9375,45.125,38.939846,46.375,932400
2000-03-31,46.4375,48.8125,45.6875,40.251835,47.9375,973000
2000-04-03,47.6875,49.6875,47.6875,41.143978000000004,49.0,1323700
2000-04-04,49.0,49.375,44.125,39.097282,46.5625,1281100
2000-04-05,46.75,47.5625,46.25,38.887352,46.3125,811700
2000-04-06,46.4375,48.0625,46.4375,39.359676,46.875,821800
2000-04-07,47.5,47.6875,46.8125,39.674564000000004,47.25,532900
2000-04-10,47.5,49.0625,47.1875,40.409245,48.125,556300
2000-04-11,48.625,49.875,48.5625,41.353905,49.25,1010500
2000-04-12,49.0,53.0,48.875,42.193584,50.25,2209200
2000-04-13,50.25,50.25,45.5,39.202259000000005,46.6875,1712800
2000-04-14,44.1875,45.125,42.25,36.000999,42.875,2165100
2000-04-17,42.6875,43.875,42.3125,36.105946,43.0,1487300
2000-04-18,43.0,45.375,42.625,37.837784,45.0625,1073600
2000-04-19,45.5,45.8125,44.875,38.205135,45.5,622800
2000-04-20,45.5,47.4375,44.875,39.727024,47.3125,651100
2000-04-24,47.3125,48.875,46.4375,39.569611,47.125,866700
2000-04-25,47.1875,49.1875,46.5,41.039043,48.875,980400
2000-04-26,49.0,49.25,47.6875,40.199329,47.875,662600
2000-04-27,47.1875,47.1875,45.25,38.729927,46.125,1184100
2000-04-28,44.5,44.9375,42.8125,36.735695,43.75,1348100
2000-05-01,42.5,45.875,42.25,37.785305,45.0,772400
2000-05-02,44.8125,45.875,44.3125,38.100173999999996,45.375,647700
2000-05-03,45.125,45.125,42.125,35.633625,42.4375,878200
2000-05-04,42.4375,42.4375,40.25,34.26915,40.8125,1004200
2000-05-05,40.625,40.625,39.6875,33.48196,39.875,1329100
2000-05-08,39.5,43.125,39.375,35.39521,42.125,1293300
2000-05-09,42.4375,43.6875,41.3125,35.185131,41.875,718400
2000-05-10,41.9375,42.25,41.0,34.502434,41.0625,667300
2000-05-11,42.75,44.0625,42.125,36.445507,43.375,894200
2000-05-12,44.0,44.8125,42.8125,36.655556,43.625,743200
2000-05-15,43.75,45.4062,43.375,37.574535,44.7187,752100
2000-05-16,45.75,46.3125,45.1875,38.231018,45.5,702500
2000-05-17,44.375,44.625,43.6875,36.970642,44.0,398700
2000-05-18,44.0,46.0,43.9375,38.441074,45.75,732500
2000-05-19,44.875,45.0625,42.75,36.970642,44.0,688900
2000-05-22,44.125,44.1875,42.875,36.865612,43.875,448600
2000-05-23,44.375,45.3125,44.0,37.653335999999996,44.8125,477100
2000-05-24,45.4375,46.9375,44.5,37.705856,44.875,966300
2000-05-25,44.875,45.75,44.625,38.020931,45.25,912200
2000-05-26,45.0,45.625,44.8125,37.758381,44.9375,635600
2000-05-30,45.5,47.5,45.25,38.80867,46.1875,1045900
2000-05-31,46.75,47.4375,46.375,39.701431,47.25,1799800
2000-06-01,47.0,49.0,47.0,40.882988,48.6562,2195100
2000-06-02,50.375,52.375,50.3125,43.062401,51.25,1517000
2000-06-05,50.375,50.6875,49.5625,42.327194,50.375,1329000
2000-06-06,50.5,50.5,49.4375,41.749531,49.6875,1304300
2000-06-07,49.6875,50.6875,49.625,42.274665999999996,50.3125,465000
2000-06-08,50.25,50.25,48.875,41.539455,49.4375,573500
2000-06-09,49.8125,50.625,48.375,40.909283,48.6875,356100
2000-06-12,48.0,49.9375,47.875,41.802032000000004,49.75,912600
2000-06-13,49.8125,50.625,49.6875,42.379711,50.4375,474100
2000-06-14,50.875,53.75,50.875,44.401489,52.8437,1155700
2000-06-15,52.25,52.25,49.5625,42.222157,50.25,893800
2000-06-16,50.25,50.25,46.5,40.751736,48.5,1252200
2000-06-19,48.375,48.875,47.125,40.016518,47.625,1050400
2000-06-20,47.75,48.5,46.25,39.491371,47.0,1466600
2000-06-21,45.25,46.5625,45.1875,38.861183000000004,46.25,1047200
2000-06-22,46.375,46.375,43.5,37.338271999999996,44.4375,1735700
2000-06-23,44.4375,44.9375,43.8125,36.91814,43.9375,1015500
2000-06-26,44.1875,45.125,43.875,37.390774,44.5,790200
2000-06-27,44.875,46.3125,44.6875,38.441074,45.75,1100300
