Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,45.53125,45.53125,43.96875,33.386368,44.5,6057400
2000-01-04,44.46875,44.5625,41.96875,31.557606,42.0625,5722800
2000-01-05,42.21875,42.9375,41.84375,32.096863,42.78125,7726400
2000-01-06,43.3125,44.5625,43.25,32.741592,43.640598,7221400
2000-01-07,43.4375,46.625,43.40625,34.910328,46.53125,5164800
2000-01-10,46.53125,47.53125,45.90625,35.637127,47.5,4454000
2000-01-11,47.125,47.5625,45.75,34.371078000000004,45.8125,2955000
2000-01-12,46.5625,47.25,44.9375,34.324184,45.75,4687400
2000-01-13,46.28125,48.0625,45.4375,35.613693,47.46875,5750800
2000-01-14,48.125,50.25,48.0,36.809402,49.0625,4571000
2000-01-18,48.75,51.75,48.25,38.450581,51.25,5932000
2000-01-19,51.9375,53.125,50.125,38.919491,51.875,4130500
2000-01-20,52.375,53.125,50.0,37.512768,50.0,5551900
2000-01-21,51.4375,51.5,48.0,36.387378999999996,48.5,3520200
2000-01-24,48.1875,51.25,46.5,35.262005,47.0,5005500
2000-01-25,47.5625,49.75,45.75,37.278304999999996,49.6875,3730800
2000-01-26,49.125,52.0,48.6875,37.840996000000004,50.4375,3782800
2000-01-27,50.5625,51.375,46.5,36.715610999999996,48.9375,3109600
2000-01-28,48.625,49.75,45.875,34.511745,46.0,2834600
2000-01-31,46.0625,49.5,45.0,36.715610999999996,48.9375,3249700
2000-02-01,49.3125,52.125,48.0,38.919491,51.875,4530500
2000-02-02,52.0,54.0,51.0,40.466908000000004,53.9375,4945700
2000-02-03,54.0,55.0,53.25,40.654469,54.1875,4640800
2000-02-04,54.75,55.1875,52.625,39.763531,53.0,3273700
2000-02-07,52.0,52.25,51.0,38.450581,51.25,2566700
2000-02-08,51.9375,53.75,51.75,39.810413,53.0625,2440700
2000-02-09,52.0,53.0,51.4375,39.669739,52.875,1466800
2000-02-10,52.8125,52.875,51.875,39.107056,52.125,2761800
2000-02-11,52.125,52.3125,51.0,38.778831,51.6875,2071000
2000-02-14,51.5625,51.625,50.0,38.075447,50.75,1856300
2000-02-15,50.0625,50.5,48.5,37.043839,49.375,2675400
2000-02-16,49.1875,49.3125,46.375,35.824692,47.75,4231600
2000-02-17,48.0,48.0,43.5,33.01123,44.0,6955400
2000-02-18,43.75,45.9375,41.875,33.7146,44.9375,6004200
2000-02-22,44.8125,45.25,42.625,33.01123,44.0,3769600
2000-02-23,44.375,45.25,43.640598,33.433258,44.5625,4267300
2000-02-24,44.703098,45.0625,43.0,33.292595,44.375,3990500
2000-02-25,44.25,48.3437,43.75,35.684025,47.5625,7698400
2000-02-28,47.25,50.625,47.25,36.715610999999996,48.9375,6621300
2000-02-29,48.875,50.0,48.125,37.231429999999996,49.625,3681800
2000-03-01,49.4375,49.8125,46.125,34.886871,46.5,4624400
2000-03-02,47.5625,51.875,47.5,37.231429999999996,49.625,7841800
2000-03-03,50.1875,51.25,48.875,37.465878000000004,49.9375,2430500
2000-03-06,49.875,50.25,49.125,37.606552,50.125,3419200
2000-03-07,50.0312,50.0625,45.0,34.042846999999995,45.375,7506100
2000-03-08,46.3125,46.375,42.375,34.230389,45.625,6526600
2000-03-09,45.5,45.5625,43.6875,33.433258,44.5625,4937300
2000-03-10,44.6875,46.25,43.9375,33.105019,44.125,4934000
2000-03-13,44.0,45.0,42.375,32.260985999999995,43.0,3747300
2000-03-14,43.5,45.5,43.125,32.495438,43.3125,2097100
2000-03-15,43.1875,50.5,43.0,37.372101,49.8125,5515300
2000-03-16,48.875,56.0625,48.25,41.979115,55.953098,12820600
2000-03-17,54.75,54.875,52.25,40.466908000000004,53.9375,7765900
2000-03-20,53.75,53.875,51.0,39.247738,52.3125,3873800
2000-03-21,52.125,53.25,52.0,39.15395,52.1875,4335200
2000-03-22,52.3125,55.0,52.125,39.669739,52.875,5072800
2000-03-23,52.75,54.0,52.0,40.232437,53.625,2929400
2000-03-24,53.8125,55.0625,53.3125,40.419998,53.875,5254700
2000-03-27,53.25,54.625,52.75,40.091763,53.4375,2459100
2000-03-28,53.25,55.6875,50.25,38.356792,51.125,6036600
2000-03-29,51.1875,51.1875,49.4375,37.887913,50.5,5350400
2000-03-30,50.2812,52.3125,49.75,37.700333,50.25,8942800
2000-03-31,51.3125,52.75,49.5,39.435295,52.5625,9953300
2000-04-03,51.5,53.25,49.9375,39.388412,52.5,4199700
2000-04-04,53.9375,55.25,49.75,40.560688,54.0625,9565100
2000-04-05,53.9375,55.0,53.0,40.138664,53.5,2591700
2000-04-06,54.5,54.75,50.625,38.919491,51.875,4240500
2000-04-07,51.25,54.4375,50.75,39.622852,52.8125,2588400
2000-04-10,52.25,55.125,51.125,40.701351,54.25,5795900
2000-04-11,53.5,57.625,52.5,43.092789,57.4375,7303000
2000-04-12,57.0625,60.5,54.75,41.310936,55.0625,7751400
2000-04-13,56.25,58.75,54.5,40.982715999999996,54.625,6418200
2000-04-14,54.125,54.125,50.375,38.169230999999996,50.875,4131600
2000-04-17,49.5,50.25,46.3125,36.856277,49.125,7134400
2000-04-18,49.25,51.625,48.75,38.216136999999996,50.9375,5177100
2000-04-19,51.125,53.0625,49.5,39.200844000000004,52.25,3508700
2000-04-20,52.125,55.625,51.625,41.123379,54.8125,4288000
2000-04-24,53.25,58.125,53.25,42.014301,56.0,5967100
2000-04-25,56.625,57.125,55.0,42.764553,57.0,3733300
2000-04-26,56.5937,57.0,54.625,41.21714,54.9375,3081000
2000-04-27,53.0,56.5,51.625,42.061192,56.0625,5615600
2000-04-28,55.75,55.875,53.5,40.560688,54.0625,3699000
2000-05-01,54.0625,59.0,52.875,43.843052,58.4375,3629500
2000-05-02,56.75,58.5,54.5,41.076477000000004,54.75,3729600
2000-05-03,52.0625,52.625,50.375,39.15395,52.1875,7462700
