Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,23.0625,23.25,21.0625,11.319697999999999,22.375,440100
2000-01-04,21.875,22.25,21.5625,10.940261999999999,21.625,529100
2000-01-05,21.8125,22.1875,21.3125,10.813783,21.375,362400
2000-01-06,21.625,21.625,20.8125,10.687311,21.125,491100
2000-01-07,21.4375,22.375,21.0625,11.193213,22.125,357000
2000-01-10,21.875,22.1875,21.8125,11.098361,21.9375,270200
2000-01-11,21.875,22.625,21.875,11.414553999999999,22.5625,478700
2000-01-12,22.3125,22.5,21.0625,10.908646000000001,21.5625,333100
2000-01-13,21.5,21.5625,20.0,10.276263,20.3125,822600
2000-01-14,20.75,21.25,20.1875,10.75055,21.25,759200
2000-01-18,21.1875,21.5625,20.875,10.655689,21.0625,433200
2000-01-19,21.0,21.6875,20.9375,10.71893,21.1875,366200
2000-01-20,21.3125,21.5,20.625,10.465975,20.6875,268600
2000-01-21,21.0625,21.125,20.25,10.339499,20.4375,406600
2000-01-24,20.375,20.5,19.875,10.054924,19.875,710800
2000-01-25,20.25,23.375,20.125,10.75055,21.25,1474900
2000-01-26,21.125,21.375,20.1875,10.75055,21.25,877900
2000-01-27,21.4375,22.375,21.0625,10.845408,21.4375,1049800
2000-01-28,21.5,21.75,21.25,10.908646000000001,21.5625,762300
2000-01-31,21.5625,21.625,20.875,10.877025,21.5,358900
2000-02-01,21.3125,21.3125,20.625,10.624075999999999,21.0,788700
2000-02-02,20.75,21.625,20.75,10.877025,21.5,595900
2000-02-03,22.25,22.25,21.25,11.003502000000001,21.75,530600
2000-02-04,21.9375,22.0,21.3125,10.940261999999999,21.625,445700
2000-02-07,21.375,21.4375,21.0625,10.782166,21.3125,211900
2000-02-08,21.5,22.0625,21.3125,11.161599,22.0625,349700
2000-02-09,21.625,21.6875,21.125,10.877025,21.5,494500
2000-02-10,21.625,22.1875,21.4375,11.098361,21.9375,581700
2000-02-11,22.5,22.875,21.875,11.224835,22.1875,863500
2000-02-14,22.8125,22.8125,21.875,11.129978999999999,22.0,366100
2000-02-15,21.9375,22.3125,21.625,11.098361,21.9375,455800
2000-02-16,21.9375,22.0625,21.5,11.003502000000001,21.75,424000
2000-02-17,21.6875,21.875,21.5,11.003502000000001,21.75,426500
2000-02-18,22.0,22.125,21.3125,10.828467999999999,21.3125,590400
2000-02-22,20.9375,21.25,20.5625,10.764957,21.1875,423700
2000-02-23,20.9375,22.0,20.9375,11.050755,21.75,378300
2000-02-24,21.8125,22.0,20.4375,11.14602,21.9375,508300
2000-02-25,21.9375,21.9375,21.0,10.860223,21.375,425700
2000-02-28,21.0,21.1875,20.625,10.764957,21.1875,460900
2000-02-29,21.1875,21.625,20.9375,10.764957,21.1875,312200
2000-03-01,21.25,21.25,20.875,10.701447,21.0625,273400
2000-03-02,21.25,21.375,20.625,10.733203,21.125,1622000
2000-03-03,20.75,21.8125,20.6875,10.669694999999999,21.0,418000
2000-03-06,20.75,21.25,20.4375,10.701447,21.0625,374300
2000-03-07,20.8125,21.375,20.625,10.574428999999999,20.8125,507800
2000-03-08,20.5625,21.0,20.375,10.637942,20.9375,328200
2000-03-09,21.0,21.9375,20.8125,10.891975,21.4375,553100
2000-03-10,21.125,22.125,21.0625,11.209529,22.0625,361800
2000-03-13,21.5625,22.0625,21.375,11.177772000000001,22.0,548600
2000-03-14,21.75,22.0,21.5,10.955487,21.5625,309900
2000-03-15,21.3125,22.25,21.125,11.273033999999999,22.1875,505400
2000-03-16,22.875,24.375,22.625,12.35271,24.3125,644800
2000-03-17,22.0,24.1875,22.0,12.193933,24.0,873600
2000-03-20,23.75,23.875,22.1875,11.558833,22.75,446600
2000-03-21,23.0,23.0625,22.25,11.622342999999999,22.875,334700
2000-03-22,23.3125,23.3125,22.25,11.749366,23.125,395600
2000-03-23,22.875,24.0625,22.5625,12.193933,24.0,447600
2000-03-24,24.0,24.375,23.6875,12.320950999999999,24.25,485100
2000-03-27,24.25,24.9375,24.25,12.574992,24.75,387300
2000-03-28,25.0,25.5,24.9375,12.67026,24.9375,421900
2000-03-29,24.6875,25.0,24.0,12.320950999999999,24.25,567900
2000-03-30,24.25,24.875,24.1875,12.543241,24.6875,352800
2000-03-31,25.0,25.4375,24.5625,12.829039,25.25,405200
2000-04-03,25.3125,26.0,25.0,13.210092999999999,26.0,455700
2000-04-04,25.875,26.5,25.5,13.083075,25.75,470200
2000-04-05,25.875,26.25,25.1875,13.178339000000001,25.9375,337300
2000-04-06,25.6875,27.1875,25.6875,13.749932000000001,27.0625,359300
2000-04-07,27.25,29.6875,26.25,14.385025,28.3125,593200
2000-04-10,28.125,28.125,27.4375,14.067484,27.6875,219800
2000-04-11,27.5625,28.6875,27.125,14.258006,28.0625,316100
2000-04-12,28.0625,29.25,27.1875,14.543813,28.625,409200
2000-04-13,28.5,28.5,26.8125,13.749932000000001,27.0625,475400
2000-04-14,27.125,27.125,25.5,13.432382,26.4375,751700
2000-04-17,26.1875,26.375,25.75,13.178339000000001,25.9375,920100
2000-04-18,25.9375,26.0625,25.3125,12.956058,25.5,1130700
2000-04-19,25.5,25.625,24.6875,12.543241,24.6875,804000
2000-04-20,24.8125,25.75,24.75,12.987810000000001,25.5625,479000
2000-04-24,25.3125,25.9375,25.125,12.860787,25.3125,331300
2000-04-25,25.4375,26.875,25.1875,13.432382,26.4375,525500
2000-04-26,26.1875,26.25,25.0625,12.765525,25.125,547900
2000-04-27,24.9375,25.0,24.0,12.574992,24.75,468800
2000-04-28,24.75,24.75,24.375,12.384464999999999,24.375,272600
2000-05-01,24.4375,25.375,24.4375,12.702015,25.0,433100
2000-05-02,24.9375,25.125,24.6875,12.574992,24.75,542700
2000-05-03,24.75,24.8125,24.0625,12.511482,24.625,686500
2000-05-04,24.5625,25.625,24.5625,12.638501,24.875,644000
2000-05-05,24.9375,25.5625,24.9375,12.733768,25.0625,268800
2000-05-08,25.0,25.5625,24.5625,12.67026,24.9375,332500
2000-05-09,24.9375,25.25,24.375,12.447971,24.5,550100
2000-05-10,24.5625,24.5625,23.375,12.09867,23.8125,474900
2000-05-11,23.875,24.3125,23.5,12.257446,24.125,516900
2000-05-12,24.1875,24.75,23.75,12.384464999999999,24.375,273700
2000-05-15,24.625,25.0625,24.625,12.60675,24.8125,192500
2000-05-16,24.875,25.4375,24.8125,12.60675,24.8125,399300
2000-05-17,24.75,24.9375,24.5625,12.511482,24.625,395200
2000-05-18,24.625,25.6875,24.625,12.702015,25.0,409800
2000-05-19,24.5625,25.0,24.5625,12.638501,24.875,300400
2000-05-22,24.875,25.0625,24.5625,12.511482,24.625,262900
2000-05-23,24.5,25.875,24.375,13.1008,25.6875,483800
2000-05-24,25.6875,26.75,25.5,13.164551999999999,25.8125,777600
2000-05-25,26.0625,26.5,26.0,13.323928,26.125,281800
2000-05-26,26.75,27.25,26.5,13.738306,26.9375,526800
2000-05-30,26.75,27.375,26.6875,13.929557999999998,27.3125,319500
2000-05-31,27.3125,27.875,27.125,14.120807000000001,27.6875,315600
2000-06-01,27.625,28.0625,27.5,14.088931,27.625,457400
2000-06-02,27.6875,28.375,27.5625,14.312059,28.0625,397500
2000-06-05,27.8125,28.4375,27.6875,14.312059,28.0625,275900
2000-06-06,27.8125,27.875,27.375,14.152687,27.75,169300
2000-06-07,27.625,28.125,27.5625,14.280187,28.0,384600
2000-06-08,28.0625,28.25,27.75,14.216441,27.875,205100
2000-06-09,27.75,28.0625,27.3125,14.216441,27.875,173600
2000-06-12,28.125,28.125,26.875,13.770179999999998,27.0,160400
2000-06-13,26.9375,27.375,26.75,13.802054,27.0625,126000
2000-06-14,26.9375,27.25,26.5,13.706437,26.875,475600
2000-06-15,26.625,26.9375,26.0,13.578928,26.625,413100
2000-06-16,25.75,26.2187,25.75,13.3558,26.1875,443700
2000-06-19,26.0625,26.1875,25.5,13.196423000000001,25.875,309000
2000-06-20,25.875,26.625,25.8125,13.3558,26.1875,197900
2000-06-21,25.9375,26.375,25.8125,13.292048000000001,26.0625,191500
2000-06-22,25.875,26.3125,25.6875,13.164551999999999,25.8125,250100
2000-06-23,25.875,26.375,25.875,13.387673000000001,26.25,159400
2000-06-26,26.25,26.375,25.5,13.196423000000001,25.875,137100
2000-06-27,25.6875,26.5,25.625,13.387673000000001,26.25,293400
2000-06-28,26.5,27.25,26.375,13.690469,26.8437,283500
2000-06-29,26.5625,27.125,26.5,13.770179999999998,27.0,230100
2000-06-30,26.75,27.0,26.1875,13.387673000000001,26.25,372000
2000-07-03,26.375,26.875,26.0625,13.706437,26.875,125700
2000-07-05,26.75,26.75,26.25,13.387673000000001,26.25,138800
2000-07-06,26.375,26.375,25.9375,13.260174,26.0,147200
2000-07-07,26.25,26.6875,26.0625,13.451425,26.375,143500
2000-07-10,26.125,26.375,25.5,13.1008,25.6875,317700
2000-07-11,25.5,25.875,25.1875,13.164551999999999,25.8125,314400
2000-07-12,25.8125,26.1875,25.5,13.3558,26.1875,208100
2000-07-13,26.0,26.1875,25.5625,13.196423000000001,25.875,207100
2000-07-14,25.75,26.625,25.75,13.515178,26.5,220600
2000-07-17,25.875,26.375,25.625,13.212334,25.9062,181300
2000-07-18,25.1875,25.75,25.1875,12.845792999999999,25.1875,242100
2000-07-19,25.25,25.8125,25.1875,12.973296000000001,25.4375,183800
2000-07-20,25.25,25.75,25.25,12.909543,25.3125,228700
2000-07-21,25.375,26.0,25.375,13.1008,25.6875,295000
2000-07-24,25.5625,25.5625,25.1875,12.941419,25.375,186000
2000-07-25,25.1875,25.625,25.1875,12.941419,25.375,356300
2000-07-26,25.375,25.375,23.9375,12.208285,23.9375,640000
2000-07-27,23.9375,24.3125,23.5625,12.112661,23.75,327400
2000-07-28,23.6875,24.0625,23.25,11.889532,23.3125,125600
2000-07-31,23.8125,23.8125,23.375,12.048905,23.625,330200
2000-08-01,23.6875,24.625,23.625,12.495167,24.5,224900
2000-08-02,24.75,24.75,23.875,12.303913,24.125,215900
2000-08-03,24.3125,24.625,24.0625,12.367662,24.25,282700
2000-08-04,24.625,25.25,24.5625,12.813918,25.125,197900
2000-08-07,24.875,25.1875,24.3125,12.622666,24.75,193100
2000-08-08,24.75,25.0,24.375,12.622666,24.75,94600
2000-08-09,24.5,24.75,24.1875,12.622666,24.75,115600
2000-08-10,25.0,26.0,24.9375,12.845792999999999,25.1875,358500
2000-08-11,25.125,25.1875,24.9375,12.813918,25.125,100300
2000-08-14,25.0625,25.6875,25.0,13.1008,25.6875,387800
2000-08-15,25.5625,25.8125,25.3125,13.037044999999999,25.5625,233200
2000-08-16,25.5625,25.9375,25.3125,12.973296000000001,25.4375,97400
2000-08-17,25.6875,25.6875,24.9375,12.813918,25.125,90700
2000-08-18,25.0,25.4375,24.75,12.941419,25.375,322000
2000-08-21,25.375,25.4375,25.0,12.845792999999999,25.1875,171200
2000-08-22,25.0625,25.1875,25.0,12.750166,25.0,114500
2000-08-23,25.0,25.125,24.6875,12.829771000000001,25.0625,294800
2000-08-24,24.875,25.5,24.6875,12.797778,25.0,441100
