Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,10.96875,11.0,10.640625,9.220151,10.796875,1046800
2000-01-04,10.6875,10.75,10.617175,9.066697,10.617175,813600
2000-01-05,10.671875,10.71875,10.59375,9.09338,10.648425,568400
2000-01-06,10.59375,10.8125,10.578125,9.140089999999999,10.703125,490400
2000-01-07,10.59375,10.8125,10.46875,9.066697,10.617175,804000
2000-01-10,10.59375,10.90625,10.578125,9.200126,10.773425,1740000
2000-01-11,10.875,10.875,10.46875,8.979977,10.515625,647600
2000-01-12,10.5,10.5,10.0,8.566334,10.03125,636400
2000-01-13,10.125,10.40625,10.0625,8.819857,10.328125,561600
2000-01-14,10.421875,11.1875,10.40625,9.453647,11.0703,1625200
2000-01-18,11.15625,11.15625,10.46875,8.939944,10.46875,942400
2000-01-19,10.4375,10.65625,10.25,9.040009,10.585925,857600
2000-01-20,10.609375,10.71875,10.5,9.05335,10.60155,1080800
2000-01-21,10.578125,10.75,10.5,9.046691000000001,10.59375,339200
2000-01-24,10.625,10.75,10.21875,8.96663,10.5,1446000
2000-01-25,10.554675,10.75,10.484375,8.959947999999999,10.492175,595600
2000-01-26,10.5625,10.890625,10.5625,9.166777,10.734375,895200
2000-01-27,10.8125,10.875,10.734375,9.166777,10.734375,686800
2000-01-28,10.703125,10.875,10.125,8.986635,10.523425,1000400
2000-01-31,10.421875,10.5625,10.28125,8.999978,10.53905,500800
2000-02-01,10.625,10.625,10.1875,9.013323,10.554675,805200
2000-02-02,10.5625,10.5625,9.6875,8.926599000000001,10.453125,1085600
2000-02-03,10.4375,11.34375,10.375,9.446985,11.0625,1152800
2000-02-04,11.140625,11.375,10.953125,9.58042,11.21875,692400
2000-02-07,11.3125,11.3125,10.484375,9.046691000000001,10.59375,709600
2000-02-08,10.875,10.9375,10.46875,9.006658999999999,10.546875,1979600
2000-02-09,10.5625,10.78125,9.828125,8.539647,10.0,1277200
2000-02-10,10.078125,10.125,8.890625,7.9458660000000005,9.304675,3404000
2000-02-11,9.5,9.53125,9.125,8.112664,9.5,3893200
2000-02-14,9.484375,9.8125,9.40625,8.052611,9.429675,2596800
2000-02-15,9.5,9.53125,9.3125,8.005919,9.375,1386000
2000-02-16,9.390625,9.578125,9.3125,8.04595,9.421875,1514000
2000-02-17,9.578125,9.578125,8.875,7.79243,9.125,1335200
2000-02-18,9.1875,9.1875,8.65625,7.3921339999999995,8.65625,1092400
2000-02-22,8.6875,8.71875,8.40625,7.29873,8.546875,1075600
2000-02-23,8.546875,8.59375,8.15625,6.965152000000001,8.15625,2822800
2000-02-24,8.28125,8.90625,8.21875,7.1252699999999995,8.34375,1948400
2000-02-25,8.46875,8.53125,8.3125,7.252021000000001,8.492175,1822400
2000-02-28,8.421875,9.78125,8.375,8.346163,9.773425,1756000
2000-02-29,9.59375,9.671875,9.109375,8.059292999999998,9.4375,1502400
2000-03-01,9.65625,9.65625,9.34375,8.119328999999999,9.5078,1018000
2000-03-02,9.40625,10.0,9.3125,8.252761,9.66405,1496800
2000-03-03,9.71875,9.78125,9.5,8.326156,9.75,636800
2000-03-06,9.734375,9.75,9.1875,7.845803,9.1875,1230800
2000-03-07,9.28125,9.28125,9.0,7.79243,9.125,883200
2000-03-08,9.125,9.28125,9.0,7.819114999999999,9.15625,1740400
2000-03-09,9.03125,9.15625,8.953125,7.685682000000001,9.0,2971200
2000-03-10,9.0,9.03125,8.84375,7.605623,8.90625,1376400
2000-03-13,8.84375,8.859375,8.46875,7.372106,8.6328,2150800
2000-03-14,8.65625,8.78125,8.609375,7.445505000000001,8.71875,1354400
2000-03-15,8.71875,8.9375,8.65625,7.618968,8.921875,2438400
2000-03-16,9.125,10.046875,9.046875,8.232755000000001,9.640625,966000
2000-03-17,9.546875,10.1875,9.40625,8.319472,9.742175,875600
2000-03-20,9.6875,9.6875,9.28125,7.952547999999999,9.3125,934800
2000-03-21,9.40625,10.03125,9.3125,8.492941,9.9453,686000
2000-03-22,10.125,10.375,10.0,8.72645,10.21875,1466800
2000-03-23,10.0625,10.875,10.0,9.153435,10.71875,2198800
2000-03-24,10.71875,10.984375,10.625,9.366923,10.96875,1048400
2000-03-27,11.03125,11.03125,10.5625,9.046691000000001,10.59375,2210400
2000-03-28,10.710925,11.25,10.59375,9.380274,10.984375,1311200
2000-03-29,10.960925,11.0,10.8125,9.286868,10.875,1109200
2000-03-30,10.75,10.75,10.46875,9.006658999999999,10.546875,894400
2000-03-31,10.53125,10.53125,9.78125,8.486272999999999,9.9375,2139600
2000-04-03,10.015625,10.21875,9.21875,7.872489,9.21875,1092000
2000-04-04,9.25,9.9375,9.125,8.446242999999999,9.890625,554800
2000-04-05,9.53515,9.96875,9.53125,8.419559,9.859375,387600
2000-04-06,9.96875,9.96875,9.59375,8.459589999999999,9.90625,262400
2000-04-07,9.6953,9.75,9.28125,8.099321,9.484375,500800
2000-04-10,9.621075,9.621075,9.28125,7.939203,9.296875,552800
2000-04-11,9.484375,9.734375,8.875,8.119328999999999,9.5078,1147200
2000-04-12,9.46875,9.984375,9.34375,8.352844000000001,9.78125,624800
2000-04-13,9.71875,9.9375,9.625,8.219411000000001,9.625,981200
2000-04-14,9.6875,9.75,9.4375,8.156025999999999,9.550775,931600
2000-04-17,9.40625,9.6875,8.78125,7.498881,8.78125,1789200
2000-04-18,8.84375,10.578125,8.6875,8.819857,10.328125,1990000
2000-04-19,10.15625,10.40625,9.71875,8.659736,10.140625,892000
2000-04-20,10.203125,10.25,10.03125,8.593022999999999,10.0625,669200
2000-04-24,10.25,10.25,9.46875,8.219411000000001,9.625,980800
2000-04-25,9.78125,10.6875,9.65625,9.126746,10.6875,1352000
2000-04-26,10.59375,10.6875,10.40625,8.96663,10.5,555200
2000-04-27,10.5,10.6875,10.359375,8.889903,10.41015,1601200
2000-04-28,10.5,10.6875,10.34375,9.126746,10.6875,1891600
2000-05-01,10.6875,10.6875,10.1875,8.699766,10.1875,1812000
2000-05-02,10.375,10.53125,9.875,8.486272999999999,9.9375,740800
2000-05-03,9.84375,9.875,9.46875,8.089311,9.47265,1802000
2000-05-04,9.875,10.1875,9.4375,8.699766,10.1875,2116000
2000-05-05,10.125,11.375,10.09375,9.380274,10.984375,5355600
