Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.0625,7.4375,6.9375,4.836403,7.0,240000
2000-01-04,6.75,6.875,6.625,4.750038,6.875,393600
2000-01-05,6.875,6.875,6.6875,4.706857,6.8125,138500
2000-01-06,6.9375,6.9375,6.75,4.793222,6.9375,184900
2000-01-07,7.0,7.0,6.625,4.577311,6.625,1886200
2000-01-10,6.75,7.1875,6.6875,4.879586,7.0625,519900
2000-01-11,7.0625,7.0625,6.8125,4.750038,6.875,153700
2000-01-12,6.8125,6.8125,6.6875,4.706857,6.8125,1544900
2000-01-13,6.8125,7.0,6.4375,4.620493,6.6875,823100
2000-01-14,6.75,6.75,6.5,4.490945,6.5,462600
2000-01-18,6.5625,6.75,6.5625,4.663675,6.75,732400
2000-01-19,6.625,6.75,6.5625,4.620493,6.6875,337500
2000-01-20,6.625,6.6875,6.5625,4.620493,6.6875,313700
2000-01-21,6.625,6.75,6.5,4.534129,6.5625,589900
2000-01-24,6.5,6.5,6.375,4.404583000000001,6.375,483900
2000-01-25,6.5,7.0,6.4375,4.490945,6.5,4488000
2000-01-26,6.5,6.75,6.4375,4.447764,6.4375,735700
2000-01-27,6.4375,6.5625,6.4375,4.447764,6.4375,1071200
2000-01-28,6.4375,6.4375,5.875,4.102305,5.9375,2029500
2000-01-31,5.9375,6.0,5.625,4.1454889999999995,6.0,1365100
2000-02-01,6.0625,6.4375,6.0625,4.404583000000001,6.375,377700
2000-02-02,6.25,6.4375,6.0625,4.447764,6.4375,879500
2000-02-03,6.5,6.5625,6.0625,4.188671,6.0625,540600
2000-02-04,6.125,6.25,5.9375,4.275035,6.1875,1520000
2000-02-07,6.0625,6.25,6.0625,4.231851,6.125,226800
2000-02-08,6.25,6.375,5.875,4.188671,6.0625,904700
2000-02-09,5.875,5.9375,5.5625,3.9295769999999997,5.6875,1506600
2000-02-10,5.6875,5.8125,5.1875,3.972761,5.75,1204100
2000-02-11,5.75,6.25,5.625,4.188671,6.0625,445900
2000-02-14,6.0,6.0625,5.8125,4.1454889999999995,6.0,273500
2000-02-15,5.9375,6.0,5.6875,3.9295769999999997,5.6875,90800
2000-02-16,5.9375,5.9375,5.75,3.972761,5.75,131800
2000-02-17,5.75,5.8125,5.5,3.972761,5.75,244000
2000-02-18,5.6875,5.75,5.625,3.972761,5.75,245700
2000-02-22,5.625,5.75,5.375,3.9295769999999997,5.6875,242300
2000-02-23,5.6875,5.6875,5.4375,3.8000309999999997,5.5,168300
2000-02-24,5.4375,5.6875,5.25,3.886396,5.625,400300
2000-02-25,5.6875,5.875,5.375,3.8000309999999997,5.5,248400
2000-02-28,5.4375,5.4375,5.1875,3.6704849999999998,5.3125,460800
2000-02-29,5.3125,5.75,5.0,3.9295769999999997,5.6875,3310900
2000-03-01,5.6875,6.125,5.5,4.188671,6.0625,690400
2000-03-02,6.3125,7.25,6.25,4.750038,6.875,963100
2000-03-03,7.0,7.1875,6.8125,4.793222,6.9375,599200
2000-03-06,6.9375,6.9375,6.4375,4.706857,6.8125,168800
2000-03-07,6.8125,7.0,6.625,4.663675,6.75,485700
2000-03-08,6.75,7.125,6.5625,4.836403,7.0,1398400
2000-03-09,7.0,7.5,6.75,4.879586,7.0625,952500
2000-03-10,7.0625,7.125,6.875,4.836403,7.0,364100
2000-03-13,6.625,6.9375,6.625,4.793222,6.9375,396900
2000-03-14,6.875,6.875,6.5625,4.750038,6.875,253800
2000-03-15,6.8125,7.0625,6.75,4.879586,7.0625,342800
2000-03-16,6.9375,7.5625,6.9375,5.2250440000000005,7.5625,951500
2000-03-17,7.5,8.5,7.5,5.613682,8.125,767500
2000-03-20,8.375,8.5625,8.0625,5.786412,8.375,619500
2000-03-21,8.375,8.375,8.0625,5.656866,8.1875,315600
2000-03-22,8.125,8.125,7.6875,5.354588,7.75,255200
2000-03-23,7.5,8.375,7.375,5.7000459999999995,8.25,889500
2000-03-24,8.0625,8.4375,8.0,5.829594999999999,8.4375,606500
2000-03-27,8.3125,8.4375,8.1875,5.656866,8.1875,300200
2000-03-28,8.125,8.25,7.875,5.613682,8.125,344700
2000-03-29,8.0,8.25,7.4375,5.7000459999999995,8.25,571100
2000-03-30,8.25,9.375,8.1875,6.2182319999999995,9.0,920900
2000-03-31,9.125,9.125,8.75,6.175052,8.9375,375800
2000-04-03,9.0,10.4375,8.9375,7.038692,10.1875,1894400
2000-04-04,10.1875,10.25,8.75,6.563692,9.5,1385100
2000-04-05,9.625,10.0,9.5625,6.865966,9.9375,1266200
2000-04-06,10.0,11.1875,9.9375,7.5137,10.875,1883200
2000-04-07,11.0,11.8125,10.75,8.161434,11.8125,1614900
2000-04-10,11.375,11.75,10.875,7.902338,11.4375,1121600
2000-04-11,11.5,11.75,11.3125,7.859155,11.375,901400
2000-04-12,11.25,11.625,11.0,7.600061999999999,11.0,769200
2000-04-13,10.875,10.875,10.25,7.254605000000001,10.5,998300
2000-04-14,10.3125,10.375,9.625,6.650056,9.625,605600
2000-04-17,9.75,10.0,9.5625,6.736421000000001,9.75,653800
2000-04-18,9.8125,10.75,9.5,7.427332000000001,10.75,390400
2000-04-19,10.375,11.125,10.375,7.470517,10.8125,1040000
2000-04-20,10.8125,11.25,10.75,7.686425999999999,11.125,835400
2000-04-24,10.875,11.0,10.5,7.470517,10.8125,631200
2000-04-25,10.8125,11.3125,10.8125,7.772792999999999,11.25,696100
2000-04-26,11.125,12.25,11.0625,8.031884,11.625,1332800
2000-04-27,11.125,11.8125,11.125,8.118245,11.75,607300
2000-04-28,11.75,11.9375,11.0625,8.20461,11.875,871900
2000-05-01,11.8125,11.9375,11.75,8.20461,11.875,558700
2000-05-02,11.875,11.9375,11.5,8.20461,11.875,796800
2000-05-03,11.625,11.625,11.0,7.815974000000001,11.3125,530500
2000-05-04,11.875,12.3125,11.875,8.290977999999999,12.0,1523900
2000-05-05,12.25,13.0,12.1875,8.765982000000001,12.6875,1200600
2000-05-08,12.6875,12.75,12.1875,8.420528,12.1875,312000
2000-05-09,12.3125,12.8125,12.3125,8.722803,12.625,880800
2000-05-10,12.375,12.4375,11.875,8.247797,11.9375,275200
2000-05-11,12.0,12.3125,11.6875,8.463701,12.25,385000
