Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,2.015625,2.15625,2.0,1.924204,2.09375,105600
2000-01-04,2.015625,2.03125,1.929688,1.773426,1.929688,40000
2000-01-05,1.921875,2.03125,1.921875,1.8667650000000002,2.03125,234400
2000-01-06,1.953125,2.015625,1.953125,1.8524049999999999,2.015625,679200
2000-01-07,1.953125,2.125,1.953125,1.8667650000000002,2.03125,284000
2000-01-10,2.0,2.09375,2.0,1.895484,2.0625,106400
2000-01-11,2.09375,2.203125,2.0,1.924204,2.09375,142400
2000-01-12,2.085938,2.164063,2.085938,1.981643,2.15625,220000
2000-01-13,2.1289,2.28125,2.109375,2.067801,2.25,303200
2000-01-14,2.265625,2.265625,2.210938,2.046261,2.226563,43200
2000-01-18,2.226563,2.28125,2.226563,2.053441,2.234375,145600
2000-01-19,2.242188,2.375,2.242188,2.11806,2.304688,222400
2000-01-20,2.296875,2.3125,2.234375,2.067801,2.25,729600
2000-01-21,2.234375,2.265625,2.21875,2.067801,2.25,106400
2000-01-24,2.25,2.28125,2.21875,2.067801,2.25,103200
2000-01-25,2.203125,2.25,2.1875,2.0103619999999998,2.1875,50400
2000-01-26,2.175775,2.1875,2.109375,2.0103619999999998,2.1875,56800
2000-01-27,2.125,2.21875,2.09375,1.924204,2.09375,77600
2000-01-28,2.09375,2.328125,2.046875,2.1252400000000002,2.3125,240000
2000-01-31,2.2460880000000003,2.375,2.234375,2.11806,2.304688,152000
2000-02-01,2.265625,2.273438,2.125,1.952923,2.125,155200
2000-02-02,2.125,2.273438,2.125,2.067801,2.25,46400
2000-02-03,2.25,2.328125,2.21875,2.139599,2.328125,170400
2000-02-04,2.28125,2.28125,2.171875,1.996002,2.171875,118400
2000-02-07,2.232413,2.234375,2.078125,1.9672830000000001,2.140625,53600
2000-02-08,2.140625,2.1875,2.0625,2.0103619999999998,2.1875,170400
2000-02-09,1.6875,1.875,1.671875,1.6513689999999999,1.796875,2757600
2000-02-10,1.78515,1.90625,1.78125,1.744707,1.898438,959200
2000-02-11,1.902338,1.9375,1.828125,1.751887,1.90625,970400
2000-02-14,1.867188,1.890625,1.796875,1.687268,1.835938,682400
2000-02-15,1.8125,1.835938,1.78125,1.637009,1.78125,204800
2000-02-16,1.742188,1.75,1.695313,1.6082889999999999,1.75,2054400
2000-02-17,1.703125,1.75,1.703125,1.5939299999999998,1.734375,357600
2000-02-18,1.726563,1.804688,1.71875,1.658548,1.804688,191200
2000-02-22,1.8125,1.890625,1.765625,1.694448,1.84375,840800
2000-02-23,1.8125,1.890625,1.765625,1.680088,1.828125,420800
2000-02-24,1.828125,1.96875,1.828125,1.8093259999999998,1.96875,336800
2000-02-25,1.953125,1.960938,1.890625,1.7662470000000001,1.921875,327200
2000-02-28,1.921875,1.953125,1.875,1.737527,1.890625,117600
2000-02-29,1.9375,2.0,1.898438,1.8236849999999998,1.984375,257600
2000-03-01,1.960938,2.40625,1.945313,2.039081,2.21875,816800
2000-03-02,2.1875,2.25,2.125,2.0103619999999998,2.1875,147200
2000-03-03,2.125,2.140625,2.0625,1.9672830000000001,2.140625,152000
2000-03-06,1.625,1.625,1.125,1.148778,1.25,12396000
2000-03-07,1.25,1.265625,1.203125,1.105699,1.203125,3324800
2000-03-08,1.234375,1.234375,1.09375,1.0626200000000001,1.15625,1811200
2000-03-09,1.15625,1.171875,1.0859379999999998,1.0339,1.125,3557600
2000-03-10,1.15625,1.2265629999999998,1.1171879999999998,1.1272389999999999,1.2265629999999998,1449600
2000-03-13,1.2304629999999999,1.265625,1.1875,1.148778,1.25,1082400
2000-03-14,1.2304629999999999,1.2304629999999999,1.109375,1.087744,1.1835879999999999,1439200
2000-03-15,1.18945,1.1953129999999998,1.125,1.0339,1.125,548000
2000-03-16,1.144525,1.1875,1.125,1.0626200000000001,1.15625,728800
2000-03-17,1.1523379999999999,1.1796879999999998,1.125,1.0769799999999998,1.171875,370400
2000-03-20,1.1875,1.1875,1.109375,1.0339,1.125,1475200
2000-03-21,1.144525,1.144525,1.09375,1.0339,1.125,344000
2000-03-22,1.113275,1.1289,1.09375,1.012361,1.1015629999999998,285600
2000-03-23,1.109375,1.1484379999999998,1.1015629999999998,1.012361,1.1015629999999998,414400
2000-03-24,1.1015629999999998,1.234375,1.09375,1.044665,1.1367129999999999,245600
2000-03-27,1.21875,1.21875,1.09375,1.019541,1.109375,632000
2000-03-28,1.125,1.171875,1.1015629999999998,1.0339,1.125,559200
2000-03-29,1.1953129999999998,1.1953129999999998,1.125,1.0751760000000001,1.169912,183200
2000-03-30,1.175775,1.175775,1.109375,1.019541,1.109375,246400
2000-03-31,1.1328129999999998,1.21875,1.109375,1.05544,1.1484379999999998,442400
2000-04-03,1.1875,1.1875,1.109375,1.0339,1.125,200000
2000-04-04,1.125,1.1484379999999998,0.9375,0.9549219999999999,1.0390629999999998,1120000
2000-04-05,1.0664,1.09375,1.0,0.976462,1.0625,386400
2000-04-06,1.078125,1.078125,1.0078129999999998,0.962102,1.046875,1416800
2000-04-07,1.076162,1.125,1.0625,0.976462,1.0625,176000
2000-04-10,1.091787,1.125,1.0625,0.976462,1.0625,198400
2000-04-11,1.125,1.125,1.046875,0.990822,1.078125,450400
2000-04-12,1.0898379999999999,1.1484379999999998,1.0625,0.990822,1.078125,322400
2000-04-13,1.0859379999999998,1.09375,0.96875,0.9190229999999999,1.0,321600
2000-04-14,0.984375,1.0,0.921875,0.849016,0.923825,118400
2000-04-17,0.921875,1.015625,0.859375,0.861584,0.9375,599200
2000-04-18,0.945313,0.9980379999999999,0.894525,0.861584,0.9375,91200
2000-04-19,0.9492120000000001,0.96875,0.90625,0.875943,0.953125,115200
2000-04-20,1.0,1.0078129999999998,0.9375,0.868764,0.945313,133600
2000-04-24,0.929688,1.0,0.90625,0.861584,0.9375,396000
2000-04-25,0.929688,0.9375,0.875,0.804145,0.875,176800
2000-04-26,0.890625,0.960938,0.890625,0.861584,0.9375,152800
2000-04-27,0.9375,0.992188,0.921875,0.847224,0.921875,626400
2000-04-28,0.984375,0.984375,0.921875,0.847224,0.921875,289600
2000-05-01,0.984375,1.046875,0.945313,0.962102,1.046875,262400
2000-05-02,1.0625,1.2421879999999998,1.0234379999999998,1.04826,1.140625,771200
2000-05-03,1.125,1.1875,1.113275,1.084159,1.1796879999999998,464800
2000-05-04,1.1875,1.2109379999999998,1.171875,1.0913389999999998,1.1875,272800
2000-05-05,1.1875,1.203125,1.15625,1.0913389999999998,1.1875,245600
2000-05-08,1.171875,1.234375,1.125,1.05544,1.1484379999999998,950400
2000-05-09,1.15625,1.25,1.140625,1.148778,1.25,467200
2000-05-10,1.21875,1.2265629999999998,1.140625,1.0913389999999998,1.1875,313600
2000-05-11,1.2109379999999998,1.359375,1.2109379999999998,1.177498,1.28125,932800
2000-05-12,1.28125,1.359375,1.2578129999999998,1.163138,1.265625,668800
2000-05-15,1.25,1.2773379999999999,1.21875,1.148778,1.25,557600
2000-05-16,1.25,1.265625,1.125,1.0626200000000001,1.15625,352800
2000-05-17,1.1875,1.203125,1.171875,1.0769799999999998,1.171875,233600
2000-05-18,1.171875,1.1875,1.15625,1.0626200000000001,1.15625,254400
2000-05-19,1.125,1.25,1.125,1.134419,1.234375,510400
2000-05-22,1.203125,1.203125,1.09375,1.0051809999999999,1.09375,92000
2000-05-23,1.09765,1.1328129999999998,1.09375,1.04108,1.1328129999999998,111200
2000-05-24,1.09375,1.171875,1.09375,1.059024,1.1523379999999999,330400
2000-05-25,1.078125,1.078125,0.984375,0.9046629999999999,0.984375,134400
2000-05-26,0.96875,1.09375,0.96875,0.9190229999999999,1.0,153600
2000-05-30,0.96875,0.96875,0.9375,0.883123,0.960938,610400
2000-05-31,0.953125,0.96875,0.8554620000000001,0.7969649999999999,0.867188,452000
2000-06-01,0.8730379999999999,0.875,0.859375,0.7897850000000001,0.859375,575200
2000-06-02,0.875,0.890625,0.84375,0.7897850000000001,0.859375,275200
2000-06-05,0.859375,0.859375,0.796875,0.7467060000000001,0.8125,671200
2000-06-06,0.806638,0.808587,0.6875,0.6605479999999999,0.71875,1343200
2000-06-07,0.734375,0.734375,0.6875,0.6605479999999999,0.71875,585600
2000-06-08,0.6914,0.710938,0.65625,0.603109,0.65625,1179200
2000-06-09,0.6875,0.6875,0.65625,0.617468,0.671875,601600
2000-06-12,0.669913,0.78125,0.667962,0.6605479999999999,0.71875,1554400
2000-06-13,0.8417879999999999,0.8417879999999999,0.75,0.696447,0.757813,991200
2000-06-14,0.78125,0.78125,0.75,0.689267,0.75,762400
