Date,Open,High,Low,Close,Adj Close,Volume
2000-12-01,10.5,14.0625,10.5,10.973627,13.5,23200
2000-12-04,13.875,15.0,13.625,12.192923,15.0,31000
2000-12-05,15.5,15.5,15.0,12.294528999999999,15.125,12800
2000-12-06,15.0,15.1875,15.0,12.192923,15.0,10400
2000-12-07,15.0,15.0,14.8125,12.040507,14.8125,2600
2000-12-08,14.9375,15.0,14.9375,12.192923,15.0,4200
2000-12-11,14.9375,15.1875,14.8125,12.345332,15.1875,32600
2000-12-12,14.875,15.125,14.875,12.294528999999999,15.125,3600
2000-12-13,15.25,15.375,15.25,12.497746000000001,15.375,2400
2000-12-14,15.3125,15.3125,15.25,12.396138,15.25,2800
2000-12-15,15.0625,15.125,14.75,11.989702000000001,14.75,83000
2000-12-18,14.75,15.125,14.75,12.294528999999999,15.125,23200
2000-12-19,15.0,15.25,15.0,12.294528999999999,15.125,3600
2000-12-20,15.0,15.0,14.625,11.989702000000001,14.75,42400
2000-12-21,14.6875,14.6875,14.375,11.735686999999999,14.4375,243400
2000-12-22,14.75,16.5625,14.75,13.259801000000001,16.3125,585200
2000-12-26,16.28125,16.4375,16.0625,13.132795999999999,16.15625,278600
2000-12-27,16.21875,16.53125,16.21875,13.437617000000001,16.53125,421000
2000-12-28,16.34375,16.625,16.3125,13.488418,16.59375,316200
2000-12-29,16.53125,16.65625,15.875,13.437617000000001,16.53125,539800
2001-01-02,16.5,17.3125,16.5,13.920254000000002,17.125,570400
2001-01-03,17.4375,17.5625,17.15625,14.123467000000002,17.375,824200
2001-01-04,17.3125,17.375,17.125,14.072664000000001,17.3125,525200
2001-01-05,17.21875,17.34375,16.75,13.666232999999998,16.8125,1357600
2001-01-08,17.0,17.03125,16.75,13.691634,16.84375,1843600
2001-01-09,16.71875,16.8125,16.65625,13.640827999999999,16.78125,422200
2001-01-10,16.65625,16.8125,16.625,13.640827999999999,16.78125,414200
2001-01-11,16.78125,16.84375,16.59375,13.590027,16.71875,523400
2001-01-12,16.65625,16.71875,16.625,13.513823,16.625,802600
2001-01-16,16.375,16.5625,16.375,13.412212,16.5,541000
2001-01-17,16.5,16.875,16.4375,13.590027,16.71875,410600
2001-01-18,16.625,16.78125,16.53125,13.590027,16.71875,798200
2001-01-19,16.59375,16.6875,16.40625,13.386809,16.46875,511200
2001-01-22,16.21875,16.4375,16.09375,13.183596,16.21875,368400
2001-01-23,16.125,16.3125,16.0,13.259801000000001,16.3125,583000
2001-01-24,16.25,16.34375,16.0,13.234402,16.28125,479800
2001-01-25,16.25,16.625,16.25,13.488418,16.59375,408200
2001-01-26,16.59375,16.71875,16.53125,13.488418,16.59375,645400
2001-01-29,16.51,16.59,16.375,13.33906,16.41,772400
2001-01-30,16.285,16.285,15.85,12.932625999999999,15.91,377200
2001-01-31,15.6,16.27,15.6,13.184614000000002,16.219998999999998,633200
2001-02-01,15.8,18.0,15.8,14.025923,17.254998999999998,1433400
2001-02-02,17.200001,17.625,17.049999,13.867419,17.059998999999998,1039600
2001-02-05,16.959999,17.674999,16.85,13.696722,16.85,665000
2001-02-06,16.594998999999998,17.594998999999998,16.594998999999998,14.229144,17.504998999999998,726600
2001-02-07,17.504998999999998,18.225,17.504998999999998,14.720922,18.110001,829800
2001-02-08,18.0,19.004998999999998,17.945,15.448428,19.004998999999998,1198400
2001-02-09,18.815001000000002,19.26,18.65,15.655710999999998,19.26,755000
2001-02-12,19.26,19.735001,19.129998999999998,16.013367000000002,19.700001,781600
2001-02-13,19.299999,19.950001,19.23,15.928018,19.594998999999998,968800
2001-02-14,19.35,19.549999,19.225,15.728871,19.35,559000
2001-02-15,19.450001,19.715,19.43,15.923957999999999,19.59,502200
2001-02-16,19.0,19.15,18.620001000000002,15.257408999999999,18.77,446000
2001-02-20,18.754998999999998,18.945,18.1,14.71279,18.1,402600
2001-02-21,18.1,18.280001000000002,18.035,14.672148000000002,18.049999,363600
2001-02-22,18.049999,18.375,17.834999,14.920075,18.355,635600
2001-02-23,18.355,18.575001,18.35,15.058257000000001,18.525,913000
2001-02-26,18.75,20.0,18.75,16.05402,19.75,2160800
2001-02-27,19.25,19.49,19.165001,15.639448999999999,19.24,835800
2001-02-28,19.0,19.6,18.985001,15.493138,19.059998999999998,804800
2001-03-01,19.375,19.5,18.684998999999998,15.545975,19.125,734800
2001-03-02,19.075001,20.25,19.025,16.423859,20.205,1102600
2001-03-05,20.5,23.5,20.1,18.838062,23.174999,2998800
2001-03-06,22.25,22.889999,21.0,17.5009,21.530001000000002,3856400
2001-03-07,21.25,22.65,21.25,18.208092,22.4,2447200
2001-03-08,22.35,23.75,22.35,19.000639000000003,23.375,2596400
2001-03-09,23.0,23.495001000000002,22.905001000000002,19.037212,23.42,2293600
2001-03-12,23.125,23.5,23.025,18.781166,23.105,1365600
2001-03-13,23.125,23.225,22.049999,18.352929999999997,22.5,1012200
2001-03-14,22.25,22.674999,21.25,17.525015,21.485001,1622000
2001-03-15,21.6,22.535,21.549999,18.336617,22.48,1240600
2001-03-16,22.174999,22.174999,21.790001,17.985870000000002,22.049999,1990600
2001-03-19,22.1,22.424999,21.75,17.798264,21.82,776200
2001-03-20,21.85,22.049999,21.725,17.724852,21.73,533000
2001-03-21,21.875,21.875,21.075001,17.284384,21.190001000000002,597000
2001-03-22,21.065001000000002,21.295,19.700001,16.444223,20.16,853000
2001-03-23,20.450001,20.875,20.35,16.888765,20.705,881000
2001-03-26,20.6,21.075001,20.549999,16.941793,20.77,558000
2001-03-27,20.799999,20.945,20.700001,17.080463,20.940001000000002,676000
2001-03-28,21.190001000000002,21.35,21.02,17.162027,21.040001,758400
2001-03-29,21.040001,22.745001000000002,21.040001,18.463047,22.635,3210400
2001-03-30,22.875,23.0,22.200001,18.14901,22.25,3574000
2001-04-02,21.85,22.290001,21.35,17.631052,21.615,1173400
2001-04-03,21.65,21.75,20.525,16.896931,20.715,673800
2001-04-04,20.715,21.25,20.700001,17.219126,21.110001,965400
2001-04-05,21.325001,21.495001000000002,21.07,17.259909,21.16,302600
2001-04-06,21.125,21.16,20.305,16.709322,20.485001,361800
2001-04-09,20.5,21.075001,20.5,17.117159,20.985001,563600
2001-04-10,21.055,21.5,21.025,17.410805,21.344998999999998,798800
2001-04-11,21.245001000000002,21.325001,20.945,17.149796,21.025,447000
2001-04-12,20.950001,21.299999,20.809998999999998,17.194651,21.08,370000
2001-04-16,21.325001,22.049999,21.325001,17.945087,22.0,641800
2001-04-17,21.875,22.27,21.799999,18.14901,22.25,950400
2001-04-18,22.174999,22.725,22.174999,18.450808,22.620001000000002,1656400
2001-04-19,22.625,22.665001,22.32,18.352929999999997,22.5,452000
2001-04-20,22.625,22.745001000000002,22.450001,18.405945000000003,22.565001000000002,642800
2001-04-23,21.875,22.775,21.875,18.57724,22.775,825600
2001-04-24,22.9,24.469998999999998,22.9,19.658022,24.1,2779800
2001-04-25,23.75,25.85,23.75,21.085473999999998,25.85,3340000
2001-04-26,26.0,27.25,25.98,22.125479000000002,27.125,3440400
2001-04-27,27.1,27.615,26.5,22.492535,27.575001,1261600
2001-04-30,27.450001,27.455,26.129998999999998,21.497398,26.355,2507000
2001-05-01,26.4,27.4,25.75,22.288610000000002,27.325001,1268800
2001-05-02,27.0,27.25,25.73,21.085473999999998,25.85,2498000
2001-05-03,25.799999,25.799999,25.15,20.799979999999998,25.5,1657200
2001-05-04,24.975,26.200001,24.5,21.370962,26.200001,1734200
2001-05-07,26.200001,26.625,25.905001000000002,21.199673,25.99,1192000
2001-05-08,26.1,26.375,25.9,21.244529999999997,26.045,1081600
2001-05-09,26.1,26.225,25.605,21.077314,25.84,718600
2001-05-10,25.965,27.445,25.940001000000002,22.166264,27.174999,1858000
2001-05-11,27.174999,27.4,26.674999,21.925629,26.879998999999998,817400
2001-05-14,26.754998999999998,27.049999,26.75,22.015356,26.99,635200
2001-05-15,26.700001,26.950001,26.690001000000002,21.905231,26.855,573800
2001-05-16,26.969998999999998,28.5,26.83,23.206257,28.450001,3878000
2001-05-17,28.5,29.924999,28.5,24.062727,29.5,3601800
2001-05-18,29.4,29.52,28.855,23.858810000000002,29.25,1690000
2001-05-21,29.1,29.445,28.950001,23.985232999999997,29.405001000000002,1559600
2001-05-22,29.405001000000002,31.6,29.4,25.551361,31.325001,2849200
2001-05-23,31.32,31.32,30.135,24.690804999999997,30.27,1443000
2001-05-24,30.325001,30.530001000000002,28.855,24.694885,30.275,1561200
2001-05-25,30.25,30.35,29.075001,23.756847,29.125,792400
2001-05-29,29.125,29.5,28.700001,23.74053,29.105,711600
2001-05-30,28.98,29.365,28.25,23.764997,29.135,1076400
2001-05-31,29.200001,29.75,29.094998999999998,23.785391,29.16,1059800
2001-06-01,29.27,29.4,28.475,23.536596,28.855,929400
2001-06-04,28.98,29.275,28.655001000000002,23.410175,28.700001,777400
2001-06-05,28.75,28.834999,27.25,22.333473,27.379998999999998,1387800
2001-06-06,27.379998999999998,27.379998999999998,26.25,21.534105,26.4,1088600
2001-06-07,26.125,26.605,26.0,21.513707999999998,26.375,1584200
2001-06-08,26.5,26.924999,26.290001,21.676847,26.575001,851200
2001-06-11,26.65,26.745001000000002,25.879998999999998,21.252685999999997,26.055,686600
2001-06-12,25.93,26.245001000000002,25.725,21.264925,26.07,923000
2001-06-13,26.15,27.360001,26.15,22.072454,27.059998999999998,1151000
2001-06-14,27.184998999999998,27.184998999999998,26.549999,21.909325,26.860001,1173000
2001-06-15,26.299999,26.875,26.030001000000002,21.615671,26.5,1994800
2001-06-18,26.325001,26.870001000000002,26.254998999999998,21.754757,26.59,855000
2001-06-19,26.799999,27.424999,26.035,21.300686,26.035,832600
2001-06-20,26.1,26.545,22.48,18.408501,22.5,3978400
2001-06-21,22.5,24.42,22.43,19.954815,24.389999,4742000
2001-06-22,22.0,22.75,21.639999,18.424856,22.52,7063200
2001-06-25,22.645,23.1,21.74,17.876701,21.85,1358800
2001-06-26,21.25,22.25,21.25,17.938060999999998,21.924999,1171600
2001-06-27,21.799999,22.200001,21.530001000000002,17.868525,21.84,697400
2001-06-28,21.84,22.549999,21.525,18.023968,22.030001000000002,1080400
2001-06-29,22.0,23.075001,22.0,18.469866,22.575001,1578200
2001-07-02,22.700001,22.775,22.645,18.592579,22.725,1079000
2001-07-03,22.700001,22.799999,22.545,18.608946,22.745001000000002,753200
2001-07-05,22.5,22.5,19.85,16.346748,19.98,2851400
2001-07-06,20.5,21.35,20.125,17.299904,21.145,2830800
2001-07-09,21.115,21.145,20.125,16.776283,20.504998999999998,1673400
2001-07-10,20.75,20.9,20.4,16.788555,20.52,544200
2001-07-11,20.450001,20.530001000000002,19.559998999999998,16.080847,19.655001000000002,1098400
2001-07-12,20.200001,20.639999,19.85,16.363115,20.0,1530600
2001-07-13,20.0,20.27,19.799999,16.354927,19.99,893000
2001-07-16,20.049999,20.219998999999998,18.4,15.369051,18.785,1478000
2001-07-17,18.785,18.9,17.575001,14.440445,17.65,3543200
2001-07-18,17.799999,19.775,17.799999,16.117673999999997,19.700001,1278000
2001-07-19,19.65,20.594998999999998,19.65,16.404015,20.049999,1107000
2001-07-20,20.0,20.075001,19.775,16.273115,19.889999,507000
2001-07-23,19.875,20.15,19.0,15.708591,19.200001,713000
2001-07-24,19.200001,19.35,18.299999,15.242234,18.629998999999998,1432200
2001-07-25,18.625,18.865,18.325001,15.201329000000001,18.58,760800
2001-07-26,18.549999,18.799999,18.1,15.340418,18.75,842200
2001-07-27,18.875,19.450001,18.629998999999998,15.782219,19.290001,704200
2001-07-30,19.285,19.530001000000002,19.285,15.868125,19.395,969600
2001-07-31,19.389999,20.15,19.375,16.170847,19.764999,651200
2001-08-01,19.75,19.9,18.725,15.397687,18.82,2857600
2001-08-02,19.049999,19.665001,18.75,16.019489,19.58,1342000
2001-08-03,19.65,19.9,19.299999,16.068576999999998,19.639999,1528600
2001-08-06,19.4,19.575001,18.9,15.74949,19.25,687600
2001-08-07,19.174999,19.35,18.82,15.405869000000001,18.83,476000
2001-08-08,18.5,18.99,18.139999,15.344505999999999,18.754998999999998,1411000
2001-08-09,18.655001000000002,19.200001,18.559998999999998,15.536776999999999,18.99,553600
2001-08-10,18.950001,19.370001000000002,18.605,15.594045999999999,19.059998999999998,252000
2001-08-13,19.025,19.200001,18.76,15.536776999999999,18.99,608000
2001-08-14,19.1,19.34,19.02,15.782219,19.290001,953200
2001-08-15,19.275,19.299999,18.424999,15.569506,19.030001000000002,831000
2001-08-16,19.0,19.695,18.68,16.101301,19.68,341600
2001-08-17,19.629998999999998,19.629998999999998,18.950001,15.753587,19.254998999999998,548800
2001-08-20,19.309998999999998,19.875,19.25,16.134026000000002,19.719998999999998,432800
2001-08-21,19.9,20.875,19.9,16.690374,20.4,734600
2001-08-22,20.42,20.815001000000002,19.844998999999998,17.017628,20.799999,880800
2001-08-23,20.799999,21.299999,20.549999,17.344898,21.200001,1036600
2001-08-24,21.205,21.75,21.065001000000002,17.721245,21.66,599800
2001-08-27,21.66,22.415001,21.555,18.163055,22.200001,550200
2001-08-28,22.200001,22.200001,21.424999,17.901245,21.879998999999998,835000
2001-08-29,22.424999,22.905001000000002,22.290001,18.428951,22.525,1007000
2001-08-30,22.385,22.870001000000002,22.16,18.20805,22.254998999999998,789200
2001-08-31,22.275,22.775,22.18,18.543501000000003,22.665001,601200
2001-09-04,22.715,22.855,21.950001,17.99943,22.0,810800
2001-09-05,22.0,22.700001,21.625,18.326683,22.4,1518400
2001-09-06,22.125,22.245001000000002,21.815001000000002,17.89715,21.875,329400
2001-09-07,21.5,21.58,20.865,17.083088,20.879998999999998,375200
2001-09-10,20.775,21.5,20.629998999999998,17.385809,21.25,312800
2001-09-17,20.25,21.450001,20.0,17.377594000000002,21.16,586400
2001-09-18,21.0,21.049999,20.07,16.691854,20.325001,362000
2001-09-19,20.450001,20.5,18.049999,15.320376000000001,18.655001000000002,911400
2001-09-20,18.155001000000002,18.495001000000002,17.594998999999998,14.852253,18.084999,954000
2001-09-21,17.799999,18.450001,17.525,14.807087,18.030001000000002,711600
2001-09-24,18.625,19.450001,18.25,15.172545999999999,18.475,902000
2001-09-25,18.475,18.475,17.985001,15.016502,18.285,809000
2001-09-26,18.309998999999998,19.1,18.155001000000002,15.398392000000001,18.75,771600
2001-09-27,18.875,19.0,18.440001000000002,15.464093,18.83,460000
2001-09-28,18.855,19.525,18.700001,15.809010999999998,19.25,508800
2001-10-01,19.254998999999998,19.950001,19.25,16.014328,19.5,676400
2001-10-02,19.6,20.115,19.025,16.080021,19.58,620800
2001-10-03,19.594998999999998,21.605,19.594998999999998,17.673241,21.52,761200
2001-10-04,21.52,22.9,21.25,18.137251000000003,22.084999,1101600
2001-10-05,21.9,21.9,20.5,17.311885999999998,21.08,876200
2001-10-08,21.08,21.15,20.65,17.36528,21.145,297600
2001-10-09,21.475,22.700001,21.299999,18.515024,22.545,863200
2001-10-10,22.5,22.85,22.35,18.539661,22.575001,795400
2001-10-11,22.9,23.725,22.58,19.291103,23.49,1026400
2001-10-12,23.495001000000002,23.9,22.5,18.683374,22.75,677800
2001-10-15,22.85,22.959999,22.475,18.765499,22.85,256600
2001-10-16,22.975,23.455,22.879998999999998,19.003664,23.139999,186600
2001-10-17,23.200001,23.625,22.174999,18.317923,22.305,469200
2001-10-18,22.25,22.365,21.625,17.849813,21.735001,321000
2001-10-19,21.65,21.735001,21.049999,17.6486,21.49,453800
2001-10-22,21.700001,22.5,21.700001,18.383615,22.385,383000
2001-10-23,22.389999,22.545,21.530001000000002,17.82106,21.700001,366400
2001-10-24,21.725,21.745001000000002,21.325001,17.788211999999998,21.66,224800
2001-10-25,21.549999,22.959999,21.174999,18.806562,22.9,345200
2001-10-26,22.625,23.174999,22.105,18.744968,22.825001,422600
2001-10-29,22.825001,22.825001,22.309998999999998,18.424685999999998,22.434998999999998,331000
2001-10-30,21.625,21.625,20.25,16.704172,20.34,911400
2001-10-31,19.25,20.450001,18.174999,15.283408999999999,18.610001,3814400
2001-11-01,19.0,19.065001000000002,18.075001,15.459988000000001,18.825001,1293400
2001-11-02,18.825001,19.485001,18.674999,15.862391,19.315001000000002,1141800
2001-11-05,19.415001,19.75,19.325001,16.145725,19.66,991200
2001-11-06,19.700001,19.790001,19.299999,16.248383,19.785,413800
2001-11-07,19.799999,21.075001,19.52,17.266731,21.025,572400
2001-11-08,21.025,21.075001,20.190001000000002,16.732912,20.375,688000
2001-11-09,20.375,20.375,19.25,16.022532,19.51,784400
2001-11-12,19.575001,20.450001,19.35,16.691854,20.325001,276600
2001-11-13,20.5,21.715,20.0,17.45561,21.254998999999998,1002200
2001-11-14,21.26,21.495001000000002,19.25,16.207314,19.735001,994800
2001-11-15,19.775,20.0,19.1,15.850075,19.299999,556400
2001-11-16,18.875,19.040001,17.915001,15.115054,18.405001000000002,1992600
2001-11-19,18.5,18.844998999999998,18.174999,15.414816,18.77,455400
2001-11-20,18.525,19.344998999999998,18.525,15.850075,19.299999,513400
2001-11-21,19.305,19.379998999999998,18.450001,15.521572,18.9,313000
2001-11-23,18.875,19.025,18.52,15.566745000000001,18.955,80000
2001-11-26,19.049999,19.450001,18.530001000000002,15.899347,19.360001,426800
2001-11-27,19.485001,19.775,18.969998999999998,16.15394,19.67,362600
2001-11-28,19.375,19.5,19.1,15.928092000000001,19.395,632600
2001-11-29,19.5,20.055,18.75,15.484612,18.855,1221400
2001-11-30,18.875,19.5,18.875,15.542107999999999,18.924999,401800
2001-12-03,18.875,19.105,18.684998999999998,15.644763000000001,19.049999,566400
2001-12-04,19.049999,19.700001,19.049999,16.15394,19.67,214800
2001-12-05,19.719998999999998,20.125,19.719998999999998,16.404419,19.975,475800
2001-12-06,19.975,20.200001,19.625,16.1991,19.725,450400
2001-12-07,19.725,19.75,19.25,15.985579000000001,19.465,639400
2001-12-10,19.465,19.625,19.174999,15.866492000000001,19.32,343800
2001-12-11,19.32,19.83,19.295,16.22374,19.754998999999998,441400
2001-12-12,19.76,19.975,17.41,14.770129999999998,17.985001,3139200
2001-12-13,17.799999,18.475,17.65,14.864581,18.1,1443400
2001-12-14,17.9,18.200001,17.424999,14.905634,18.15,1567200
2001-12-17,17.875,18.24,17.67,14.913889000000001,18.08,750000
2001-12-18,18.200001,18.594998999999998,18.110001,15.021123000000001,18.209999,466800
2001-12-19,18.200001,19.475,18.125,15.549045000000001,18.85,870600
2001-12-20,18.725,19.24,18.525,15.635657,18.955,560000
2001-12-21,19.075001,19.1,17.57,14.600434,17.700001,2173800
2001-12-24,17.700001,18.32,17.695,14.777782,17.915001,532200
2001-12-26,17.875,18.325001,17.875,15.016994,18.205,281200
2001-12-27,18.254998999999998,18.459999,17.865,14.860273000000001,18.014999,483800
2001-12-28,18.5,18.625,18.370001000000002,15.322207999999998,18.575001,434200
2001-12-31,18.875,18.875,18.125,15.425308,18.700001,596200
2002-01-02,18.475,18.620001000000002,18.16,15.219095999999999,18.450001,825800
2002-01-03,18.450001,18.875,18.105,15.276832,18.52,531800
2002-01-04,18.57,18.975,18.055,15.520179,18.815001000000002,463000
2002-01-07,18.775,18.860001,18.295,15.359323999999999,18.620001000000002,292200
2002-01-08,18.575001,18.645,18.0,14.942766,18.115,301400
2002-01-09,18.200001,18.549999,18.09,15.045867000000001,18.24,510000
2002-01-10,18.200001,18.219998999999998,18.014999,14.926260999999998,18.094998999999998,581600
2002-01-11,18.094998999999998,18.094998999999998,17.334999,14.682917000000002,17.799999,963000
2002-01-14,17.799999,17.950001,17.540001,14.513817000000001,17.594998999999998,1024000
2002-01-15,17.65,17.75,16.915001,14.142626000000002,17.145,1326600
2002-01-16,16.625,16.950001,14.78,12.299008,14.91,5340200
2002-01-17,15.275,16.375,15.1,13.268246,16.084999,3370000
2002-01-18,16.084999,16.25,15.75,13.01253,15.775,830200
2002-01-22,15.9,16.1,15.0,12.571222,15.24,1119000
2002-01-23,15.35,15.9,15.125,12.892924,15.63,1477800
2002-01-24,15.65,15.965,15.39,13.020779,15.785,661800
2002-01-25,15.675,16.195,15.6,13.354857,16.190001000000002,1499200
2002-01-28,16.24,16.275,16.0,13.350729999999999,16.184998999999998,379400
2002-01-29,16.15,16.299999,15.775,13.202253,16.004998999999998,667000
2002-01-30,15.95,16.280001000000002,15.125,13.165135000000001,15.96,737600
2002-01-31,15.96,16.16,15.74,13.218751000000001,16.025,1389400
2002-02-01,16.0,16.025,15.425,13.041405000000001,15.81,867800
2002-02-04,15.75,15.75,14.875,12.369123,14.995,403600
2002-02-05,14.995,15.085,14.515,12.253636,14.855,680000
2002-02-06,14.975,15.035,14.625,12.204147,14.795,537400
2002-02-07,14.67,14.97,14.55,12.233017,14.83,775600
2002-02-08,15.2,16.105,15.2,13.074399,15.85,1189600
2002-02-11,16.85,17.625,16.25,14.385964999999999,17.440001000000002,1607400
