Date,Open,High,Low,Close,Adj Close,Volume
2001-01-16,3.75,3.75,3.75,3.61235,3.75,3200
2001-01-17,3.75,3.75,3.75,3.61235,3.75,122800
2001-01-18,3.875,4.125,3.875,3.973584,4.125,167200
2001-01-19,4.1875,4.28125,4.1875,4.1241010000000005,4.28125,59600
2001-01-22,4.25,4.625,4.25,4.395025,4.5625,146800
2001-01-23,4.5,4.78125,4.5,4.515437,4.6875,76000
2001-01-24,4.625,4.625,4.5625,4.395025,4.5625,560000
2001-01-25,4.65625,4.6875,4.625,4.515437,4.6875,143200
2001-01-26,4.625,4.640625,4.625,4.4552309999999995,4.625,82000
2001-01-29,4.63,4.6875,4.6,4.5033970000000005,4.675,262000
2001-01-30,4.675,4.675,4.5875,4.479316000000001,4.65,339200
2001-01-31,4.675,4.7625,4.675,4.515437,4.6875,326000
2001-02-01,4.75,5.3,4.69,5.033207,5.225,2556800
2001-02-02,5.1875,5.25,5.15,5.016348000000001,5.2075,795600
2001-02-05,5.2125,5.3625,4.98,4.809242,4.9925,644800
2001-02-06,4.975,5.005,4.9375,4.756264,4.9375,1338800
2001-02-07,4.925,5.0,4.9125,4.816466999999999,5.0,1350400
2001-02-08,5.0,5.04,4.875,4.696055,4.875,578800
2001-02-09,4.875,4.9375,4.875,4.756264,4.9375,441600
2001-02-12,4.9375,4.9375,4.825,4.64789,4.825,327200
2001-02-13,4.825,4.885,4.8125,4.635848999999999,4.8125,648800
2001-02-14,4.8125,4.8125,4.7675,4.594908,4.77,135600
2001-02-15,4.775,4.7875,4.575,4.407069,4.575,454400
2001-02-16,4.525,4.525,4.35,4.351677,4.5175,427200
2001-02-20,4.5175,4.5375,4.4525,4.3564940000000005,4.5225,1000400
2001-02-21,4.5225,4.5225,4.475,4.354086,4.52,443600
2001-02-22,4.52,4.535,4.475,4.342046,4.5075,623600
2001-02-23,4.525,4.675,4.5,4.443191000000001,4.6125,1222800
2001-02-26,4.625,4.78,4.625,4.575643,4.75,1182400
2001-02-27,4.75,4.75,4.725,4.551558999999999,4.725,690000
2001-02-28,4.725,4.75,4.7125,4.575643,4.75,326000
2001-03-01,4.725,4.725,4.675,4.5033970000000005,4.675,155200
2001-03-02,4.6875,4.7025,4.675,4.517846,4.69,836800
2001-03-05,4.6875,4.7625,4.6875,4.578052,4.7525,402800
2001-03-06,4.7525,4.775,4.7,4.527476,4.7,610000
2001-03-07,4.7,4.7475,4.7,4.573237000000001,4.7475,89600
2001-03-08,4.745,4.745,4.7,4.527476,4.7,211600
2001-03-09,4.7,4.7025,4.675,4.522663,4.695,269600
2001-03-12,4.695,4.725,4.6625,4.5033970000000005,4.675,106400
2001-03-13,4.7125,4.7125,4.6125,4.443191000000001,4.6125,671600
2001-03-14,4.6125,4.6375,4.4675,4.310739,4.475,455600
