Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,31.75,31.8125,31.03125,23.86463,31.21875,815400
2000-01-04,30.8125,31.0,30.5,23.386847,30.59375,728000
2000-01-05,30.59375,30.59375,30.125,23.219635,30.375,556400
2000-01-06,30.40625,30.40625,30.0,23.14797,30.28125,590400
2000-01-07,30.21875,30.25,29.8125,23.028520999999998,30.125,816000
2000-01-10,30.125,30.34375,30.0625,23.14797,30.28125,1099000
2000-01-11,30.25,30.90625,30.1875,23.386847,30.59375,966600
2000-01-12,30.25,30.4375,29.53125,22.646314999999998,29.625,857000
2000-01-13,29.75,30.0625,29.625,22.741873000000002,29.75,456400
2000-01-14,30.0,30.375,29.96875,23.195742000000003,30.34375,2087000
2000-01-18,30.21875,31.25,30.0,23.816847,31.15625,1931000
2000-01-19,33.25,35.0,33.0,26.516246999999996,34.6875,4421200
2000-01-20,34.6875,36.4375,34.0,27.71068,36.25,2339600
2000-01-21,36.125,36.125,35.1875,27.280684,35.6875,2595000
2000-01-24,35.71875,36.03125,35.5625,27.280684,35.6875,1283200
2000-01-25,38.5,38.75,37.0,28.928988,37.84375,5017000
2000-01-26,37.875,38.25,37.0,28.618427,37.4375,3005400
2000-01-27,37.53125,37.75,37.21875,28.642329999999998,37.46875,3135000
2000-01-28,37.46875,37.59375,35.1875,27.137362,35.5,21130400
2000-01-31,35.125,35.78125,34.53125,26.826801,35.09375,3028000
2000-02-01,35.09375,35.96875,35.0,27.256791999999997,35.65625,1882000
2000-02-02,35.9375,35.9375,35.375,27.304581,35.71875,2016800
2000-02-03,35.59375,36.0,35.3125,27.519562,36.0,1431000
2000-02-04,35.875,35.90625,35.25,27.113471999999998,35.46875,753000
2000-02-07,35.0625,35.46875,34.96875,27.041805,35.375,1264400
2000-02-08,35.0,36.0,34.96875,27.280684,35.6875,1374000
2000-02-09,35.5,35.9375,35.125,26.850690999999998,35.125,1080000
2000-02-10,34.90625,35.3125,34.90625,26.802909999999997,35.0625,1158000
2000-02-11,35.03125,35.03125,34.75,26.755133,35.0,941000
2000-02-14,35.125,35.125,34.3125,26.492361,34.65625,1137400
2000-02-15,34.875,35.0625,34.03125,26.802909999999997,35.0625,865600
2000-02-16,34.84375,34.875,33.9375,25.990696,34.0,1008000
