Date,Open,High,Low,Close,Adj Close,Volume
2005-11-16,7.8,8.842,7.712,7.487934,7.85,97759000
2005-11-17,8.06,8.35,6.8,6.724832000000001,7.05,34308500
2005-11-18,7.24,7.39,6.912,6.677136999999999,7.0,12810000
2005-11-21,7.05,7.192,6.964,6.848835,7.18,6404000
2005-11-22,7.09,7.092,6.86,6.667599000000001,6.99,6533000
2005-11-23,6.94,6.99,6.31,6.476824,6.79,12421000
2005-11-25,6.75,6.89,6.73,6.514978,6.83,1316000
2005-11-28,6.78,6.78,6.51,6.352819,6.66,3155000
2005-11-29,6.66,6.698,6.254,6.099089,6.394,4477500
2005-11-30,6.42,6.482,6.32,6.162045,6.46,3894500
2005-12-01,6.46,7.04,6.43,6.677136999999999,7.0,5688500
2005-12-02,7.0,7.26,6.98,6.886991,7.22,5120000
2005-12-05,7.236,7.49,7.236,7.022441000000001,7.362,4592500
2005-12-06,7.362,7.522,7.29,6.978563,7.316,3202500
2005-12-07,7.33,7.33,6.9,6.762987,7.09,2473000
2005-12-08,7.14,7.256,7.11,6.867914,7.2,1823500
2005-12-09,7.2,7.292,7.156,6.906067999999999,7.24,808000
2005-12-12,7.29,7.3,7.21,6.953761999999999,7.29,953500
2005-12-13,7.288,7.288,7.102,6.789696000000001,7.118,1843000
2005-12-14,7.1,7.14,6.96,6.677136999999999,7.0,1422000
2005-12-15,6.99,6.99,6.73,6.486362000000001,6.8,3273000
2005-12-16,6.77,6.898,6.7,6.522608999999999,6.838,8170500
2005-12-19,6.8,6.88,6.772,6.556949,6.874,2242000
2005-12-20,6.924,7.082,6.88,6.665691000000001,6.988,2423500
2005-12-21,6.98,7.0,6.91,6.637075,6.958,916500
2005-12-22,6.958,6.958,6.86,6.619905,6.94,1171000
2005-12-23,6.89,6.938,6.812,6.534056,6.85,985000
2005-12-27,6.9,7.09,6.9,6.724832000000001,7.05,1214000
2005-12-28,7.05,7.09,7.006,6.6924,7.016,581000
2005-12-29,6.98,7.244,6.98,6.894622,7.228,1076500
2005-12-30,7.25,7.27,7.09,6.934684,7.27,923500
2006-01-03,7.3,7.65,7.2,7.222755,7.572,2993000
2006-01-04,7.58,7.58,7.272,7.039611999999999,7.38,1196500
2006-01-05,7.64,7.948,7.64,7.499381,7.862,3478500
2006-01-06,7.85,8.08,7.82,7.692063,8.064,2306500
2006-01-09,8.2,8.858,8.18,8.319714999999999,8.722,8702000
2006-01-10,8.672,9.36,8.672,8.777574000000001,9.202,8667500
2006-01-11,9.298,9.64,9.07,8.951179,9.384,7560000
2006-01-12,9.468,9.57,8.652,8.386484,8.792,4841500
2006-01-13,8.742,8.922,8.6,8.499044,8.91,2010500
2006-01-17,9.1,9.4,9.0,8.848158999999999,9.276,2609500
2006-01-18,9.27,9.27,9.0,8.733697,9.156,1397500
2006-01-19,9.14,9.56,8.8,9.052291,9.49,3307000
2006-01-20,9.6,9.682,9.248,8.8329,9.26,2309500
2006-01-23,9.26,9.564,9.226,9.113339,9.554,1744500
2006-01-24,9.548,10.678,9.382,10.069122,10.556,5615000
2006-01-25,10.7,11.034,10.03,10.111094,10.6,7019000
2006-01-26,10.65,10.83,10.442,10.006166,10.49,2424000
2006-01-27,10.01,10.516,9.712,9.731451,10.202,6929000
2006-01-30,10.05,10.24,9.66,9.370886,9.824,2970000
2006-01-31,9.824,10.2,9.214,9.695205,10.164,6552500
2006-02-01,10.5,11.404,10.38,10.612833,11.126,7184500
2006-02-02,11.08,11.598,10.612,10.5308,11.04,10589500
2006-02-03,11.24,11.68,11.062,10.589939,11.102,5790500
2006-02-06,11.46,11.46,10.944,10.628096000000001,11.142,3958000
2006-02-07,11.11,11.23,10.282,10.196944,10.69,3575000
2006-02-08,10.9,10.96,10.52,10.202668,10.696,1954000
