Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,29.804648999999998,30.1875,27.0,28.185463000000002,30.125,5070600
2000-01-04,28.5625,31.0625,28.34375,28.477846000000003,30.4375,6766400
2000-01-05,30.96875,39.96875,30.75,36.693721999999994,39.21875,22553000
2000-01-06,36.71875,37.96875,35.0,32.746586,35.0,8734000
2000-01-07,34.8125,37.375,31.84375,34.413162,36.78125,8537800
2000-01-10,37.5,45.0,36.625,39.822196999999996,42.5625,8397400
2000-01-11,41.46875,42.1875,39.625,38.535736,41.1875,5694200
2000-01-12,40.875,40.90625,33.1875,33.272881,35.5625,8344000
2000-01-13,36.8125,40.875,36.65625,37.424679,40.0,7782200
2000-01-14,41.40625,42.9375,38.8125,38.067921000000005,40.6875,5880800
2000-01-18,40.65625,40.65625,37.75,35.904305,38.375,3520400
2000-01-19,38.5,39.0625,36.96875,34.851734,37.25,3553600
2000-01-20,37.75,39.15625,37.0,35.728874,38.1875,4420800
2000-01-21,39.5,39.625,37.0625,35.378017,37.8125,6374400
2000-01-24,37.78125,37.8125,33.6875,31.606309999999997,33.78125,4457400
2000-01-25,35.0,36.125,34.0625,32.892788,35.15625,5063400
2000-01-26,35.625,36.5,32.78125,30.758408000000003,32.875,2935600
2000-01-27,33.53125,35.46875,30.21875,29.939739000000003,32.0,6132200
2000-01-28,31.53125,32.6875,28.3125,27.015945000000002,28.875,7144600
2000-01-31,28.4375,30.53125,27.75,28.214701,30.15625,6092400
2000-02-01,31.09375,32.4375,29.625,30.319845,32.40625,4481400
2000-02-02,32.84375,35.5,32.75,31.752508000000002,33.9375,6300200
2000-02-03,34.59375,35.15625,32.75,32.571163,34.8125,5153000
2000-02-04,35.492149,36.125,34.125,32.395740999999994,34.625,3843000
2000-02-07,34.6875,34.6875,33.40625,31.606309999999997,33.78125,2878800
2000-02-08,34.96875,36.0,34.3125,32.278793,34.5,4420200
2000-02-09,34.65625,35.148399,32.46875,30.524508,32.625,5163000
2000-02-10,32.1875,32.34375,30.5,29.822796000000004,31.875,6262200
2000-02-11,31.53125,31.9375,29.9375,28.536315999999996,30.5,5457800
2000-02-14,30.6875,30.6875,29.5,27.951559000000003,29.875,3166200
2000-02-15,29.6875,30.5,27.5,26.869749,28.71875,8945000
2000-02-16,29.5,31.5,29.125,28.565557000000002,30.53125,7932800
2000-02-17,31.59375,32.3125,31.0,30.085936,32.15625,4530400
2000-02-18,32.875,32.875,29.9375,28.624035,30.59375,4089000
2000-02-22,30.3125,31.3125,29.875,29.062601,31.0625,4723600
2000-02-23,30.84375,34.03125,30.8125,31.606309999999997,33.78125,7542400
2000-02-24,34.3125,36.375,34.0,33.828396000000005,36.15625,10621000
2000-02-25,31.5,31.75,28.5,27.396036,29.28125,42818200
2000-02-28,29.28125,29.75,26.34375,25.115469,26.84375,11239600
2000-02-29,27.375,27.4375,25.625,24.55995,26.25,10886000
2000-03-01,26.3125,26.9375,23.875,22.57176,24.125,15564800
2000-03-02,24.34375,24.8125,22.75,21.782335,23.28125,10233800
2000-03-03,25.625,27.5,24.7656,24.735378,26.4375,11739400
2000-03-06,27.75,28.625,26.90625,25.758701000000002,27.53125,9520600
2000-03-07,28.1875,28.375,25.25,24.179848,25.84375,6480400
2000-03-08,26.75,26.9375,25.375,24.033663,25.6875,5495400
2000-03-09,25.25,28.1875,25.0,26.31423,28.125,10622800
2000-03-10,27.625,29.8125,27.46875,27.337557,29.21875,9411800
2000-03-13,28.65625,28.71875,26.71875,25.027758,26.75,6526800
2000-03-14,27.625,28.0,25.5,23.887476,25.53125,4877600
2000-03-15,26.5,26.5,24.40625,23.419662,25.03125,6086000
2000-03-16,25.875,26.507799,23.125,24.296804,25.96875,10410800
2000-03-17,26.875,27.5,26.25,25.495562,27.25,10756200
2000-03-20,27.1875,27.4375,25.0,23.858231,25.5,4196800
2000-03-21,25.5,26.53125,24.125,24.764612,26.46875,4976000
2000-03-22,26.1875,26.4375,25.5,24.530707999999997,26.21875,5362800
2000-03-23,25.5,28.375,25.3125,26.168041,27.96875,10817600
2000-03-24,28.4375,30.5625,28.375,27.951559000000003,29.875,18189600
2000-03-27,30.0,30.6875,29.21875,27.571461,29.46875,6544400
2000-03-28,29.3125,29.3125,27.96875,26.226515000000003,28.03125,3646000
2000-03-29,28.25,28.25,25.75,24.296804,25.96875,7193400
2000-03-30,25.5625,26.84375,25.25,23.828995000000003,25.46875,5657800
2000-03-31,26.0,27.5,25.4375,25.437092,27.1875,6323800
2000-04-03,26.5,26.875,24.5,23.068807999999997,24.65625,4641800
2000-04-04,25.46875,26.3125,22.8125,24.179848,25.84375,6051000
2000-04-05,25.0,26.125,23.5,23.215004,24.8125,4831800
2000-04-06,25.34375,25.5,23.9375,22.805668,24.375,4567800
2000-04-07,24.59375,25.46875,24.4375,23.536613,25.15625,5081200
2000-04-10,23.65625,23.65625,20.0,19.180147,20.5,18780400
2000-04-11,20.59375,20.59375,18.75,18.478436,19.75,15840800
2000-04-12,20.25,20.5,18.0625,17.513578,18.71875,9848800
2000-04-13,18.78125,20.0625,17.625,16.665676,17.8125,8707000
2000-04-14,17.3125,20.0625,15.9375,14.969870000000002,16.0,8450800
2000-04-17,15.875,17.5,15.25,15.847013,16.9375,9897600
2000-04-18,17.5,18.5625,16.5,17.191965,18.375,8987800
2000-04-19,18.75,18.75,17.21875,16.344061,17.46875,6167000
2000-04-20,17.53125,17.6875,16.9375,16.373293,17.5,5299600
2000-04-24,17.21875,17.25,15.0,14.852919,15.875,4764800
2000-04-25,16.6875,17.96875,16.28125,16.63644,17.78125,7320000
2000-04-26,17.875,20.125,17.75,17.367395000000002,18.5625,9067600
2000-04-27,18.3125,20.15625,17.03125,18.712339,20.0,5984800
2000-04-28,20.3125,20.375,17.75,16.811869,17.96875,7443600
2000-05-01,18.5625,19.0,18.0,16.899577999999998,18.0625,8182600
2000-05-02,18.25,18.5,17.0625,16.139397,17.25,3994800
2000-05-03,17.03125,17.03125,15.5625,14.999108999999999,16.03125,4286800
2000-05-04,16.5,17.1875,16.0625,15.671584,16.75,3901400
2000-05-05,16.28125,17.625,16.25,16.19787,17.3125,3266000
2000-05-08,17.34375,17.40625,15.96875,14.969870000000002,16.0,3335800
2000-05-09,16.1875,16.1875,14.71875,14.765207,15.78125,7109200
2000-05-10,15.6875,16.0625,14.75,14.121969,15.09375,3468600
2000-05-11,15.5,15.5,14.40625,14.063494,15.03125,9037200
2000-05-12,15.15625,15.1875,14.15625,13.361781,14.28125,9774400
2000-05-15,14.46875,14.5,13.625,13.215589999999999,14.125,7265200
2000-05-16,14.25,14.34375,13.78125,13.274066,14.1875,6191400
2000-05-17,14.09375,14.46875,13.8125,13.098638000000001,14.0,5553600
2000-05-18,14.125,14.15625,12.875,12.221498,13.0625,4422600
2000-05-19,13.09375,15.0,13.09375,13.624922,14.5625,12331600
2000-05-22,14.8125,14.875,13.25,13.244826999999999,14.15625,17671000
2000-05-23,14.1875,14.625,13.375,12.660069,13.53125,8298200
2000-05-24,14.80465,18.0,14.4375,16.402535999999998,17.53125,27602400
2000-05-25,17.625,19.1875,15.75,14.940632,15.96875,13247600
2000-05-26,16.25,16.75,15.9375,15.583874,16.65625,6455400
2000-05-30,17.21875,19.15625,17.1875,17.893673,19.125,5450600
2000-05-31,18.8125,19.0,18.0625,16.95805,18.125,3549800
2000-06-01,18.5,19.5,18.4375,17.952151999999998,19.1875,3669600
2000-06-02,20.25,20.75,19.6875,19.150913,20.46875,6545600
2000-06-05,20.46875,21.8125,20.3125,19.940336,21.3125,7367800
2000-06-06,20.84375,20.90625,19.3125,18.186056,19.4375,6086800
2000-06-07,19.75,20.0,18.0,17.630535000000002,18.84375,9257000
2000-06-08,19.21875,19.25,18.5625,17.425867,18.625,4219800
2000-06-09,19.0625,20.0625,18.8125,18.03986,19.28125,5625000
2000-06-12,19.4375,19.46875,18.1875,17.045778,18.21875,2816600
2000-06-13,18.25,18.84375,18.0625,17.075012,18.25,3736800
2000-06-14,18.3125,18.75,18.28125,17.279675,18.46875,4353400
2000-06-15,18.65625,19.25,17.59375,17.922915,19.15625,3689400
2000-06-16,18.875,19.375,18.6875,17.871737,19.101549,5040200
2000-06-19,19.1875,19.46875,18.3125,18.156822000000002,19.40625,3055400
2000-06-20,19.40625,19.4375,18.6875,17.689009,18.90625,3772200
2000-06-21,18.5625,19.1875,18.1875,17.747486,18.96875,3902000
2000-06-22,18.96875,20.03125,18.78125,17.659773,18.875,3792200
2000-06-23,19.0,19.3125,18.375,17.308916,18.5,2942800
2000-06-26,18.875,19.4375,18.1875,18.156822000000002,19.40625,4083600
2000-06-27,19.5625,19.625,18.875,17.952151999999998,19.1875,5149600
2000-06-28,19.375,19.75,18.75,18.156822000000002,19.40625,6340600
2000-06-29,19.28125,21.0,19.1875,19.472525,20.8125,11005400
2000-06-30,21.0,21.0,19.96875,19.355579000000002,20.6875,5701200
2000-07-03,20.53125,20.625,20.125,18.858532,20.15625,871000
2000-07-05,20.3125,22.46875,20.0,20.612814,22.03125,7936600
2000-07-06,22.0,22.4375,21.0625,20.934435,22.375,4842000
2000-07-07,22.4375,22.75,22.0625,20.788242,22.21875,3339600
2000-07-10,22.03125,23.09375,21.625,20.934435,22.375,3238200
2000-07-11,22.3281,23.0625,21.71875,20.466618,21.875,6255000
2000-07-12,22.125,22.5,20.5625,19.852627,21.21875,5036200
2000-07-13,21.195299,21.9375,20.625,19.969582,21.34375,4995400
2000-07-14,21.71875,21.96875,20.875,19.764904,21.125,3816200
2000-07-17,21.03125,21.0625,20.1875,19.209389,20.53125,3376600
2000-07-18,20.25,20.6875,19.75,18.507676999999997,19.78125,2966200
2000-07-19,20.25,20.8125,19.40625,18.273771,19.53125,5639800
2000-07-20,19.90625,20.25,19.4375,18.186056,19.4375,4331800
2000-07-21,19.48435,19.75,18.9375,17.718248000000003,18.9375,3253800
2000-07-24,19.09375,19.46875,18.3125,17.367395000000002,18.5625,3815200
2000-07-25,18.65625,19.09375,18.1875,17.455105,18.65625,2960600
2000-07-26,18.65625,18.6875,16.875,16.577963,17.71875,5715600
2000-07-27,17.4375,17.9375,17.03125,16.22711,17.34375,2117200
2000-07-28,17.375,18.09375,16.5,15.496156,16.5625,3430800
2000-07-31,16.90625,17.21875,16.125,15.905492,17.0,3781800
2000-08-01,18.3125,18.75,17.1875,16.373293,17.5,6654600
2000-08-02,18.15625,20.375,18.03125,18.332248999999997,19.59375,10611600
2000-08-03,19.1875,19.625,18.5,18.244533999999998,19.5,5499800
2000-08-04,20.0,20.25,19.09375,18.244533999999998,19.5,3444200
2000-08-07,19.96875,21.0625,19.75,19.414054999999998,20.75,3307000
2000-08-08,20.78125,21.5,20.75,19.735672,21.09375,2215800
2000-08-09,21.375,21.5,20.25,18.975482999999997,20.28125,1934800
2000-08-10,20.125,20.5,19.8125,18.59539,19.875,1682000
2000-08-11,19.875,20.5625,19.8125,19.121672,20.4375,4159800
2000-08-14,20.5625,21.375,19.96875,19.911098000000003,21.28125,4006800
2000-08-15,21.40625,21.75,21.03125,19.998816,21.375,2974200
2000-08-16,21.53125,23.84375,21.5,22.279375,23.8125,6523800
2000-08-17,23.40625,23.8125,22.5625,22.191666,23.71875,3619000
2000-08-18,23.8125,24.0,22.8125,21.957762,23.46875,2311400
2000-08-21,23.96875,24.25,22.75,21.636141000000002,23.125,3939000
2000-08-22,23.375,23.8125,22.8125,21.548435,23.03125,3450800
2000-08-23,24.6875,29.03125,24.40625,25.554041,27.3125,36057400
2000-08-24,27.09375,28.3125,26.75,25.934134,27.71875,12956400
2000-08-25,27.5,28.0,26.71875,25.700226,27.46875,7895800
2000-08-28,27.125,27.90625,26.75,25.203182,26.9375,6209000
2000-08-29,26.5625,27.875,26.3125,25.817183,27.59375,5565000
2000-08-30,27.5,29.25,27.3125,27.074415000000002,28.9375,7154800
2000-08-31,29.0,30.0,28.03125,28.010027,29.9375,7871400
2000-09-01,30.0,30.0,28.375,27.571461,29.46875,3105800
2000-09-05,29.4375,29.5625,28.4375,26.635842999999998,28.46875,3187800
2000-09-06,28.5,29.25,28.4375,26.898989,28.75,4134600
2000-09-07,29.0,29.875,28.5,27.776127000000002,29.6875,4376800
2000-09-08,29.625,30.3125,28.9375,27.951559000000003,29.875,4184600
2000-09-11,29.75,29.75,28.875,27.396036,29.28125,2853000
2000-09-12,29.28125,30.0,28.125,28.039274,29.96875,5392800
2000-09-13,29.71875,30.9375,29.25,27.483755,29.375,4380400
2000-09-14,29.40625,29.4375,27.625,26.548132,28.375,3231000
2000-09-15,27.6875,28.75,27.5,26.343456,28.15625,6180600
2000-09-18,27.71875,28.0,25.4375,24.238326999999998,25.90625,5142400
2000-09-19,26.21875,29.21875,25.75,27.162128000000003,29.03125,5340200
2000-09-20,28.90625,29.1875,27.75,26.957465999999997,28.8125,3333200
2000-09-21,28.53125,28.53125,27.21875,25.963375,27.75,2266200
2000-09-22,26.6875,27.8125,26.125,24.55995,26.25,7574000
2000-09-25,26.3125,27.25,25.125,24.150616,25.8125,4851200
2000-09-26,25.84375,29.0,25.3125,26.226515000000003,28.03125,5450600
2000-09-27,28.21875,28.96875,27.25,26.080323999999997,27.875,2858200
2000-09-28,27.9375,29.75,27.84375,27.337557,29.21875,3392400
2000-09-29,28.625,29.0,26.75,26.665087,28.5,3625600
2000-10-02,28.53125,28.96875,26.625,25.290899,27.03125,2690200
2000-10-03,27.5625,28.125,25.5625,24.238326999999998,25.90625,2946800
