Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,8.140625,8.140625,7.984375,7.940847,7.984375,422400
2000-01-04,7.984375,8.03125,7.90625,7.894228,7.9375,252000
2000-01-05,7.90625,8.0625,7.90625,7.940847,7.984375,409200
2000-01-06,7.96875,8.0625,7.9375,7.979684,8.023425,502800
2000-01-07,8.0625,8.21875,8.0625,8.158405,8.203125,257600
2000-01-10,8.25,8.28125,8.0625,8.205024,8.25,200000
2000-01-11,8.21875,8.21875,8.171875,8.173944,8.21875,114400
2000-01-12,8.234375,8.234375,8.0,8.003007,8.046875,63200
2000-01-13,8.046875,8.203125,8.015625,8.049626,8.09375,176400
2000-01-14,8.09375,8.140625,8.078125,8.065166,8.109375,172800
2000-01-18,8.15625,8.15625,7.859375,7.863148,7.90625,430800
2000-01-19,7.875,8.078125,7.875,7.894228,7.9375,231200
2000-01-20,7.9375,7.984375,7.75,7.73883,7.78125,434400
2000-01-21,7.71875,7.734375,7.453125,7.459113,7.5,450000
2000-01-24,7.5,7.640625,7.453125,7.428033,7.46875,344800
2000-01-25,7.34375,7.40625,7.296875,7.319253999999999,7.359375,349600
2000-01-26,7.359375,7.5,7.359375,7.365874000000001,7.40625,437200
2000-01-27,7.40625,7.515625,7.375,7.396953999999999,7.4375,490400
2000-01-28,7.46875,7.5,7.4375,7.396953999999999,7.4375,620400
2000-01-31,7.46875,7.5,7.375,7.334795,7.375,474800
2000-02-01,7.375,7.59375,7.265625,7.536811999999999,7.578125,686400
2000-02-02,7.578125,7.796875,7.578125,7.70775,7.75,586800
2000-02-03,7.734375,7.875,7.703125,7.69221,7.734375,473200
2000-02-04,7.71875,7.828125,7.65625,7.69221,7.734375,236000
2000-02-07,7.796875,7.796875,7.71875,7.69221,7.734375,336000
2000-02-08,7.71875,7.734375,7.515625,7.505733,7.546875,314800
2000-02-09,7.609375,7.609375,7.484375,7.443573,7.484375,512800
2000-02-10,7.421875,7.484375,7.265625,7.241555,7.28125,480800
2000-02-11,7.28125,7.421875,7.171875,7.132776,7.171875,447600
2000-02-14,7.1875,7.1875,7.0,7.039538,7.078125,390800
2000-02-15,7.109375,7.140625,6.96875,7.086157000000001,7.125,292800
2000-02-16,7.125,7.21875,7.0,7.101697,7.140625,326800
2000-02-17,7.125,7.25,7.09375,7.101697,7.140625,395200
2000-02-18,7.078125,7.078125,6.9375,6.961839,7.0,168400
2000-02-22,7.0625,7.21875,6.984375,7.163856,7.203125,386000
2000-02-23,7.203125,7.203125,6.875,6.8841399999999995,6.921875,260800
2000-02-24,6.984375,7.046875,6.875,6.8841399999999995,6.921875,152000
2000-02-25,6.921875,6.9375,6.828125,6.82198,6.859375,94800
2000-02-28,6.828125,6.84375,6.75,6.806439999999999,6.84375,169600
2000-02-29,6.96875,7.0625,6.890625,6.977378,7.015625,452000
2000-03-01,7.015625,7.15625,7.0,7.0706169999999995,7.109375,236800
2000-03-02,7.140625,7.140625,7.0625,7.086157000000001,7.125,248400
2000-03-03,7.140625,7.140625,6.875,6.946299000000001,6.984375,326000
2000-03-06,6.953125,7.015625,6.921875,6.961839,7.0,688800
2000-03-07,7.015625,7.046875,6.78125,6.744281,6.78125,130400
2000-03-08,6.8125,6.859375,6.796875,6.806439999999999,6.84375,318000
2000-03-09,6.90625,7.046875,6.90625,6.961839,7.0,329600
2000-03-10,6.96875,7.0,6.9375,6.9152190000000004,6.953125,378400
2000-03-13,6.90625,6.953125,6.8125,6.775361,6.8125,238800
2000-03-14,6.8125,6.8125,6.6875,6.697661,6.734375,375600
2000-03-15,6.671875,6.9375,6.546875,6.8686,6.90625,426000
2000-03-16,6.9375,7.625,6.9375,7.474653,7.515625,706400
2000-03-17,7.515625,7.65625,7.4375,7.443573,7.484375,361200
2000-03-20,7.546875,7.921875,7.53125,7.4901919999999995,7.53125,765600
2000-03-21,7.484375,7.484375,7.203125,7.288175,7.328125,323200
2000-03-22,7.34375,7.34375,7.1875,7.272635,7.3125,502800
2000-03-23,7.28125,7.671875,7.265625,7.598971000000001,7.640625,409600
2000-03-24,7.578125,7.6875,7.484375,7.614511,7.65625,346400
2000-03-27,7.625,7.71875,7.46875,7.583431,7.625,254000
2000-03-28,7.5625,7.609375,7.421875,7.474653,7.515625,161600
2000-03-29,7.5,7.59375,7.40625,7.474653,7.515625,256800
2000-03-30,7.546875,7.71875,7.546875,7.583431,7.625,285600
2000-03-31,7.640625,8.0625,7.53125,7.925307000000001,7.96875,725200
2000-04-03,8.0,8.078125,7.875,7.925307000000001,7.96875,226000
2000-04-04,7.90625,7.90625,7.4375,7.552351,7.59375,305200
2000-04-05,7.59375,7.640625,7.5,7.567892,7.609375,342000
2000-04-06,7.609375,7.65625,7.492175,7.583431,7.625,487200
2000-04-07,7.65625,7.65625,7.53125,7.567892,7.609375,166800
2000-04-10,7.609375,7.84375,7.578125,7.7232899999999995,7.765625,627600
2000-04-11,7.734375,7.765625,7.71875,7.69221,7.734375,254000
2000-04-12,7.734375,7.796875,7.71875,7.69221,7.734375,186800
2000-04-13,7.734375,7.765625,7.703125,7.69221,7.734375,192400
2000-04-14,7.671875,7.671875,7.453125,7.505733,7.546875,252800
2000-04-17,7.546875,7.609375,7.421875,7.428033,7.46875,282800
2000-04-18,7.4375,7.53125,7.390625,7.459113,7.5,100000
2000-04-19,7.53125,7.703125,7.515625,7.66113,7.703125,165200
2000-04-20,7.703125,7.703125,7.515625,7.6455910000000005,7.6875,118000
2000-04-24,7.65625,7.671875,7.453125,7.4124929999999996,7.453125,84000
2000-04-25,7.40625,7.453125,7.34375,7.365874000000001,7.40625,354800
2000-04-26,7.4375,7.796875,7.4375,7.70775,7.75,380400
2000-04-27,7.6875,7.71875,7.625,7.6455910000000005,7.6875,144400
2000-04-28,7.6875,7.84375,7.578125,7.785449000000001,7.828125,348400
2000-05-01,7.8125,7.953125,7.796875,7.785449000000001,7.828125,261200
2000-05-02,7.734375,7.921875,7.71875,7.70775,7.75,229200
2000-05-03,7.75,7.796875,7.625,7.7543690000000005,7.796875,477600
2000-05-04,7.828125,8.0,7.765625,7.894228,7.9375,894400
2000-05-05,7.953125,8.4375,7.953125,8.391502000000001,8.4375,725600
2000-05-08,8.375,8.46875,8.375,8.375962,8.421875,566000
2000-05-09,8.390625,8.390625,7.75,7.878688,7.921875,1351200
2000-05-10,7.75,7.796875,7.671875,7.73883,7.78125,994000
2000-05-11,7.84375,7.90625,7.84375,7.816528999999999,7.859375,349200
2000-05-12,7.859375,8.359375,7.859375,8.298263,8.34375,945200
2000-05-15,8.3125,8.375,8.203125,8.298263,8.34375,1074000
2000-05-16,8.40625,8.421875,8.28125,8.282722999999999,8.328125,526000
2000-05-17,8.375,8.40625,8.3125,8.329343,8.375,623600
2000-05-18,8.375,8.40625,8.34375,8.298263,8.34375,232000
2000-05-19,8.28125,8.328125,8.21875,8.282722999999999,8.328125,178000
2000-05-22,8.328125,8.328125,8.140625,8.096246,8.140625,301200
2000-05-23,8.171875,8.296875,8.109375,8.065166,8.109375,352400
2000-05-24,8.125,8.34375,8.078125,8.298263,8.34375,693600
2000-05-25,8.34375,8.40625,8.34375,8.313803,8.359375,246400
2000-05-26,8.375,8.40625,8.3125,8.344882,8.390625,212000
2000-05-30,8.4375,8.53125,8.4375,8.453661,8.5,311600
2000-05-31,8.5,8.5,8.3125,8.267183000000001,8.3125,247200
2000-06-01,8.375,8.4375,8.359375,8.329343,8.375,398800
2000-06-02,8.4375,8.703125,8.4375,8.655679,8.703125,257600
2000-06-05,8.703125,8.84375,8.65625,8.795537,8.84375,258000
2000-06-06,8.96875,8.96875,8.828125,8.826617,8.875,419200
2000-06-07,8.84375,8.859375,8.703125,8.702299,8.75,245600
2000-06-08,8.734375,8.875,8.71875,8.748918,8.796875,128800
2000-06-09,8.796875,8.96875,8.796875,8.904316,8.953125,147600
2000-06-12,8.9375,8.9375,8.75,8.702299,8.75,170000
2000-06-13,8.75,8.78125,8.65625,8.733377,8.78125,151200
2000-06-14,8.703125,8.8125,8.671875,8.733377,8.78125,142800
2000-06-15,8.71875,9.0625,8.71875,9.013095,9.0625,246400
2000-06-16,9.125,9.203125,8.921875,8.997555,9.046875,325600
2000-06-19,9.03125,9.03125,8.828125,8.888776,8.9375,162000
2000-06-20,8.9375,8.9375,8.671875,8.748918,8.796875,318400
2000-06-21,8.765625,8.78125,8.5,8.531360000000001,8.578125,315600
2000-06-22,8.578125,8.734375,8.5,8.515821,8.5625,310800
2000-06-23,8.53125,8.546875,8.421875,8.391502000000001,8.4375,151600
2000-06-26,8.25,8.28125,8.1875,8.220564,8.265625,368400
2000-06-27,8.28125,8.359375,8.1875,8.173944,8.21875,417600
2000-06-28,8.234375,8.375,8.1953,8.282722999999999,8.328125,456000
2000-06-29,8.265625,8.421875,8.21875,8.189484,8.234375,395200
2000-06-30,8.234375,8.234375,8.15625,8.123421,8.16795,362800
2000-07-03,8.234375,8.359375,8.234375,8.313803,8.359375,112800
2000-07-05,8.390625,8.390625,8.25,8.205024,8.25,472400
2000-07-06,8.25,8.265625,8.21875,8.205024,8.25,690800
2000-07-07,8.3125,8.546875,8.3125,8.407042,8.453125,990400
2000-07-10,8.5625,8.6875,8.5625,8.640139,8.6875,587200
2000-07-11,8.84375,8.875,8.734375,8.717838,8.765625,419200
2000-07-12,8.75,8.8125,8.75,8.748918,8.796875,122800
2000-07-13,8.78125,8.78125,8.75,8.717838,8.765625,304800
2000-07-14,8.75,8.765625,8.71875,8.671219,8.71875,190800
2000-07-17,8.703125,8.78125,8.65625,8.655679,8.703125,318800
2000-07-18,8.71875,8.796875,8.6875,8.686758,8.734375,905200
2000-07-19,8.703125,8.734375,8.640625,8.640139,8.6875,720000
2000-07-20,8.6875,9.0625,8.6875,8.982016,9.03125,520400
2000-07-21,9.0,9.15625,8.96875,8.966475,9.015625,210400
2000-07-24,8.953125,9.171875,8.953125,8.966475,9.015625,400800
2000-07-25,9.046875,9.109375,8.875,8.857697,8.90625,842000
2000-07-26,8.90625,8.96875,8.875,8.826617,8.875,222400
2000-07-27,8.9375,8.953125,8.8125,8.795537,8.84375,538400
2000-07-28,8.8125,8.859375,8.609375,8.59352,8.640625,451600
2000-07-31,8.6875,9.09375,8.6875,8.873237,8.921875,251200
2000-08-01,8.84375,8.96875,8.84375,8.888776,8.9375,155600
2000-08-02,8.875,9.03125,8.875,8.950935000000001,9.0,211600
2000-08-03,9.046875,9.078125,8.875,8.935396,8.984375,481600
2000-08-04,9.046875,9.22655,8.96875,9.121872999999999,9.171875,479600
2000-08-07,9.15625,9.265625,9.125,9.215113,9.265625,442800
2000-08-08,9.265625,9.328125,9.25,9.277271,9.328125,193600
2000-08-09,9.328125,9.359375,9.203125,9.184032,9.234375,394000
2000-08-10,9.21875,9.28125,9.15625,9.121872999999999,9.171875,173200
2000-08-11,9.171875,9.53125,9.171875,9.479289,9.53125,194400
2000-08-14,9.59375,9.640625,9.421875,9.38605,9.4375,245200
2000-08-15,9.4375,9.4375,9.1875,9.152953,9.203125,163600
2000-08-16,9.109375,9.53125,9.109375,9.38605,9.4375,246400
2000-08-17,9.453125,9.453125,9.28125,9.35497,9.40625,147200
2000-08-18,9.390625,9.4375,9.296875,9.339431,9.390625,100800
2000-08-21,9.375,9.53125,9.375,9.35497,9.40625,124800
2000-08-22,9.453125,9.453125,9.28125,9.261732,9.3125,92000
2000-08-23,9.25,9.515625,9.15625,9.168493,9.21875,227600
2000-08-24,9.21875,9.21875,9.109375,9.059714,9.109375,59600
2000-08-25,9.140625,9.28125,9.078125,9.059714,9.109375,236000
2000-08-28,9.09375,9.34375,9.09375,9.059714,9.109375,130800
2000-08-29,9.125,9.453125,9.125,9.230652000000001,9.28125,208000
2000-08-30,9.28125,9.34375,9.1875,9.152953,9.203125,249200
2000-08-31,9.328125,9.59375,9.328125,9.448210000000001,9.5,247600
2000-09-01,9.5625,9.640625,9.46875,9.448210000000001,9.5,218000
2000-09-05,9.5,9.5,9.3125,9.38605,9.4375,215200
2000-09-06,9.421875,9.453125,9.34375,9.35497,9.40625,185600
2000-09-07,9.40625,9.40625,9.25,9.308351,9.359375,417200
2000-09-08,9.375,9.75,9.328125,9.603608,9.65625,259600
2000-09-11,9.640625,9.90625,9.625,9.727926,9.78125,166400
2000-09-12,9.765625,9.78125,9.65625,9.727926,9.78125,310400
2000-09-13,9.765625,9.875,9.703125,9.696847,9.75,188000
2000-09-14,9.75,9.859375,9.75,9.727926,9.78125,164000
2000-09-15,9.765625,9.890625,9.75,9.743464999999999,9.796875,362400
2000-09-18,9.734375,9.75,9.484375,9.448210000000001,9.5,315200
2000-09-19,9.453125,9.5625,9.40625,9.494829,9.546875,304800
2000-09-20,9.546875,9.75,9.546875,9.634686,9.6875,198800
2000-09-21,9.5625,9.578125,9.40625,9.370511,9.421875,284400
2000-09-22,9.375,9.390625,9.328125,9.323891,9.375,234400
2000-09-25,9.40625,9.5625,9.40625,9.510368,9.5625,305200
2000-09-26,9.515625,9.59375,9.5,9.479289,9.53125,307600
2000-09-27,9.53125,9.6875,9.53125,9.541449,9.59375,257600
2000-09-28,9.625,9.859375,9.625,9.774546,9.828125,196800
2000-09-29,9.765625,10.09375,9.765625,10.023182,10.078125,381200
2000-10-02,10.078125,10.15625,9.859375,9.883325,9.9375,434800
2000-10-03,9.875,10.140625,9.875,10.023182,10.078125,270000
2000-10-04,10.109375,10.21875,9.921875,9.976563,10.03125,237600
2000-10-05,10.03125,10.03125,9.6875,9.681307,9.734375,188400
2000-10-06,9.734375,9.75,9.671875,9.634686,9.6875,185600
2000-10-09,9.6875,9.75,9.640625,9.619147,9.671875,236000
2000-10-10,9.671875,9.671875,9.5703,9.525908,9.578125,387600
2000-10-11,9.53125,9.640625,9.53125,9.510368,9.5625,256400
2000-10-12,9.53125,9.59375,9.5,9.479289,9.53125,590800
2000-10-13,9.546875,9.890625,9.492175,9.836705,9.890625,246400
2000-10-16,9.828125,9.984375,9.765625,9.883325,9.9375,149200
2000-10-17,9.90625,9.953125,9.875,9.836705,9.890625,228800
2000-10-18,9.875,9.96875,9.765625,9.852244,9.90625,218000
2000-10-19,9.921875,10.046875,9.890625,9.852244,9.90625,383200
2000-10-20,9.9375,10.21875,9.921875,10.163041,10.21875,202800
2000-10-23,10.15625,10.234375,10.0,10.085342,10.140625,201600
2000-10-24,10.125,10.421875,10.125,10.287359,10.34375,224400
2000-10-25,10.28125,10.40625,10.03125,9.976563,10.03125,443600
2000-10-26,10.046875,10.109375,9.921875,9.976563,10.03125,258400
2000-10-27,10.09375,10.09375,9.96875,9.945483,10.0,304400
2000-10-30,10.0,10.40625,9.97655,10.209661,10.265625,406800
2000-10-31,10.265625,10.40625,10.140625,10.287359,10.34375,479600
2000-11-01,10.34375,10.421875,10.171875,10.349519,10.40625,360400
2000-11-02,10.40625,10.484375,10.25,10.380599,10.4375,488000
2000-11-03,10.375,10.40625,10.265625,10.27182,10.328125,636400
2000-11-06,10.359375,11.0625,10.3125,10.986651,11.046875,753600
2000-11-07,11.0,11.0625,10.796875,10.738014,10.796875,339600
2000-11-08,10.828125,11.21875,10.828125,10.877872,10.9375,483600
2000-11-09,10.953125,10.953125,10.5625,10.691396000000001,10.75,498000
2000-11-10,10.71875,10.71875,10.234375,10.302899,10.359375,419600
2000-11-13,10.34375,10.359375,10.125,10.27182,10.328125,408800
2000-11-14,10.375,10.578125,10.3125,10.380599,10.4375,380800
2000-11-15,10.4375,10.4375,10.375,10.318439,10.375,72000
2000-11-16,10.3125,10.34375,10.15625,10.100882,10.15625,166400
2000-11-17,10.21875,10.453125,10.21875,10.19412,10.25,230000
2000-11-20,10.25,10.3125,10.125,10.085342,10.140625,360000
2000-11-21,10.15625,10.421875,10.15625,10.349519,10.40625,206000
2000-11-22,10.375,10.75,10.3125,10.629235000000001,10.6875,432400
2000-11-24,10.65625,10.78125,10.648425,10.722474,10.78125,222400
2000-11-27,10.8125,11.179675,10.8125,10.955571,11.015625,269600
2000-11-28,11.015625,11.09375,10.796875,10.738014,10.796875,350000
2000-11-29,10.828125,10.96875,10.65625,10.691396000000001,10.75,277600
2000-11-30,10.6875,10.859375,10.640625,10.769094,10.828125,173200
2000-12-01,10.859375,11.03125,10.75,10.738014,10.796875,274000
2000-12-04,10.859375,10.875,10.671875,10.753554,10.8125,383200
2000-12-05,10.8125,11.0625,10.8125,10.769094,10.828125,589600
2000-12-06,10.890625,10.9375,10.640625,10.753554,10.8125,228800
2000-12-07,10.84375,11.109375,10.84375,10.877872,10.9375,466400
2000-12-08,10.875,10.984375,10.875,10.924493,10.984375,360800
2000-12-11,11.0,11.1875,10.90625,10.940032,11.0,526000
2000-12-12,11.0,11.125,10.828125,10.769094,10.828125,320800
2000-12-13,10.828125,10.953125,10.5625,10.535997,10.59375,262400
2000-12-14,10.625,10.671875,10.375,10.442758,10.5,276000
2000-12-15,10.25,10.46875,10.21875,10.19412,10.25,470800
2000-12-18,10.296875,10.65625,10.296875,10.598156,10.65625,204000
2000-12-19,10.625,11.0,10.578125,10.738014,10.796875,260800
2000-12-20,10.765625,10.78125,10.53125,10.489377000000001,10.546875,285600
2000-12-21,10.546875,10.867175,10.546875,10.691396000000001,10.75,390000
2000-12-22,10.8125,11.109375,10.8125,10.924493,10.984375,358800
2000-12-26,11.046875,11.234375,11.046875,11.126510000000001,11.1875,531600
2000-12-27,11.25,11.5,11.25,11.406226,11.46875,996400
2000-12-28,11.5625,12.1875,11.53125,11.919041,11.984375,614400
2000-12-29,11.984375,12.296875,11.5,11.483926,11.546875,549600
2001-01-02,11.5625,11.671875,11.203125,11.421766,11.484375,678800
2001-01-03,11.546875,11.75,11.53125,11.670403,11.734375,320000
