Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.5625,9.625,9.375,7.986867999999999,9.46875,11339200
2000-01-04,9.40625,9.84375,9.375,8.250461,9.78125,17990600
2000-01-05,9.71875,10.09375,9.6875,8.382259,9.9375,15291000
2000-01-06,9.9375,9.9375,9.28125,8.065946,9.5625,17686400
2000-01-07,9.5,9.625,9.34375,7.986867999999999,9.46875,13358200
2000-01-10,9.46875,9.46875,9.21875,7.775989999999999,9.21875,8824000
2000-01-11,8.96875,9.25,8.90625,7.723275,9.15625,9792600
2000-01-12,9.125,9.53125,9.125,7.8287119999999994,9.28125,6635800
2000-01-13,9.3125,9.59375,9.15625,8.013227,9.5,11179800
2000-01-14,9.53125,9.5625,9.125,7.775989999999999,9.21875,6856800
2000-01-18,9.3125,9.3125,8.8125,7.591477,9.0,9452200
2000-01-19,9.0,9.09375,8.875,7.591477,9.0,5676200
2000-01-20,9.03125,9.03125,8.59375,7.327885,8.6875,7137800
2000-01-21,8.71875,8.71875,8.34375,7.090650999999999,8.40625,8151000
2000-01-24,8.5,8.5625,8.03125,6.879777000000001,8.15625,11600200
2000-01-25,8.09375,8.125,7.90625,6.8007,8.0625,7716600
2000-01-26,8.03125,8.40625,8.03125,6.958854,8.25,13237000
2000-01-27,8.4375,8.84375,8.40625,7.1433729999999995,8.46875,14937000
2000-01-28,8.40625,8.5625,8.28125,6.985216,8.28125,8821200
2000-01-31,8.46875,8.8125,8.40625,7.327885,8.6875,8737600
2000-02-01,8.71875,8.875,8.59375,7.486041999999999,8.875,6502000
2000-02-02,8.84375,9.125,8.65625,7.670558,9.09375,7734200
2000-02-03,9.125,9.25,8.8125,7.591477,9.0,11771600
2000-02-04,8.875,8.90625,8.46875,7.433323,8.8125,8523000
2000-02-07,8.46875,8.75,8.4375,7.1433729999999995,8.46875,5190200
2000-02-08,8.5625,8.90625,8.5,7.512402000000001,8.90625,6891400
2000-02-09,8.8125,8.8125,8.46875,7.169731,8.5,5223600
2000-02-10,8.5,8.6875,7.96875,6.827057000000001,8.09375,10187400
2000-02-11,8.21875,8.46875,8.125,7.064291000000001,8.375,8325200
2000-02-14,8.21875,8.25,7.9375,6.906136999999999,8.1875,7594200
2000-02-15,8.15625,8.625,8.0625,7.169731,8.5,7580000
2000-02-16,8.40625,8.5,8.09375,7.090650999999999,8.40625,5244400
2000-02-17,8.25,8.3125,7.90625,6.721622,7.96875,7695000
2000-02-18,7.9375,7.96875,7.5,6.326232,7.5,8752400
2000-02-22,7.53125,7.75,7.5,6.40531,7.59375,7441800
2000-02-23,7.53125,7.6875,7.4375,6.352592,7.53125,9155800
2000-02-24,7.59375,7.625,7.1875,6.220794000000001,7.375,8360400
2000-02-25,7.1875,7.3125,7.03125,5.983562,7.09375,13766200
2000-02-28,7.5,7.6875,7.28125,6.378951,7.5625,9052800
2000-02-29,7.5625,7.65625,7.375,6.299872,7.46875,9811600
2000-03-01,7.46875,7.53125,7.3125,6.247155,7.40625,6097000
2000-03-02,7.46875,7.46875,7.25,6.141716000000001,7.28125,6579800
2000-03-03,7.4375,7.53125,7.34375,6.220794000000001,7.375,9071400
2000-03-06,7.46875,7.625,7.3125,6.299872,7.46875,6285200
2000-03-07,7.4375,7.46875,7.25,6.220794000000001,7.375,7321200
2000-03-08,7.34375,7.75,7.125,6.484388,7.6875,11982000
2000-03-09,7.65625,7.65625,7.25,6.247155,7.40625,9740600
2000-03-10,7.40625,7.5625,7.28125,6.220794000000001,7.375,8901800
2000-03-13,7.34375,7.5,7.25,6.299872,7.46875,8371400
2000-03-14,7.4375,7.46875,7.1875,6.088997,7.21875,17360800
2000-03-15,7.21875,7.5,7.03125,6.273515,7.4375,16044000
2000-03-16,7.5,7.84375,7.4375,6.563466,7.78125,19580000
2000-03-17,7.90625,8.75,7.875,7.037934,8.34375,24912800
2000-03-20,8.34375,8.46875,7.96875,6.77434,8.03125,6327600
2000-03-21,8.0,8.5,7.90625,7.011576,8.3125,6636200
2000-03-22,8.40625,8.71875,8.375,7.248807000000001,8.59375,6431600
2000-03-23,8.625,8.78125,8.1875,7.011576,8.3125,6318600
2000-03-24,8.3125,9.125,8.3125,7.538760000000001,8.9375,10621400
2000-03-27,8.875,8.90625,8.65625,7.354245,8.71875,4420000
2000-03-28,8.5,9.09375,8.5,7.275167999999999,8.625,6712800
2000-03-29,8.65625,8.875,8.65625,7.459682000000001,8.84375,6470000
2000-03-30,8.84375,9.0625,8.625,7.354245,8.71875,7183800
2000-03-31,8.71875,9.03125,8.65625,7.406965,8.78125,6614000
2000-04-03,8.90625,9.625,8.875,7.96051,9.4375,11532600
2000-04-04,9.625,10.1875,9.53125,8.514054,10.09375,21197600
2000-04-05,9.9375,10.25,9.9375,8.540414,10.125,9248000
2000-04-06,10.375,10.4375,9.65625,8.250461,9.78125,6015400
2000-04-07,9.84375,9.875,9.53125,8.118666000000001,9.625,5046400
2000-04-10,9.65625,9.71875,9.25,8.118666000000001,9.625,4913600
2000-04-11,9.75,10.5625,9.6875,8.69857,10.3125,10696800
2000-04-12,10.1875,10.96875,10.15625,9.014883,10.6875,14437200
2000-04-13,10.75,10.78125,10.125,8.566772,10.15625,7705600
2000-04-14,10.0625,10.0625,9.34375,8.039588,9.53125,8515600
2000-04-17,9.40625,9.4375,8.90625,7.591477,9.0,9819400
2000-04-18,8.5625,8.96875,8.34375,7.565119,8.96875,12547000
2000-04-19,8.96875,9.09375,8.875,7.591477,9.0,9844600
2000-04-20,8.9375,9.0,8.8125,7.459682000000001,8.84375,5524800
2000-04-24,8.8125,9.59375,8.75,7.96051,9.4375,8915600
2000-04-25,9.5,9.78125,9.1875,8.197742,9.71875,6187000
2000-04-26,9.75,9.75,9.28125,8.092303,9.59375,6632800
2000-04-27,9.3125,9.6875,9.3125,8.039588,9.53125,6121400
2000-04-28,9.53125,9.59375,9.15625,7.8287119999999994,9.28125,5704400
2000-05-01,9.09375,9.4375,9.0,7.670558,9.09375,7155000
2000-05-02,9.0,9.78125,8.9375,7.96051,9.4375,7228800
2000-05-03,9.4375,9.8125,9.25,7.802355,9.25,4514600
2000-05-04,9.375,9.75,9.25,7.986867999999999,9.46875,5978400
2000-05-05,9.28125,9.8125,9.28125,8.250461,9.78125,4611400
2000-05-08,9.6875,9.71875,9.5,8.118666000000001,9.625,4036800
2000-05-09,9.6875,9.75,9.4375,8.145025,9.65625,4214800
2000-05-10,9.53125,10.0625,9.4375,8.487698,10.0625,5841800
2000-05-11,10.03125,10.375,9.8125,8.69857,10.3125,6617600
2000-05-12,10.09375,10.25,9.71875,8.461333,10.03125,5726000
2000-05-15,9.90625,10.40625,9.90625,8.777648,10.40625,4158200
2000-05-16,10.46875,10.65625,10.15625,8.856726,10.5,5324000
2000-05-17,10.25,10.5,10.1875,8.724928,10.34375,3527600
2000-05-18,10.375,10.46875,10.1875,8.645852,10.25,2769600
2000-05-19,9.875,10.3125,9.84375,8.461333,10.03125,4137200
2000-05-22,10.15625,10.1875,9.9375,8.434978,10.0,5892800
2000-05-23,10.0,10.125,9.78125,8.250461,9.78125,6735200
2000-05-24,9.78125,9.96875,9.34375,8.408616,9.96875,7022200
2000-05-25,9.875,9.90625,9.59375,8.171383,9.6875,5515400
2000-05-26,9.8125,10.5,9.78125,8.751287,10.375,8580800
2000-05-30,10.25,10.375,10.125,8.751287,10.375,4081600
2000-05-31,10.1875,10.3125,9.90625,8.382259,9.9375,4235200
2000-06-01,9.9375,10.21875,9.75,8.514054,10.09375,3784800
2000-06-02,10.03125,10.0625,9.28125,8.013227,9.5,6811000
2000-06-05,9.46875,9.5625,9.0625,7.802355,9.25,5216200
2000-06-06,9.125,9.25,8.96875,7.802355,9.25,5756800
2000-06-07,9.25,9.59375,9.21875,7.96051,9.4375,5864800
2000-06-08,9.40625,9.59375,8.96875,7.802355,9.25,4751400
2000-06-09,9.0625,9.28125,9.0625,7.7496339999999995,9.1875,2665400
2000-06-12,9.21875,9.53125,9.0625,7.907788,9.375,4603400
2000-06-13,9.25,9.53125,9.25,8.013227,9.5,4597400
2000-06-14,9.46875,9.53125,9.34375,7.96051,9.4375,5010400
2000-06-15,9.46875,9.5625,9.34375,7.907788,9.375,5504600
2000-06-16,9.3125,9.34375,9.125,7.723275,9.15625,5510000
2000-06-19,9.21875,9.4375,9.125,7.881432000000001,9.34375,5525000
2000-06-20,9.8125,10.09375,9.75,8.329539,9.875,13917800
2000-06-21,9.875,9.96875,9.53125,8.276819999999999,9.8125,7526200
2000-06-22,9.84375,10.46875,9.8125,8.724928,10.34375,12698200
2000-06-23,10.25,11.09375,10.25,9.278474000000001,11.0,20134000
2000-06-26,10.6875,10.84375,10.125,8.619488,10.21875,5882600
2000-06-27,10.21875,10.53125,10.21875,8.67221,10.28125,4864200
2000-06-28,10.40625,10.46875,10.125,8.546992,10.1328,3819400
2000-06-29,10.125,10.71875,10.125,8.751287,10.375,5049800
2000-06-30,10.3125,11.0859,10.3125,9.304834,11.03125,12051400
2000-07-03,10.9375,11.0,10.78125,9.252116000000001,10.96875,1960000
2000-07-05,11.09375,11.28125,10.90625,9.252116000000001,10.96875,5118200
2000-07-06,11.0,11.53125,11.0,9.568424,11.34375,7509000
2000-07-07,11.40625,11.59375,11.28125,9.621147,11.40625,5537400
2000-07-10,11.25,11.3125,11.03125,9.515704,11.28125,5865200
2000-07-11,11.09375,11.40625,11.0625,9.489346000000001,11.25,6613600
2000-07-12,11.3125,11.34375,10.9375,9.278474000000001,11.0,4740400
2000-07-13,11.0,11.03125,10.5,9.093962,10.78125,4775400
2000-07-14,10.65625,10.875,10.40625,9.12032,10.8125,4228000
