Date,Open,High,Low,Close,Adj Close,Volume
2003-12-02,9.5,9.625,9.5,8.726297,9.625,160000
2003-12-03,9.75,9.75,9.75,8.839625,9.75,300000
2003-12-04,10.125,10.125,10.125,9.179611,10.125,50000
2003-12-05,10.125,10.125,10.125,9.179611,10.125,0
2003-12-08,10.5,10.9,10.5,9.882247,10.9,954000
2003-12-09,10.9,11.375,10.9,10.031842999999999,11.065,3014200
2003-12-10,11.125,11.5,11.125,10.19957,11.25,2994600
2003-12-11,11.375,11.5,11.315,10.380892,11.45,2203200
2003-12-12,11.5,11.525,11.46,10.40356,11.475,709000
2003-12-15,11.45,11.45,11.2,10.154235,11.2,1287000
2003-12-16,11.175,11.175,10.9,9.950244999999999,10.975,885600
2003-12-17,10.95,10.95,10.7,9.723587,10.725,1150800
2003-12-18,10.725,10.775,10.725,9.768919,10.775,2425200
2003-12-19,10.775,10.9,10.775,9.882247,10.9,1421800
2003-12-22,10.825,10.9,10.825,9.81425,10.825,5200
2003-12-23,10.85,10.925,10.85,9.882247,10.9,133800
2003-12-24,10.9,10.925,10.9,9.904913,10.925,20200
2003-12-26,10.925,10.925,10.925,9.904913,10.925,1000
2003-12-29,10.9,10.9,10.9,9.882247,10.9,1200
2003-12-30,10.925,10.95,10.925,9.927582000000001,10.95,31600
2003-12-31,10.95,11.0,10.95,9.927582000000001,10.95,14200
2004-01-02,11.0,11.225,10.975,10.176902,11.225,557600
2004-01-05,11.225,11.25,11.15,10.154235,11.2,136000
2004-01-06,11.2,11.25,11.195,10.176902,11.225,160600
2004-01-07,11.2,11.2,11.0,10.086236999999999,11.125,283400
2004-01-08,11.175,11.175,11.1,10.090773,11.13,385200
2004-01-09,11.15,11.15,10.575,9.587593,10.575,3456200
2004-01-12,10.625,10.625,10.6,9.610261,10.6,17800
2004-01-13,10.625,10.675,10.48,9.519597000000001,10.5,1069600
2004-01-14,10.525,10.55,10.5,9.519597000000001,10.5,208600
2004-01-15,10.5,10.5,10.375,9.4516,10.425,54200
2004-01-16,10.375,10.45,10.375,9.428933,10.4,493800
2004-01-20,10.5,10.525,10.485,9.519597000000001,10.5,856600
2004-01-21,10.525,10.575,10.5,9.519597000000001,10.5,969600
2004-01-22,10.55,10.8,10.55,9.746253,10.75,863600
2004-01-23,10.75,10.75,10.55,9.610261,10.6,748400
2004-01-26,10.6,10.6,10.425,9.4516,10.425,291600
2004-01-27,10.425,10.425,10.35,9.3972,10.365,994600
2004-01-28,10.375,10.375,10.225,9.292939,10.25,100000
2004-01-29,10.25,10.25,9.875,9.066282000000001,10.0,1169000
2004-01-30,10.0,10.125,10.0,9.066282000000001,10.0,341200
2004-02-02,10.0,10.175,10.0,9.134281,10.075,80800
2004-02-03,10.0,10.155,10.0,9.202277,10.15,1379200
2004-02-04,10.125,10.15,10.125,9.179611,10.125,575200
2004-02-05,10.135,10.135,10.01,9.088947000000001,10.025,649000
2004-02-06,10.075,10.075,10.0,9.088947000000001,10.025,486600
2004-02-09,10.025,10.025,10.0,9.066282000000001,10.0,607400
2004-02-10,10.0,10.05,10.0,9.079880000000001,10.015,544600
2004-02-11,10.04,10.04,10.0,9.066282000000001,10.0,1015600
2004-02-12,10.01,10.025,10.0,9.066282000000001,10.0,188600
2004-02-13,10.01,10.02,10.0,9.084415,10.02,927400
2004-02-17,10.015,10.02,9.9,8.975619,9.9,276200
2004-02-18,9.875,9.925,9.75,8.844157000000001,9.755,442800
2004-02-19,9.765,9.775,9.75,8.857759,9.77,680800
2004-02-20,9.775,9.785,9.75,8.857759,9.77,210200
2004-02-23,9.75,9.76,9.5,8.726297,9.625,94800
2004-02-24,9.6,9.8,9.05,8.359113,9.22,2856800
2004-02-25,9.25,9.625,9.2,8.703631,9.6,2178200
2004-02-26,9.6,9.675,9.55,8.680966999999999,9.575,1029200
2004-02-27,9.55,9.65,9.55,8.748961999999999,9.65,1516600
2004-03-01,9.6,10.1,9.6,9.066282000000001,10.0,1330400
2004-03-02,10.0,10.025,9.875,9.020951,9.95,303800
2004-03-03,9.95,9.995,9.9,9.052685,9.985,465600
2004-03-04,9.975,9.975,9.425,8.975619,9.9,385200
2004-03-05,9.9,9.95,9.875,8.998286,9.925,160800
2004-03-08,9.95,9.95,9.535,8.839625,9.75,99000
2004-03-09,9.8,9.875,9.75,8.839625,9.75,94800
2004-03-10,9.85,9.85,9.7,8.794296000000001,9.7,129800
2004-03-11,9.825,10.05,9.825,8.952952999999999,9.875,2046200
2004-03-12,9.95,10.0,9.875,9.043616,9.975,764400
2004-03-15,9.99,9.99,9.875,8.998286,9.925,35800
2004-03-16,9.95,9.975,9.9,9.020951,9.95,1954800
2004-03-17,9.975,10.275,9.975,9.292939,10.25,1440400
2004-03-18,10.225,10.325,10.2,9.33827,10.3,821600
2004-03-19,10.325,10.35,10.3,9.360937,10.325,66600
2004-03-22,10.325,10.4,10.325,9.406267,10.375,825400
2004-03-23,10.375,10.55,10.375,9.505998,10.485,3840000
2004-03-24,10.485,10.65,10.45,9.655592,10.65,1556200
2004-03-25,11.0,11.075,10.5,9.660125,10.655,1995400
2004-03-26,10.685,10.72,10.65,9.664655999999999,10.66,902800
2004-03-29,10.675,11.1,10.675,9.904913,10.925,1548800
2004-03-30,10.95,11.0,10.835,9.968377,10.995,492800
2004-03-31,10.925,11.1,10.9,10.063573,11.1,1969800
2004-04-01,11.125,11.175,11.075,10.081706,11.12,852600
2004-04-02,11.18,11.25,11.175,10.19957,11.25,1118400
2004-04-05,11.28,11.33,11.15,10.272098,11.33,847600
2004-04-06,11.33,11.4,11.28,10.272098,11.33,683600
2004-04-07,11.33,11.33,11.175,10.154235,11.2,629200
2004-04-08,11.25,11.25,11.075,10.059039,11.095,387400
2004-04-12,11.13,11.16,10.99,10.036373,11.07,500000
2004-04-13,11.015,11.1,10.925,9.968377,10.995,921800
2004-04-14,11.0,11.0,10.75,9.836916,10.85,331000
2004-04-15,10.85,10.85,10.5,9.628392,10.62,383000
2004-04-16,10.67,10.7,10.625,9.678256,10.675,406400
2004-04-19,10.675,10.8,10.675,9.750786,10.755,225400
2004-04-20,10.775,10.775,10.51,9.632923,10.625,146200
2004-04-21,10.625,10.625,10.385,9.447067,10.42,521000
2004-04-22,10.42,10.45,10.345,9.474264,10.45,553600
2004-04-23,10.475,10.55,10.47,9.519597000000001,10.5,816200
2004-04-26,10.5,10.6,10.495,9.610261,10.6,468000
2004-04-27,10.625,10.625,10.585,9.623859,10.615,412800
2004-04-28,10.615,10.975,10.6,9.859582000000001,10.875,809600
2004-04-29,10.8,10.85,10.75,9.836916,10.85,187000
2004-04-30,10.82,10.92,10.8,9.836916,10.85,177600
2004-05-03,10.85,10.85,10.3,9.564927,10.55,1691000
2004-05-04,10.55,10.55,10.115,9.179611,10.125,891400
2004-05-05,10.15,10.15,9.95,9.061746000000001,9.995,697200
2004-05-06,10.015,10.015,9.85,8.975619,9.9,112000
2004-05-07,9.855,9.98,9.75,8.925756,9.845,937200
2004-05-10,9.775,9.825,9.585,8.894022,9.81,549600
2004-05-11,9.81,10.37,9.81,9.33827,10.3,1532800
2004-05-12,10.35,10.35,10.03,9.288405000000001,10.245,132200
2004-05-13,10.25,10.25,9.935,9.061746000000001,9.995,198400
2004-05-14,10.1,10.6,10.075,9.49693,10.475,794200
