Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,30.3125,30.3125,29.375,13.394917000000001,29.75,246300
2000-01-04,29.5625,30.125,29.5625,13.563760999999998,30.125,347800
2000-01-05,29.875,31.25,29.875,13.92959,30.9375,453000
2000-01-06,30.8125,31.1875,30.8125,14.014010999999998,31.125,139300
2000-01-07,31.125,32.0625,30.875,14.407981,32.0,303300
2000-01-10,31.75,31.875,31.375,14.210992999999998,31.5625,178800
2000-01-11,31.5625,31.6875,30.875,14.070295000000002,31.25,150800
2000-01-12,31.125,32.0,31.0625,14.295422,31.75,143500
2000-01-13,31.75,31.75,30.8125,13.985876000000001,31.0625,1107400
2000-01-14,31.0,31.0,30.625,13.901448,30.875,204300
2000-01-18,30.875,31.0,30.0,13.563760999999998,30.125,348600
2000-01-19,29.6875,31.0625,29.6875,13.985876000000001,31.0625,208500
2000-01-20,31.1875,31.5,30.3125,13.676323000000002,30.375,326300
2000-01-21,30.9375,31.125,30.5,13.901448,30.875,233400
2000-01-24,30.875,32.0625,30.6875,14.267278,31.6875,520000
2000-01-25,31.9375,32.3125,30.0625,13.648184,30.3125,519900
2000-01-26,30.5,31.25,30.25,13.901448,30.875,308700
2000-01-27,31.125,31.875,31.0,14.239135000000001,31.625,841900
2000-01-28,30.875,30.9375,29.8125,13.630188,29.9375,1628400
2000-01-31,30.3125,30.875,29.75,14.057025,30.875,585300
2000-02-01,30.75,31.0,30.5625,14.113934,31.0,170600
2000-02-02,30.9375,31.3125,30.875,14.113934,31.0,169100
2000-02-03,31.125,31.9375,31.125,14.426943,31.6875,460800
2000-02-04,31.6875,31.6875,30.625,14.028566,30.8125,202500
2000-02-07,30.8125,30.875,30.5625,13.943201,30.625,94800
2000-02-08,30.625,31.0,30.625,14.085478,30.9375,228700
2000-02-09,30.8125,31.625,30.125,14.028566,30.8125,382300
2000-02-10,30.9375,31.1875,30.0,13.857831,30.4375,802100
2000-02-11,30.4375,30.5625,30.0625,13.857831,30.4375,160800
2000-02-14,30.5,30.5,30.3125,13.829379999999999,30.375,342600
2000-02-15,30.375,30.5,30.0,13.800923000000001,30.3125,104900
2000-02-16,30.1875,30.25,29.4375,13.658641000000001,30.0,251100
2000-02-17,30.0,30.0625,29.375,13.487910000000001,29.625,236700
2000-02-18,29.5,29.5625,28.25,13.146447,28.875,284400
2000-02-22,29.125,29.375,28.8125,13.174899,28.9375,262700
2000-02-23,28.8125,28.8125,27.875,12.861885000000001,28.25,185800
2000-02-24,28.25,28.25,26.8125,12.463511,27.375,135700
2000-02-25,27.0,27.0625,26.25,11.951307,26.25,252100
2000-02-28,26.5,27.875,26.375,12.605792999999998,27.6875,243900
2000-02-29,27.5,27.875,27.3125,12.520424,27.5,224500
2000-03-01,27.625,27.9375,27.25,12.463511,27.375,679300
