Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,2.20833,2.25,1.83333,1.7986330000000001,1.875,162100
2000-01-04,1.83333,1.91667,1.75,1.758661,1.83333,110200
2000-01-05,1.79167,1.83333,1.75,1.718698,1.79167,74100
2000-01-06,1.79167,1.875,1.75,1.758661,1.83333,138000
2000-01-07,1.875,1.875,1.79167,1.758661,1.83333,111400
2000-01-10,1.83333,1.875,1.79167,1.718698,1.79167,67600
2000-01-11,1.79167,1.79167,1.75,1.678725,1.75,82600
2000-01-12,1.75,1.75,1.70833,1.638752,1.70833,179500
2000-01-13,1.70833,1.83333,1.70833,1.758661,1.83333,203700
2000-01-14,1.83333,1.95833,1.79167,1.87857,1.95833,199600
2000-01-18,2.0,2.20833,2.0,2.038452,2.125,288000
2000-01-19,2.08333,2.29167,2.08333,2.078425,2.16667,265000
2000-01-20,2.20833,2.20833,2.04167,1.9984790000000001,2.08333,189000
2000-01-21,2.04167,2.04167,1.875,1.87857,1.95833,244800
2000-01-24,1.95833,2.0,1.875,1.7986330000000001,1.875,175000
2000-01-25,1.875,2.0,1.875,1.87857,1.95833,105400
2000-01-26,1.95833,1.95833,1.83333,1.8386069999999999,1.91667,172900
2000-01-27,1.83333,1.875,1.79167,1.758661,1.83333,135900
2000-01-28,1.79167,1.83333,1.75,1.718698,1.79167,85900
2000-01-31,1.79167,1.83333,1.75,1.718698,1.79167,72400
2000-02-01,1.83333,1.91667,1.79167,1.7986330000000001,1.875,112200
2000-02-02,1.875,1.91667,1.83333,1.758661,1.83333,144900
2000-02-03,1.83333,1.875,1.79167,1.758661,1.83333,205000
2000-02-04,1.875,1.875,1.79167,1.758661,1.83333,177100
2000-02-07,1.83333,1.83333,1.79167,1.758661,1.83333,59700
2000-02-08,1.79167,1.79167,1.70833,1.718698,1.79167,149400
2000-02-09,1.75,1.75,1.70833,1.678725,1.75,105000
2000-02-10,1.75,1.75,1.66667,1.638752,1.70833,232800
2000-02-11,1.70833,1.79167,1.66667,1.638752,1.70833,380800
2000-02-14,1.70833,1.70833,1.5,1.47888,1.54167,540000
2000-02-15,1.54167,1.625,1.5,1.47888,1.54167,174600
2000-02-16,1.54167,1.625,1.5,1.558816,1.625,503200
2000-02-17,1.625,1.625,1.5,1.47888,1.54167,490300
2000-02-18,1.54167,1.58333,1.375,1.318998,1.375,734700
2000-02-22,1.41667,1.5,1.375,1.358971,1.41667,296100
2000-02-23,1.41667,1.41667,1.29167,1.279025,1.33333,412800
2000-02-24,1.33333,1.375,1.29167,1.279025,1.33333,329500
2000-02-25,1.33333,1.33333,1.29167,1.239062,1.29167,364000
2000-02-28,1.29167,1.33333,1.29167,1.239062,1.29167,336900
2000-02-29,1.33333,1.33333,1.29167,1.279025,1.33333,266200
2000-03-01,1.33333,1.5,1.29167,1.3989340000000001,1.45833,1135200
2000-03-02,1.45833,1.70833,1.45833,1.598789,1.66667,1399800
2000-03-03,1.66667,1.83333,1.58333,1.518843,1.58333,789000
2000-03-06,1.625,1.75,1.625,1.598789,1.66667,294700
2000-03-07,1.66667,1.95833,1.58333,1.758661,1.83333,450900
2000-03-08,1.83333,2.04167,1.75,1.718698,1.79167,578700
2000-03-09,1.83333,1.83333,1.5,1.438907,1.5,988300
2000-03-10,1.54167,1.54167,1.33333,1.358971,1.41667,907300
2000-03-13,1.375,1.41667,1.29167,1.279025,1.33333,568000
2000-03-14,1.33333,1.375,1.29167,1.279025,1.33333,365100
