Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.75,9.75,9.25,6.77212,9.41667,767100
2000-01-04,9.29167,9.29167,8.70833,6.352603,8.83333,673900
2000-01-05,8.91667,8.95833,8.58333,6.232749,8.66667,782700
2000-01-06,8.66667,8.70833,8.5,6.202782,8.625,1115500
2000-01-07,8.625,9.08333,8.625,6.532393,9.08333,892600
2000-01-10,9.0,9.16667,8.75,6.562363,9.125,401500
2000-01-11,9.125,9.33333,8.83333,6.412539,8.91667,783400
2000-01-12,8.91667,8.95833,8.83333,6.442501999999999,8.95833,461500
2000-01-13,8.91667,9.20833,8.83333,6.472469,9.0,919800
2000-01-14,8.91667,8.95833,8.83333,6.442501999999999,8.95833,1282300
2000-01-18,9.0,9.125,8.75,6.352603,8.83333,1297800
2000-01-19,8.75,8.83333,8.54167,6.232749,8.66667,790800
2000-01-20,8.66667,8.75,8.58333,6.232749,8.66667,1080300
2000-01-21,8.70833,8.75,8.5,6.232749,8.66667,616500
2000-01-24,8.66667,8.66667,8.375,6.082919,8.45833,526300
2000-01-25,8.5,8.5,8.16667,5.993024,8.33333,529000
2000-01-26,8.25,8.25,7.70833,5.693377,7.91667,2514700
2000-01-27,8.25,8.58333,7.95833,5.753305999999999,8.0,3865300
2000-01-28,8.0,8.16667,7.66667,5.633442,7.83333,3408700
2000-01-31,7.83333,8.0,7.75,5.633442,7.83333,1712200
2000-02-01,7.91667,7.91667,7.41667,5.333794999999999,7.41667,2837400
2000-02-02,7.41667,7.66667,7.41667,5.3637559999999995,7.45833,1602600
2000-02-03,7.375,7.41667,7.08333,5.183966000000001,7.20833,4669900
2000-02-04,7.29167,7.70833,7.25,5.513584,7.66667,1280500
2000-02-07,7.66667,7.70833,7.58333,5.453651,7.58333,739800
2000-02-08,7.66667,7.70833,7.54167,5.423690000000001,7.54167,980800
2000-02-09,7.5,7.5,7.25,5.27386,7.33333,918000
2000-02-10,7.29167,7.33333,6.54167,4.974215,6.91667,5055300
2000-02-11,6.91667,7.04167,6.66667,4.824383,6.70833,2683200
2000-02-14,6.875,6.95833,6.70833,5.004175,6.95833,1523700
2000-02-15,6.875,7.29167,6.70833,5.2439,7.29167,1507500
2000-02-16,7.29167,7.41667,7.04167,5.2439,7.29167,609000
2000-02-17,7.29167,7.66667,7.08333,5.513584,7.66667,1972000
2000-02-18,7.75,7.75,6.83333,5.213932,7.25,1413400
2000-02-22,7.375,7.54167,7.04167,5.423690000000001,7.54167,471900
2000-02-23,7.45833,7.95833,7.41667,5.543547,7.70833,1312500
2000-02-24,7.79167,7.79167,7.375,5.423690000000001,7.54167,899700
2000-02-25,7.375,7.75,7.33333,5.423690000000001,7.54167,746700
2000-02-28,7.5,7.54167,7.08333,5.124037,7.125,900700
2000-02-29,7.125,7.25,6.95833,5.154006,7.16667,773800
2000-03-01,7.0,7.08333,6.70833,5.094069,7.08333,2198400
2000-03-02,7.0,7.0,6.75,5.004175,6.95833,1086400
2000-03-03,7.04167,7.16667,6.91667,5.154006,7.16667,638200
2000-03-06,7.16667,7.25,7.0,5.094069,7.08333,778600
2000-03-07,7.16667,7.16667,6.625,4.944246,6.875,1148500
2000-03-08,6.79167,7.0,6.41667,4.974215,6.91667,2219100
2000-03-09,7.0,7.45833,6.91667,5.333794999999999,7.41667,1218000
2000-03-10,7.375,7.41667,7.16667,5.2439,7.29167,1098000
2000-03-13,7.20833,7.58333,7.20833,5.333794999999999,7.41667,782700
2000-03-14,7.41667,7.45833,6.79167,4.974215,6.91667,869200
2000-03-15,6.91667,6.95833,6.79167,4.9142790000000005,6.83333,917100
2000-03-16,6.83333,7.0,6.75,5.034142,7.0,2507700
2000-03-17,7.0,7.16667,6.91667,5.004175,6.95833,1267600
2000-03-20,6.95833,7.25,6.83333,5.154006,7.16667,1592200
2000-03-21,7.08333,7.08333,6.83333,4.974215,6.91667,806800
2000-03-22,6.95833,7.16667,6.91667,5.064108,7.04167,1406500
2000-03-23,7.08333,7.375,7.04167,5.183966000000001,7.20833,1690800
2000-03-24,7.29167,7.33333,6.75,4.944246,6.875,1765300
2000-03-27,6.83333,7.41667,6.79167,5.2439,7.29167,1579000
2000-03-28,7.33333,7.41667,7.16667,5.213932,7.25,888600
2000-03-29,7.16667,7.16667,7.04167,5.094069,7.08333,1063200
2000-03-30,7.08333,7.125,6.91667,5.094069,7.08333,394500
2000-03-31,7.08333,7.29167,7.04167,5.2439,7.29167,770200
2000-04-03,7.375,7.95833,7.125,5.723339,7.95833,1520100
2000-04-04,7.875,8.04167,7.25,5.573514,7.75,1512000
2000-04-05,7.66667,7.95833,7.58333,5.6034809999999995,7.79167,2017600
2000-04-06,8.16667,8.5,8.0,5.963061,8.29167,2514000
2000-04-07,8.33333,8.66667,8.33333,6.202782,8.625,1400200
2000-04-10,8.66667,8.66667,8.5,6.202782,8.625,1025400
2000-04-11,8.625,8.625,8.41667,6.112887000000001,8.5,652600
2000-04-12,8.5,8.5,8.08333,5.903127,8.20833,1318800
2000-04-13,8.29167,8.41667,8.16667,5.993024,8.33333,554100
2000-04-14,8.08333,8.25,7.70833,5.8432,8.125,972000
2000-04-17,7.83333,8.33333,7.83333,5.963061,8.29167,805600
2000-04-18,8.29167,8.875,8.29167,6.022991,8.375,1889100
2000-04-19,8.33333,8.375,8.16667,5.873168,8.16667,617200
2000-04-20,8.25,8.375,8.16667,5.963061,8.29167,1010200
2000-04-24,8.25,8.45833,7.95833,6.0529589999999995,8.41667,763200
2000-04-25,8.125,8.54167,8.08333,6.082919,8.45833,455800
2000-04-26,8.54167,9.125,8.33333,6.262709,8.70833,1917000
2000-04-27,8.58333,8.91667,8.45833,6.352603,8.83333,1540600
2000-04-28,9.29167,9.29167,8.91667,6.562363,9.125,1324300
2000-05-01,9.08333,9.54167,9.08333,6.712186,9.33333,1567000
