Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,27.8125,27.84375,26.8125,19.391545999999998,27.46875,7239800
2000-01-04,26.96875,27.78125,26.875,19.126804,27.09375,7963000
2000-01-05,27.03125,27.5,26.75,19.082684,27.03125,4826200
2000-01-06,27.1875,29.03125,27.03125,20.384276999999997,28.875,8005000
2000-01-07,29.21875,30.03125,29.0625,20.759315,29.40625,7368600
2000-01-10,29.375,29.78125,28.9375,20.95787,29.6875,5301600
2000-01-11,29.78125,30.4375,29.21875,21.377018,30.28125,5525600
2000-01-12,30.03125,30.53125,29.53125,20.891678,29.59375,4767600
2000-01-13,29.6875,30.75,29.6875,21.487323999999997,30.4375,4431000
2000-01-14,30.59375,31.1875,30.125,21.707932999999997,30.75,4340400
2000-01-18,31.0,33.375,30.875,23.340439,33.0625,10215200
2000-01-19,33.0,33.25,32.53125,23.252201,32.9375,6894200
2000-01-20,32.40625,32.625,31.625,22.788918,32.28125,5076800
2000-01-21,32.46875,33.8125,32.4375,23.296318,33.0,8978600
2000-01-24,33.125,33.46875,32.0,22.700676,32.15625,5464400
2000-01-25,31.65625,32.375,31.25,22.413885,31.75,6135600
2000-01-26,32.125,32.5,30.78125,22.193274,31.4375,6799600
2000-01-27,31.3125,32.25,30.65625,22.060904,31.25,8198000
2000-01-28,31.0625,31.625,29.875,21.178473999999998,30.0,6604200
2000-01-31,30.1875,30.78125,29.875,21.553504999999998,30.53125,4803200
2000-02-01,30.96875,32.03125,30.875,22.568314,31.96875,3888400
2000-02-02,32.25,32.5625,30.625,21.707932999999997,30.75,6333000
2000-02-03,31.0,31.125,30.375,21.641748,30.65625,4744400
2000-02-04,30.375,30.65625,29.375,21.001995,29.75,6238600
2000-02-07,29.5625,30.75,29.5625,21.421141,30.34375,4456000
2000-02-08,30.5625,30.84375,29.375,21.001995,29.75,3218600
2000-02-09,29.75,30.15625,28.46875,20.141614999999998,28.53125,5931400
2000-02-10,29.0,29.8125,28.75,20.847565,29.53125,7112800
2000-02-11,29.75,30.09375,29.15625,20.626947,29.21875,5045000
2000-02-14,29.21875,30.25,28.75,21.354959,30.25,4750600
2000-02-15,30.75,32.625,30.65625,22.94335,32.5,10922200
2000-02-16,32.90625,33.1875,32.53125,23.296318,33.0,11507000
2000-02-17,32.75,33.84375,32.375,23.605173,33.4375,10306800
2000-02-18,33.59375,33.875,32.9375,23.472808999999998,33.25,5774400
2000-02-22,32.9375,33.375,32.125,23.18446,32.65625,5059000
2000-02-23,32.25,32.5625,31.875,22.896036,32.25,4034800
2000-02-24,32.25,34.34375,32.1875,24.293770000000002,34.21875,12022800
2000-02-25,34.125,34.625,33.4375,23.783484,33.5,7579800
2000-02-28,33.3125,35.09375,33.28125,24.582178,34.625,7540600
2000-02-29,35.25,36.9375,35.15625,26.218418,36.929691,9574600
2000-03-01,37.90625,41.0625,37.5,27.355434000000002,38.53125,15547800
2000-03-02,40.5,42.1875,40.3125,28.975037,40.8125,19973800
2000-03-03,40.4375,40.46875,38.25,27.910095000000002,39.3125,12784000
2000-03-06,38.875,39.59375,38.59375,27.466368,38.6875,7330800
2000-03-07,39.0,42.1875,39.0,29.174702000000003,41.09375,10148000
2000-03-08,38.5,39.4375,38.03125,27.355434000000002,38.53125,9460400
2000-03-09,38.0,38.65625,37.15625,27.200142,38.3125,7907000
2000-03-10,38.125,40.375,38.0625,27.222324,38.34375,6666000
2000-03-13,38.0,40.21875,37.78125,27.621674,38.90625,6680200
2000-03-14,38.4375,38.84375,37.28125,27.067017,38.125,6117400
2000-03-15,37.6875,38.09375,36.6875,26.223947999999996,36.9375,5643800
2000-03-16,36.8125,37.96875,36.09375,26.800790999999997,37.75,8374600
2000-03-17,37.375,38.25,37.09375,26.379259,37.15625,6825400
2000-03-20,37.1875,37.1875,34.71875,24.937164000000003,35.125,7996400
2000-03-21,35.28125,37.09375,35.28125,25.558374,36.0,6822000
2000-03-22,36.625,39.3125,36.5,27.200142,38.3125,8403800
2000-03-23,38.75,39.6875,37.90625,27.444187,38.65625,6109800
2000-03-24,39.75,40.40625,38.71875,27.754790999999997,39.09375,6014600
2000-03-27,38.625,40.65625,37.90625,28.265074,39.8125,7670200
2000-03-28,39.125,40.21875,38.15625,27.288890999999996,38.4375,6372400
2000-03-29,37.84375,40.96875,37.78125,28.797544,40.5625,8049400
2000-03-30,41.375,41.9375,38.875,27.599496999999996,38.875,6718600
2000-03-31,39.5,40.15625,38.25,27.155771,38.25,4591600
2000-04-03,39.0,40.9375,39.0,28.819736,40.59375,5759000
2000-04-04,40.5,41.375,38.375,28.109776,39.59375,10392000
2000-04-05,39.5,39.96875,36.5,26.179582999999997,36.875,8733600
2000-04-06,37.46875,38.09375,36.25,26.623302000000002,37.5,7037800
2000-04-07,37.53125,39.0,36.71875,26.135206,36.8125,6043000
2000-04-10,36.0625,36.1875,35.15625,24.959345000000003,35.15625,6623200
2000-04-11,35.53125,36.625,35.25,25.891165,36.46875,6611200
2000-04-12,36.75,37.46875,36.15625,26.002087,36.625,6125800
2000-04-13,36.5,37.21875,35.875,25.469629,35.875,4631400
2000-04-14,35.6875,37.3125,34.59375,24.914974,35.09375,5751000
2000-04-17,35.09375,35.1875,33.40625,24.249384,34.15625,5328400
2000-04-18,34.8125,36.9375,34.75,26.223947999999996,36.9375,6359200
2000-04-19,36.84375,37.21875,35.8125,26.179582999999997,36.875,4802800
2000-04-20,37.0,37.3125,36.65625,26.113026,36.78125,5146600
2000-04-24,37.25,37.5625,36.625,26.379259,37.15625,5022400
2000-04-25,37.46875,37.875,36.84375,26.601118,37.46875,5275800
2000-04-26,37.40625,38.8125,36.71875,27.444187,38.65625,6795800
2000-04-27,38.78125,39.9375,38.0,27.910095000000002,39.3125,7609800
2000-04-28,38.8125,39.375,38.125,27.177947999999997,38.28125,3429000
2000-05-01,38.15625,38.3125,36.9375,26.623302000000002,37.5,9229000
2000-05-02,37.6875,38.875,37.625,27.53293,38.78125,7892200
2000-05-03,38.28125,38.6875,37.03125,26.756421999999997,37.6875,6925800
2000-05-04,37.5,38.625,37.5,26.978275,38.0,5382200
2000-05-05,37.875,38.96875,37.53125,27.555124,38.8125,3227200
2000-05-08,38.6875,39.6875,37.875,27.177947999999997,38.28125,4600400
2000-05-09,38.3125,39.21875,37.9375,27.577295,38.84375,4070200
