Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,17.0,17.0,15.9375,12.021756,16.125,57700
2000-01-04,15.875,16.6875,15.875,11.975159,16.0625,73400
2000-01-05,16.3125,16.5625,16.0625,12.114944,16.25,23500
2000-01-06,16.1875,16.1875,15.875,11.928561,16.0,24700
2000-01-07,15.875,16.125,15.75,12.021756,16.125,45200
2000-01-10,16.3125,16.5,16.125,12.208141,16.375,33000
2000-01-11,16.25,16.25,15.875,12.021756,16.125,45100
2000-01-12,16.0,16.125,15.75,11.835369,15.875,40100
2000-01-13,16.0,16.3125,15.875,12.021756,16.125,28800
2000-01-14,16.25,16.25,15.8125,11.788774,15.8125,54400
2000-01-18,15.875,16.25,15.75,11.975159,16.0625,66500
2000-01-19,16.0,16.3125,16.0,11.975159,16.0625,53800
2000-01-20,16.0,16.125,15.5,11.648988000000001,15.625,45500
2000-01-21,15.875,16.0,15.5,11.788774,15.8125,52100
2000-01-24,15.9375,16.125,15.5,12.021756,16.125,80200
2000-01-25,16.125,17.3125,16.0,12.767294,17.125,83500
2000-01-26,17.125,17.4375,16.9375,12.767294,17.125,67900
2000-01-27,17.1875,17.3125,16.5625,12.347922,16.5625,24900
2000-01-28,16.75,17.3125,16.75,12.767294,17.125,35900
2000-01-31,17.375,17.375,16.25,12.301331,16.5,33300
2000-02-01,16.4375,18.5,16.3125,13.745804000000001,18.4375,108500
2000-02-02,18.1875,18.1875,17.5,13.512822,18.125,49800
2000-02-03,18.0,18.5625,17.75,13.699203,18.375,32200
2000-02-04,18.5,18.5,17.875,13.419635999999999,18.0,54400
2000-02-07,18.125,18.125,17.75,13.419635999999999,18.0,19100
2000-02-08,17.8125,17.8125,17.5625,13.140054000000001,17.625,18200
2000-02-09,17.5,17.9375,17.0,12.813881,17.1875,58100
2000-02-10,16.9375,17.1875,16.9375,12.6275,16.9375,33600
2000-02-11,17.0,17.125,16.625,12.394521000000001,16.625,60500
2000-02-14,16.5625,16.8125,16.25,12.347922,16.5625,22300
2000-02-15,16.4375,16.625,16.0,12.347922,16.5625,43900
2000-02-16,16.5625,16.5625,16.375,12.208141,16.375,17900
2000-02-17,16.5625,16.625,16.25,12.254733,16.4375,38700
2000-02-18,16.375,16.6875,15.375,12.441118,16.6875,68200
2000-02-22,16.6875,16.8125,15.8125,11.835369,15.875,18500
2000-02-23,15.9375,16.375,15.875,12.161538,16.3125,38200
2000-02-24,16.4375,16.4375,15.9375,12.068351,16.1875,24900
2000-02-25,16.125,16.5625,16.125,12.301331,16.5,19300
2000-02-28,16.4375,16.8125,16.25,12.301331,16.5,23200
2000-02-29,16.5,16.5,15.8125,11.835369,15.875,37600
2000-03-01,15.875,16.6875,15.875,12.068351,16.1875,40600
2000-03-02,16.0625,16.25,15.875,11.835369,15.875,22000
2000-03-03,16.0,16.625,15.9375,12.301331,16.5,53000
