Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,69.6875,69.75,67.0,44.564304,67.0625,1273200
2000-01-04,67.0,67.0,64.625,43.152184000000005,64.9375,1385800
2000-01-05,64.875,68.0,64.75,45.187286,68.0,1401700
2000-01-06,65.875,68.125,65.0,45.187286,68.0,1959100
2000-01-07,67.625,67.625,65.75,44.107433,66.375,996000
2000-01-10,66.875,67.4375,66.4375,44.564304,67.0625,1191700
2000-01-11,67.125,67.4375,65.25,43.359856,65.25,1020000
2000-01-12,66.125,67.5,65.4375,44.771961,67.375,1097700
2000-01-13,67.625,68.5,67.375,45.394951,68.3125,1071200
2000-01-14,68.875,69.25,68.3125,45.893356,69.0625,1160000
2000-01-18,69.0,69.0,67.375,45.644169,68.6875,980500
2000-01-19,68.5,68.5625,67.4375,45.353413,68.25,1087300
2000-01-20,68.125,69.125,68.125,45.768745,68.875,1972000
2000-01-21,68.875,68.875,66.6875,44.6889,67.25,1270100
2000-01-24,67.875,68.25,66.0,43.858261,66.0,831400
2000-01-25,65.625,66.625,64.75,43.775169,65.875,1263000
2000-01-26,65.25,65.625,64.5,43.276798,65.125,933400
2000-01-27,65.3125,65.375,64.0,43.276798,65.125,1128400
2000-01-28,65.125,65.875,64.0,43.152184000000005,64.9375,1324700
2000-01-31,63.0,64.0,59.0,39.871132,60.0,5745800
2000-02-01,59.6875,61.5,58.3125,40.784836,61.375,4761000
2000-02-02,59.75,59.9375,57.1875,38.708225,58.25,4740600
2000-02-03,59.25,59.5,57.375,38.292904,57.625,1951900
2000-02-04,58.1875,58.1875,56.0625,37.462253999999994,56.375,1745200
2000-02-07,56.625,56.8125,55.5,37.046913,55.75,1480200
2000-02-08,56.25,59.375,55.75,39.45583,59.375,2055100
2000-02-09,59.5,59.625,58.0,38.542103000000004,58.0,1209400
2000-02-10,58.0625,58.5,56.5,37.919102,57.0625,995700
2000-02-11,56.8125,57.0,55.125,36.631588,55.125,1013900
2000-02-14,55.3125,55.5,54.125,36.133232,54.375,2052800
2000-02-15,54.4375,55.0,53.5625,36.507,54.9375,1182900
2000-02-16,55.1875,56.4375,54.5,37.213066,56.0,1530000
2000-02-17,56.5,58.25,56.125,38.542103000000004,58.0,1036000
2000-02-18,58.0,59.4375,55.25,37.836044,56.9375,1529200
2000-02-22,56.9375,56.9375,54.5625,36.548531,55.0,1226000
2000-02-23,55.0625,56.25,54.0625,36.507,54.9375,855700
2000-02-24,55.0,55.0,53.8125,36.03706,54.0625,1049300
2000-02-25,54.9375,55.75,54.0625,36.995284999999996,55.5,961700
2000-02-28,55.5625,55.625,54.5,36.661991,55.0,565600
2000-02-29,55.0,55.3125,54.5,36.412017999999996,54.625,750900
2000-03-01,54.625,54.6875,51.875,34.995533,52.5,1471000
2000-03-02,52.125,53.625,52.0625,35.537125,53.3125,1136600
2000-03-03,53.3125,53.5,52.5625,35.120514,52.6875,1030700
2000-03-06,54.375,54.375,52.5,35.162167,52.75,1431500
2000-03-07,52.75,52.8125,49.0,33.745701000000004,50.625,2319100
2000-03-08,52.75,54.5,51.3125,36.203716,54.3125,2275300
2000-03-09,54.5,54.5,52.4375,35.328827000000004,53.0,1199700
2000-03-10,53.75,54.375,53.0625,35.620464,53.4375,776700
2000-03-13,52.25,54.1875,52.125,35.162167,52.75,671700
2000-03-14,52.5,53.5,52.3125,35.037212,52.5625,1072500
2000-03-15,52.9375,55.375,51.625,36.620327,54.9375,2274800
2000-03-16,55.875,57.625,55.0625,37.495216,56.25,1635300
2000-03-17,57.0625,57.0625,55.5,36.995284999999996,55.5,622400
2000-03-20,56.5,56.875,55.25,37.703518,56.5625,843400
2000-03-21,56.3125,58.375,55.25,38.786709,58.1875,889000
2000-03-22,58.1875,59.0625,56.8125,37.911827,56.875,763100
2000-03-23,56.8125,59.9375,56.0,39.744919,59.625,1472900
2000-03-24,60.0,64.125,59.8125,42.494583,63.75,2148200
2000-03-27,63.0,64.0,62.625,42.119621,63.1875,960400
2000-03-28,62.5,63.0,60.0625,40.161537,60.25,639300
2000-03-29,61.25,61.25,58.3125,39.36998,59.0625,869700
2000-03-30,58.8125,60.125,58.3125,39.036682,58.5625,682400
2000-03-31,59.5625,63.0,58.1875,41.98418,62.984299,727100
2000-04-03,62.0,62.0,59.0,39.578289,59.375,830000
2000-04-04,59.375,59.75,55.375,38.536751,57.8125,1309000
2000-04-05,56.8125,58.25,56.8125,38.786709,58.1875,478000
2000-04-06,58.3125,60.1875,58.3125,39.911559999999994,59.875,800700
2000-04-07,59.875,61.4375,59.125,40.578163,60.875,778200
2000-04-10,61.125,64.0,61.0,42.661221000000005,64.0,1275600
2000-04-11,63.3125,63.3125,62.125,42.119621,63.1875,616700
2000-04-12,62.8125,62.875,61.25,40.994774,61.5,608700
2000-04-13,61.5,61.5,59.4375,40.161537,60.25,566300
