Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.75,9.75,9.46875,5.406206,9.53125,592800
2000-01-04,9.5,9.625,9.46875,5.441656,9.59375,535800
2000-01-05,9.625,10.125,9.59375,5.689811,10.03125,708400
2000-01-06,10.15625,10.15625,9.9375,5.672085,10.0,680400
2000-01-07,10.03125,10.15625,10.0,5.742986,10.125,376200
2000-01-10,10.25,10.25,10.0625,5.742986,10.125,911400
2000-01-11,10.1875,10.1875,10.0,5.672085,10.0,950600
2000-01-12,10.0625,10.21875,10.0625,5.7784379999999995,10.1875,628400
2000-01-13,10.25,10.25,10.0625,5.72526,10.09375,485200
2000-01-14,10.15625,10.15625,9.9375,5.636634,9.9375,628800
2000-01-18,9.9375,9.96875,9.65625,5.530282,9.75,605200
2000-01-19,9.8125,10.0,9.75,5.672085,10.0,382000
2000-01-20,9.9375,10.0,9.875,5.636634,9.9375,475200
2000-01-21,9.96875,10.21875,9.9375,5.7607099999999996,10.15625,620800
2000-01-24,10.1875,10.3125,10.15625,5.7607099999999996,10.15625,880800
2000-01-25,10.15625,10.21875,10.03125,5.72526,10.09375,752400
2000-01-26,10.0625,10.15625,10.03125,5.707533,10.0625,468600
2000-01-27,10.09375,10.125,9.90625,5.672085,10.0,566600
2000-01-28,10.125,10.125,9.78125,5.61891,9.90625,852200
2000-01-31,9.9375,9.96875,9.875,5.601183,9.875,786800
2000-02-01,9.9375,10.0,9.84375,5.636634,9.9375,467400
2000-02-02,10.0625,10.21875,10.0,5.72526,10.09375,501200
2000-02-03,10.125,10.59375,10.09375,5.937965,10.46875,795800
2000-02-04,10.375,10.40625,10.0625,5.7784379999999995,10.1875,474200
2000-02-07,10.1875,10.1875,9.875,5.601183,9.875,842000
2000-02-08,10.0625,10.21875,10.0,5.689811,10.03125,420800
2000-02-09,10.0,10.125,9.96875,5.689811,10.03125,5588800
2000-02-10,9.8125,9.96875,9.5625,5.585687,9.65625,1075800
2000-02-11,9.6875,9.75,9.40625,5.459153,9.4375,892200
2000-02-14,9.46875,9.5,9.4375,5.495307,9.5,607800
2000-02-15,9.5,9.5,9.4375,5.459153,9.4375,582000
2000-02-16,9.40625,9.4375,9.375,5.459153,9.4375,394800
2000-02-17,9.4375,9.46875,9.34375,5.459153,9.4375,444400
2000-02-18,9.375,9.4375,9.21875,5.404923,9.34375,343800
2000-02-22,9.40625,9.40625,9.28125,5.368768,9.28125,497400
2000-02-23,9.3125,9.3125,9.125,5.332616000000001,9.21875,519000
2000-02-24,9.21875,9.25,8.71875,5.097619,8.8125,880600
2000-02-25,8.75,8.84375,8.6875,5.061466,8.75,1185600
2000-02-28,8.75,8.875,8.65625,5.115695,8.84375,1372800
2000-02-29,8.875,8.90625,8.78125,5.115695,8.84375,747400
2000-03-01,8.84375,8.875,8.6875,5.02531,8.6875,515000
2000-03-02,8.84375,8.96875,8.78125,5.169925,8.9375,524000
2000-03-03,8.9375,8.96875,8.8125,5.115695,8.84375,528800
2000-03-06,8.84375,8.875,8.5,4.934929,8.53125,860600
2000-03-07,8.53125,8.65625,8.53125,4.953005999999999,8.5625,887200
2000-03-08,8.65625,8.6875,8.40625,4.862623,8.40625,1244600
2000-03-09,8.4375,8.65625,8.4375,4.971082,8.59375,619400
2000-03-10,8.59375,8.65625,8.5,4.953005999999999,8.5625,462200
2000-03-13,8.59375,8.625,8.5,4.971082,8.59375,426800
2000-03-14,8.59375,8.71875,8.53125,5.007235,8.65625,564600
2000-03-15,8.71875,9.1875,8.6875,5.206078,9.0,756800
2000-03-16,9.25,9.75,9.1875,5.549537,9.59375,979000
2000-03-17,9.46875,9.65625,9.28125,5.495307,9.5,671000
2000-03-20,9.53125,9.625,9.5,5.495307,9.5,321000
2000-03-21,9.53125,9.59375,9.5,5.531459,9.5625,444200
2000-03-22,9.53125,9.5625,9.03125,5.332616000000001,9.21875,1261600
2000-03-23,9.28125,9.375,9.25,5.422998000000001,9.375,734800
2000-03-24,9.375,9.46875,9.3125,5.386845,9.3125,346000
2000-03-27,9.28125,9.4375,9.28125,5.422998000000001,9.375,525400
2000-03-28,9.40625,9.46875,9.28125,5.441075,9.40625,497200
2000-03-29,9.5,9.65625,9.5,5.585687,9.65625,654600
2000-03-30,9.6875,9.96875,9.6875,5.676071,9.8125,627200
2000-03-31,9.90625,9.96875,9.78125,5.766451999999999,9.96875,807400
2000-04-03,9.96875,10.0625,9.90625,5.820686,10.0625,906400
2000-04-04,10.0,10.28125,9.96875,5.838764,10.09375,912800
2000-04-05,10.125,10.4375,10.0625,5.911069,10.21875,543400
2000-04-06,10.25,10.375,10.0625,5.874917,10.15625,417000
2000-04-07,10.03125,10.15625,9.9375,5.802608,10.03125,344600
2000-04-10,10.03125,10.21875,9.90625,5.89299,10.1875,404400
2000-04-11,10.21875,10.3125,10.15625,5.947221,10.28125,486200
2000-04-12,10.3125,10.625,10.28125,6.055682,10.46875,474200
2000-04-13,10.3125,10.75,10.3125,6.200295,10.71875,486600
2000-04-14,10.75,10.8125,10.375,6.037602,10.4375,431000
2000-04-17,10.4375,10.625,10.21875,6.146064,10.625,578000
2000-04-18,10.65625,10.65625,10.46875,6.146064,10.625,350800
2000-04-19,10.5625,10.59375,10.25,6.091833,10.53125,615600
2000-04-20,10.53125,10.5625,10.375,6.037602,10.4375,1072200
2000-04-24,10.46875,10.90625,10.4375,6.2364489999999995,10.78125,592400
2000-04-25,10.78125,11.28125,10.78125,6.489521,11.21875,800800
2000-04-26,11.25,11.46875,11.21875,6.597981,11.40625,617000
2000-04-27,11.25,11.28125,10.84375,6.308755000000001,10.90625,1040600
2000-04-28,10.875,10.875,10.625,6.182218,10.6875,613600
2000-05-01,10.6875,10.75,10.53125,6.2183720000000005,10.75,673400
2000-05-02,10.59375,10.625,10.125,5.874917,10.15625,1787800
2000-05-03,10.21875,10.28125,10.09375,5.929147,10.25,808400
2000-05-04,10.25,10.40625,10.15625,6.0195300000000005,10.40625,933400
2000-05-05,10.40625,10.40625,10.09375,5.856838,10.125,742800
2000-05-08,10.25,10.65625,10.1875,6.073759,10.5,858000
2000-05-09,10.59375,10.625,10.4375,6.146064,10.625,5736800
2000-05-10,10.5,10.5,10.40625,6.150483,10.4375,892400
2000-05-11,10.4375,10.625,10.4375,6.260972,10.625,500000
2000-05-12,10.625,10.65625,10.3125,6.1136550000000005,10.375,340400
2000-05-15,10.46875,10.59375,10.3125,6.132072,10.40625,458200
2000-05-16,10.46875,10.46875,10.3125,6.168898,10.46875,349400
2000-05-17,10.4375,10.4375,10.03125,5.984756,10.15625,440600
2000-05-18,10.25,10.46875,10.09375,6.039994999999999,10.25,371000
2000-05-19,10.28125,10.4375,10.1875,6.058411,10.28125,525800
2000-05-22,10.34375,10.59375,10.28125,6.168898,10.46875,482600
2000-05-23,10.5,10.53125,10.375,6.132072,10.40625,450600
2000-05-24,10.40625,10.71875,10.40625,6.205729,10.53125,720000
2000-05-25,10.5625,10.59375,10.34375,6.1136550000000005,10.375,381600
2000-05-26,10.5,10.71875,10.46875,6.242557,10.59375,699600
2000-05-30,10.59375,10.65625,10.28125,6.150483,10.4375,390400
2000-05-31,10.5625,10.625,10.5,6.224143,10.5625,489200
2000-06-01,10.625,10.625,10.46875,6.205729,10.53125,490000
2000-06-02,10.625,10.6875,10.3125,6.0768260000000005,10.3125,915600
2000-06-05,10.3125,10.34375,10.0,5.966337,10.125,504800
2000-06-06,10.09375,10.3125,10.09375,6.003168,10.1875,477000
2000-06-07,10.25,10.28125,10.1875,6.021583000000001,10.21875,383400
2000-06-08,10.09375,10.15625,10.0625,5.947923,10.09375,564400
2000-06-09,10.125,10.375,10.125,6.058411,10.28125,469800
2000-06-12,10.34375,10.40625,10.25,6.095241000000001,10.34375,308200
2000-06-13,10.28125,10.40625,10.28125,6.095241000000001,10.34375,355400
2000-06-14,10.40625,10.46875,10.3125,6.095241000000001,10.34375,497200
2000-06-15,10.21875,10.6875,10.21875,6.242557,10.59375,550600
2000-06-16,10.4375,10.625,10.4375,6.224143,10.5625,547800
2000-06-19,10.5,10.59375,10.375,6.132072,10.40625,433600
2000-06-20,10.40625,10.5,10.21875,6.0768260000000005,10.3125,509600
2000-06-21,10.3125,10.34375,10.0625,5.966337,10.125,2069400
2000-06-22,10.15625,10.21875,9.9375,5.85585,9.9375,446200
2000-06-23,10.0625,10.25,10.03125,6.003168,10.1875,441200
2000-06-26,10.1875,10.1875,10.09375,5.966337,10.125,435000
2000-06-27,10.15625,10.53125,10.09375,6.039994999999999,10.25,1201800
2000-06-28,10.28125,10.4375,10.125,6.150483,10.4375,469800
2000-06-29,10.40625,10.46875,10.28125,6.095241000000001,10.34375,573400
2000-06-30,10.34375,10.59375,9.90625,5.837437,9.90625,1120400
2000-07-03,10.0,10.375,10.0,6.021583000000001,10.21875,249400
2000-07-05,10.25,10.46875,10.09375,5.947923,10.09375,350800
2000-07-06,10.09375,10.34375,10.0625,6.0768260000000005,10.3125,396400
2000-07-07,10.3125,10.34375,10.25,6.0768260000000005,10.3125,376400
2000-07-10,10.21875,10.53125,10.21875,6.168898,10.46875,302400
2000-07-11,10.375,10.5,10.375,6.187315,10.5,453800
2000-07-12,10.5,10.59375,10.46875,6.187315,10.5,323600
2000-07-13,10.53125,10.5625,10.46875,6.187315,10.5,615800
2000-07-14,10.5625,10.59375,10.28125,6.1136550000000005,10.375,530200
2000-07-17,10.40625,10.4375,10.28125,6.0768260000000005,10.3125,313000
2000-07-18,10.40625,10.46875,10.34375,6.095241000000001,10.34375,321400
2000-07-19,10.40625,10.5625,10.34375,6.150483,10.4375,398600
2000-07-20,10.375,10.46875,10.3125,6.0768260000000005,10.3125,336400
2000-07-21,10.3125,10.3125,10.15625,6.003168,10.1875,520200
2000-07-24,10.25,10.25,9.90625,5.9110949999999995,10.03125,679000
2000-07-25,10.0625,10.1875,10.0,5.947923,10.09375,586200
